gsis_id,esb_id,pfr_id,nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,pred,pred_uncertainty,p_boom,p_bust,p_expected,model_verdict,match_method,gsis_provisional
MEN516487,MEN516487,MendFe00,Fernando Mendoza,Fernando Mendoza,QB,Indiana,1,1,LVR,0.0568089634180069,0.9511085952472036,0.16067793724077054,0.1332553678687046,0.7060666948905249,Baseline,pfr_id,TRUE
SIM639376,SIM639376,SimpTy00,Ty Simpson,Ty Simpson,QB,Alabama,1,13,LAR,0.3002490699291229,0.9511085952472036,0.23095013722046392,0.08579887480714048,0.6832509879723957,Baseline,pfr_id,TRUE
NA,NA,BeckCa01,Carson Beck,Carson Beck,QB,Miami,3,65,ARI,-0.07119312137365341,0.9511085952472036,0.13002828567663377,0.1643955279998606,0.7055761863235057,Baseline,pfr_id,FALSE
ALL015451,ALL015451,AllaDr00,Drew Allar,Drew Allar,QB,Penn State,3,76,PIT,-0.023854615166783333,0.9511085952472036,0.14085509034465155,0.15236949194252972,0.7067754177128188,Baseline,pfr_id,TRUE
00-0041056,KLU066027,KlubCa00,Cade Klubnik,Cade Klubnik,QB,Clemson,4,110,NYJ,-0.01800626702606678,0.9511085952472036,0.14223393010112373,0.15092534697485965,0.7068407229240166,Baseline,pfr_id,FALSE
00-0040891,PAY546690,PaytCo00,Cole Payton,Cole Payton,QB,North Dakota State,5,178,PHI,0.03638151288032532,0.9511085952472036,0.1554935529402649,0.1379322771146366,0.7065741699450985,Baseline,name_pos,FALSE
00-0041092,GRE361852,GreeTa00,Taylen Green,Taylen Green,QB,Arkansas,6,182,CLE,-0.21280013024806976,0.9511085952472036,0.1011291926830256,0.2039299518839047,0.6949408554330697,Baseline,pfr_id,FALSE
00-0041117,KAL252591,KaliAt00,Athan Kaliakmanis,Athan Kaliakmanis,QB,Rutgers,7,223,WAS,-0.09553033113479614,0.9511085952472036,0.12469224552432392,0.1708114230179886,0.7044963314576875,Baseline,name_pos,FALSE
00-0041123,MOR767384,MortBe00,Behren Morton,Behren Morton,QB,Texas Tech,7,234,NWE,-0.028549017384648323,0.9511085952472036,0.13975489332919755,0.15353530510589802,0.7067098015649045,Baseline,pfr_id,FALSE
00-0040906,NUS440041,NussGa00,Garrett Nussmeier,Garrett Nussmeier,QB,LSU,7,249,KAN,-0.14899052679538727,0.9511085952472036,0.11351324924288655,0.18545895035033752,0.7010278004067759,Baseline,pfr_id,FALSE
00-0041149,KIN505883,NA,Haynes King,Haynes King,QB,Georgia Tech,NA,NA,CAR,-0.09560594707727432,0.9511085952472036,0.12467590847308382,0.1708316037349267,0.7044924877919895,Baseline,udfa_name,FALSE
00-0041251,DAN558971,DaniJa03,Jalon Daniels,Jalon Daniels,QB,Kansas,NA,NA,TB,-0.07112161070108414,0.9511085952472036,0.13004419411439275,0.1643769092019061,0.7055788966837012,Baseline,udfa_name,FALSE
00-0040981,FAG628560,FagnJo00,Joe Fagnano,Joe Fagnano,QB,Connecticut,NA,NA,BAL,-0.03215101733803749,0.9511085952472036,0.13891468687700897,0.15443382470289493,0.7066514884200961,Baseline,udfa_name,FALSE
00-0041203,AGU411717,NA,Joey Aguilar,Jose Aguilar,QB,Tennessee,NA,NA,JAX,-0.018017517402768135,0.9511085952472036,0.1422312689104482,0.15092811627934438,0.7068406148102073,Baseline,udfa_name,FALSE
00-0040942,DRO201270,DronKy00,Kyron Drones,Kyron Drones,QB,Virginia Tech,NA,NA,GB,-0.13085179030895233,0.9511085952472036,0.11722321154635267,0.18040401776684012,0.7023727706868073,Baseline,udfa_name,FALSE
00-0041453,ALT577722,AltmLu00,Luke Altmyer,Luke Altmyer,QB,Illinois,NA,NA,DET,-0.021443504840135574,0.9511085952472036,0.14142244484442273,0.15177300390487078,0.7068045512507064,Baseline,udfa_name,FALSE
00-0041156,GRO137480,GronMa00,Mark Gronowski,Mark Gronowski,QB,Iowa,NA,NA,MIA,-0.18593861162662506,0.9511085952472036,0.10621683194693891,0.19602435431028248,0.6977588137427786,Baseline,udfa_name,FALSE
00-0041172,MOS637754,MossMi00,Miller Moss,Miller Moss,QB,Louisville,NA,NA,CHI,-0.18154659867286682,0.9511085952472036,0.10706597417721964,0.19474965812657619,0.6981843676962042,Baseline,udfa_name,FALSE
00-0041027,LOV121782,LoveJe00,Jeremiyah Love,Jeremiyah Love,RB,Notre Dame,1,3,ARI,0.0049143219366669655,1.000000933924167,0.15984752380021683,0.15746927972118868,0.6826831964785944,Baseline,pfr_id,FALSE
00-0041512,PRI206342,PricJa02,Jadarian Price,Jadarian Price,RB,Notre Dame,1,32,SEA,0.0018007864709943533,1.000000933924167,0.1590916098549978,0.15822013464081808,0.6826882555041841,Baseline,pfr_id,FALSE
00-0041052,BLA097235,BlacKa00,Kaelon Black,Kaelon Black,RB,Indiana,3,90,SFO,2.5472301058471203e-4,1.000000933924167,0.1587171232750585,0.15859385225221287,0.6826890244727286,Baseline,name_pos,FALSE
00-0041496,COL293648,ColeJo00,Jonah Coleman,Jonah Coleman,RB,Washington,4,108,DEN,0.007750656921416521,1.000000933924167,0.16053817981322197,0.15678731567197207,0.6826745045148059,Baseline,pfr_id,FALSE
00-0040878,WAS797326,WashMi00,Mike Washington Jr.,Mike Washington Jr.,RB,Arkansas,4,122,LVR,0.001685807015746832,1.000000933924167,0.15906373969163376,0.1582479078016358,0.6826883525067304,Baseline,pfr_id,FALSE
00-0041081,BRE060106,BredMa00,Max Bredeson,Max Bredeson,RB,Michigan,5,159,MIN,-0.02386840619146824,1.000000933924167,0.15294894319320243,0.16449985420720198,0.6825512025995957,Baseline,name_only,FALSE
00-0041013,JOH224817,JohnEm01,Emmett Johnson,Emmett Johnson,RB,Nebraska,5,161,KAN,0.005662337876856327,1.000000933924167,0.1600294789253638,0.15728923892837027,0.682681282146266,Baseline,pfr_id,FALSE
NA,NA,SingNi01,Nicholas Singleton,Nicholas Singleton,RB,Penn State,5,165,TEN,0.0012857464607805014,1.000000933924167,0.15896679292211388,0.15834456691678878,0.6826886401610973,Baseline,pfr_id,FALSE
00-0040888,RAN022436,RandAd00,Adam Randall,Adam Randall,RB,Clemson,5,174,BAL,-0.019201455637812614,1.000000933924167,0.15405389377480755,0.16334627401768897,0.6825998322075035,Baseline,pfr_id,FALSE
00-0041096,ALL532376,AlleKa01,Kaytron Allen,Kaytron Allen,RB,Penn State,6,187,WAS,0.002586134010925889,1.000000933924167,0.1592820577924559,0.15803052035180584,0.6826874218557383,Baseline,pfr_id,FALSE
00-0041104,CLA041524,ClaiDe00,Demond Claiborne,Demond Claiborne,RB,Wake Forest,6,198,MIN,0.006133827846497297,1.000000933924167,0.16014423857905427,0.15717582504297634,0.6826799363779694,Baseline,pfr_id,FALSE
00-0041125,MCG547540,McGoSe01,Seth McGowan,Seth McGowan,RB,Kentucky,7,237,IND,-0.0015001483261585236,1.000000933924167,0.15829276020658573,0.15901874416131803,0.6826884956320962,Baseline,pfr_id,FALSE
00-0041129,MIL303300,MillJa03,Jam Miller,Jam Miller,RB,Alabama,7,245,NWE,2.536367392167449e-4,1.000000933924167,0.15871686036237861,0.1585941150312728,0.6826890246063486,Baseline,name_pos,FALSE
00-0041191,JON150008,JoneCa06,Cash Jones,Cash Jones,RB,Georgia,NA,NA,ATL,0.003597220638766885,1.000000933924167,0.1595274675417122,0.15778662337329036,0.6826859090849975,Baseline,udfa_name,FALSE
00-0041239,TRA547801,TrayCh00,Chip Trayanum,Chip Trayanum,RB,Toledo,NA,NA,NYJ,0.0031257309019565582,1.000000933924167,0.15941299733094108,0.15790032658895276,0.6826866760801062,Baseline,udfa_name,FALSE
00-0041326,DON153725,DonaCJ00,CJ Donaldson,CJ Donaldson,RB,Ohio State,NA,NA,NO,-0.002506181364879012,1.000000933924167,0.1580498172932202,0.15926266233448833,0.6826875203722915,Baseline,udfa_name,FALSE
00-0041415,CON545055,ConnDe00,Dean Connors,Dean Connors,RB,Houston,NA,NA,LA,0.0011939748656004667,1.000000933924167,0.15894455935040877,0.15836674542383553,0.6826886952257557,Baseline,udfa_name,FALSE
00-0040937,RIC410819,NA,Dominic Richardson,Dominic Richardson,RB,Tulsa,NA,NA,DAL,0.004758643917739391,1.000000933924167,0.159809672090944,0.15750676705797387,0.6826835608510822,Baseline,udfa_name,FALSE
00-0040964,SMI251720,SmitEJ00,EJ Smith,E.J. Smith,RB,Texas A&M,NA,NA,KC,0.0047416663728654385,1.000000933924167,0.15980554450832948,0.15751085561302625,0.6826835998786442,Baseline,udfa_name,FALSE
