season,week,player_name,player_name_norm,position,ecr_rank,pos_rank,ecr_best,ecr_worst,team,fp_player_id,scoring,era,source_page,wayback_ts,before_kick
2021,12,Lamar Jackson,lamar jackson,QB,1,1,1,3,BAL,17233,STD,json,qb,20211129174540,FALSE
2021,12,Josh Allen,josh allen,QB,2,2,1,4,BUF,17298,STD,json,qb,20211129174540,FALSE
2021,12,Tom Brady,tom brady,QB,3,3,1,4,TB,9603,STD,json,qb,20211129174540,FALSE
2021,12,Jalen Hurts,jalen hurts,QB,4,4,2,4,PHI,19275,STD,json,qb,20211129174540,FALSE
2021,12,Justin Herbert,justin herbert,QB,5,5,5,7,LAC,18635,STD,json,qb,20211129174540,FALSE
2021,12,Dak Prescott,dak prescott,QB,6,6,4,8,DAL,15600,STD,json,qb,20211129174540,FALSE
2021,12,Aaron Rodgers,aaron rodgers,QB,7,7,5,10,GB,9001,STD,json,qb,20211129174540,FALSE
2021,12,Matthew Stafford,matthew stafford,QB,8,8,7,11,LAR,9451,STD,json,qb,20211129174540,FALSE
2021,12,Cam Newton,cam newton,QB,9,9,7,11,CAR,9869,STD,json,qb,20211129174540,FALSE
2021,12,Russell Wilson,russell wilson,QB,10,10,7,13,SEA,11180,STD,json,qb,20211129174540,FALSE
2021,12,Kirk Cousins,kirk cousins,QB,11,11,8,12,MIN,11177,STD,json,qb,20211129174540,FALSE
2021,12,Joe Burrow,joe burrow,QB,12,12,9,14,CIN,19196,STD,json,qb,20211129174540,FALSE
2021,12,Derek Carr,derek carr,QB,13,13,13,17,LV,12092,STD,json,qb,20211129174540,FALSE
2021,12,Taylor Heinicke,taylor heinicke,QB,14,14,11,19,WAS,13932,STD,json,qb,20211129174540,FALSE
2021,12,Carson Wentz,carson wentz,QB,15,15,13,18,IND,15520,STD,json,qb,20211129174540,FALSE
2021,12,Tyrod Taylor,tyrod taylor,QB,16,16,13,18,HOU,10007,STD,json,qb,20211129174540,FALSE
2021,12,Jimmy Garoppolo,jimmy garoppolo,QB,17,17,13,19,SF,12208,STD,json,qb,20211129174540,FALSE
2021,12,Tua Tagovailoa,tua tagovailoa,QB,18,18,15,23,MIA,19198,STD,json,qb,20211129174540,FALSE
2021,12,Mac Jones,mac jones,QB,19,19,17,22,NE,20156,STD,json,qb,20211129174540,FALSE
2021,12,Daniel Jones,daniel jones,QB,20,20,14,23,NYG,18232,STD,json,qb,20211129174540,FALSE
2021,12,Matt Ryan,matt ryan,QB,21,21,16,26,ATL,9444,STD,json,qb,20211129174540,FALSE
2021,12,Ben Roethlisberger,ben roethlisberger,QB,22,22,18,25,PIT,9039,STD,json,qb,20211129174540,FALSE
2021,12,Andy Dalton,andy dalton,QB,23,23,20,26,CHI,9907,STD,json,qb,20211129174540,FALSE
2021,12,Teddy Bridgewater,teddy bridgewater,QB,24,24,21,27,DEN,12088,STD,json,qb,20211129174540,FALSE
2021,12,Ryan Tannehill,ryan tannehill,QB,25,25,20,27,TEN,11174,STD,json,qb,20211129174540,FALSE
2021,12,Trevor Lawrence,trevor lawrence,QB,26,26,21,27,JAC,19780,STD,json,qb,20211129174540,FALSE
2021,12,Baker Mayfield,baker mayfield,QB,27,27,26,29,CLE,17237,STD,json,qb,20211129174540,FALSE
2021,12,Zach Wilson,zach wilson,QB,28,28,26,33,NYJ,22679,STD,json,qb,20211129174540,FALSE
2021,12,Trevor Siemian,trevor siemian,QB,29,29,27,30,NO,14142,STD,json,qb,20211129174540,FALSE
2021,12,Jared Goff,jared goff,QB,30,30,28,34,DET,15501,STD,json,qb,20211129174540,FALSE
2021,12,Taysom Hill,taysom hill,QB,31,31,30,33,NO,17115,STD,json,qb,20211129174540,FALSE
2021,12,Trey Lance,trey lance,QB,32,32,32,35,SF,20082,STD,json,qb,20211129174540,FALSE
2021,12,Tim Boyle,tim boyle,QB,33,33,31,48,DET,17801,STD,json,qb,20211129174540,FALSE
2021,12,Joe Flacco,joe flacco,QB,34,34,30,34,NYJ,9300,STD,json,qb,20211129174540,FALSE
2021,12,Josh Johnson,josh johnson,QB,35,35,32,37,NYJ,9326,STD,json,qb,20211129174540,FALSE
2021,12,Tyler Huntley,tyler huntley,QB,36,36,35,38,BAL,19297,STD,json,qb,20211129174540,FALSE
2021,12,Jacoby Brissett,jacoby brissett,QB,37,37,33,39,MIA,15642,STD,json,qb,20211129174540,FALSE
2021,12,Case Keenum,case keenum,QB,38,38,34,42,CLE,11425,STD,json,qb,20211129174540,FALSE
2021,12,Christian McCaffrey,christian mccaffrey,RB,1,1,1,3,CAR,16393,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Austin Ekeler,austin ekeler,RB,2,2,2,6,LAC,16483,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jonathan Taylor,jonathan taylor,RB,3,3,1,4,IND,19217,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Dalvin Cook,dalvin cook,RB,4,4,2,6,MIN,16374,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,D'Andre Swift,dandre swift,RB,5,5,5,7,DET,19210,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Najee Harris,najee harris,RB,6,6,3,10,PIT,19302,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Joe Mixon,joe mixon,RB,7,7,6,9,CIN,16420,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ezekiel Elliott,ezekiel elliott,RB,8,8,6,12,DAL,15498,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,David Montgomery,david montgomery,RB,9,9,7,13,CHI,18239,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,James Robinson,james robinson,RB,10,10,8,12,JAC,19631,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Nick Chubb,nick chubb,RB,11,11,8,15,CLE,17246,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Saquon Barkley,saquon barkley,RB,12,12,9,19,NYG,17240,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Cordarrelle Patterson,cordarrelle patterson,RB,13,13,8,18,ATL,11613,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Darrell Henderson Jr.,darrell henderson,RB,14,14,11,17,LAR,18588,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Leonard Fournette,leonard fournette,RB,15,15,13,18,TB,16378,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Antonio Gibson,antonio gibson,RB,16,16,14,17,WAS,19624,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,AJ Dillon,aj dillon,RB,17,17,12,20,GB,19358,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Miles Sanders,miles sanders,RB,18,18,14,20,PHI,18283,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Elijah Mitchell,elijah mitchell,RB,19,19,14,26,SF,22813,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Josh Jacobs,josh jacobs,RB,20,20,17,27,LV,18269,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Myles Gaskin,myles gaskin,RB,21,21,16,26,MIA,17251,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Javonte Williams,javonte williams,RB,22,22,16,26,DEN,22739,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Melvin Gordon III,melvin gordon,RB,23,23,19,27,DEN,13903,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Damien Harris,damien harris,RB,24,24,24,28,NE,18230,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Tony Pollard,tony pollard,RB,25,25,21,32,DAL,18705,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Rhamondre Stevenson,rhamondre stevenson,RB,26,26,22,31,NE,22726,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Devonta Freeman,devonta freeman,RB,27,27,23,35,BAL,12108,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,D'Onta Foreman,donta foreman,RB,28,28,28,39,TEN,16407,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,J.D. McKissic,jd mckissic,RB,29,29,28,38,WAS,16230,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Tony Jones Jr.,tony jones,RB,30,30,22,52,NO,19482,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ty Johnson,ty johnson,RB,31,31,26,33,NYJ,18406,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kareem Hunt,kareem hunt,RB,32,32,21,69,CLE,16425,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Alex Collins,alex collins,RB,33,33,27,38,SEA,15546,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Tevin Coleman,tevin coleman,RB,34,34,34,46,NYJ,13926,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Boston Scott,boston scott,RB,35,35,31,50,PHI,17612,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Devin Singletary,devin singletary,RB,36,36,32,44,BUF,18280,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Dontrell Hilliard,dontrell hilliard,RB,37,37,31,66,TEN,18037,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kenyan Drake,kenyan drake,RB,38,38,34,42,LV,15637,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,David Johnson,david johnson,RB,39,39,34,45,HOU,13948,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Matt Breida,matt breida,RB,40,40,33,47,BUF,17058,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jeff Wilson Jr.,jeff wilson,RB,41,41,27,46,SF,18026,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Rex Burkhead,rex burkhead,RB,42,42,34,47,HOU,11655,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Nyheim Hines,nyheim hines,RB,43,43,39,46,IND,17297,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Latavius Murray,latavius murray,RB,44,44,34,48,BAL,11821,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jamaal Williams,jamaal williams,RB,45,45,42,49,DET,16424,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,DeeJay Dallas,deejay dallas,RB,46,46,32,51,SEA,19521,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Aaron Jones,aaron jones,RB,47,47,20,81,GB,16673,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Mike Davis,mike davis,RB,48,48,43,52,ATL,13943,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Brandon Bolden,brandon bolden,RB,49,49,47,54,NE,11410,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Giovani Bernard,giovani bernard,RB,50,50,49,59,TB,11644,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Samaje Perine,samaje perine,RB,51,51,48,59,CIN,16423,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Devontae Booker,devontae booker,RB,52,52,47,61,NYG,15555,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ronald Jones II,ronald jones,RB,53,53,48,59,TB,17243,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Sony Michel,sony michel,RB,54,54,48,80,LAR,17309,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Alexander Mattison,alexander mattison,RB,55,55,46,62,MIN,18621,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Khalil Herbert,khalil herbert,RB,56,56,50,73,CHI,22763,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Carlos Hyde,carlos hyde,RB,57,57,55,67,JAC,12105,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kyle Juszczyk,kyle juszczyk,RB,58,58,51,71,SF,11798,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kenneth Gainwell,kenneth gainwell,RB,59,59,55,75,PHI,23310,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Chuba Hubbard,chuba hubbard,RB,60,60,59,70,CAR,19792,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jaret Patterson,jaret patterson,RB,61,61,56,78,WAS,20155,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Duke Johnson Jr.,duke johnson,RB,62,62,50,72,MIA,13939,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,D'Ernest Johnson,dernest johnson,RB,63,63,45,80,CLE,19111,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Patrick Taylor Jr.,patrick taylor,RB,64,64,59,74,GB,19544,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Wayne Gallman Jr.,wayne gallman,RB,65,65,63,75,ATL,16422,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Dwayne Washington,dwayne washington,RB,66,66,49,88,NO,15850,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Trey Sermon,trey sermon,RB,67,67,59,90,SF,19425,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ameer Abdullah,ameer abdullah,RB,68,68,64,78,CAR,13924,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Chris Evans,chris evans,RB,69,69,63,77,CIN,22797,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Qadree Ollison,qadree ollison,RB,70,70,46,90,ATL,18480,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ty Montgomery,ty montgomery,RB,71,71,50,91,NO,13977,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Benny Snell Jr.,benny snell,RB,72,72,64,84,PIT,18609,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jalen Richard,jalen richard,RB,73,73,65,84,LV,16120,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Justin Jackson,justin jackson,RB,74,74,66,86,LAC,17300,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kalen Ballage,kalen ballage,RB,75,75,71,83,PIT,17250,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Phillip Lindsay,phillip lindsay,RB,76,76,59,80,MIA,17498,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Patrick Laird,patrick laird,RB,77,77,78,84,MIA,18332,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Demetric Felton,demetric felton,RB,78,78,70,85,CLE,20105,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Joshua Kelley,joshua kelley,RB,79,79,72,95,LAC,19445,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Elijhaa Penny,elijhaa penny,RB,80,80,78,92,NYG,16267,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Godwin Igwebuike,godwin igwebuike,RB,81,81,70,99,DET,17352,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Keith Smith,keith smith,RB,82,82,61,85,ATL,13192,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Dare Ogunbowale,dare ogunbowale,RB,83,83,75,93,JAC,16879,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Salvon Ahmed,salvon ahmed,RB,84,84,74,92,MIA,19449,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,C.J. Ham,cj ham,RB,85,85,73,88,MIN,16209,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Patrick Ricard,patrick ricard,RB,86,86,71,87,BAL,17145,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Royce Freeman,royce freeman,RB,87,87,62,93,HOU,17245,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Ty'Son Williams,tyson williams,RB,88,88,79,97,BAL,19636,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Corey Clement,corey clement,RB,89,89,79,95,DAL,16446,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Khari Blasingame,khari blasingame,RB,90,90,75,89,TEN,18847,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Adrian Peterson,adrian peterson,RB,91,91,38,99,FA,9006,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jakob Johnson,jakob johnson,RB,92,92,83,100,NE,18673,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Jermar Jefferson,jermar jefferson,RB,93,93,78,102,DET,20088,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Alex Armah Jr.,alex armah,RB,94,94,72,91,NO,16707,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Rodney Smith,rodney smith,RB,95,95,83,85,TEN,19470,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,La'Mical Perine,lamical perine,RB,96,96,66,83,NYJ,19333,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Austin Walter,austin walter,RB,97,97,80,101,NYJ,19032,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,J.J. Taylor,jj taylor,RB,98,98,79,91,NE,19438,PPR,json,ppr-rb,20211129174741,FALSE
2021,12,Kene Nwangwu,kene nwangwu,RB,99,99,68,98,MIN,23249,PPR,json,ppr-rb,20211129174741,FALSE
