page,wayback_ts,status,week_label,n_players
flex,20160101115628,parse_fail,NA,0
flex,20160104232309,parse_fail,NA,0
flex,20161230150818,ok,17,252
flex,20171004013426,ok,5,250
flex,20171011021502,ok,6,239
flex,20171018022007,ok,7,254
flex,20171025040644,ok,8,225
flex,20171101222212,parse_fail,NA,0
flex,20171108225354,parse_fail,NA,0
flex,20171116000905,parse_fail,NA,0
flex,20171119210430,ok,11,239
flex,20171123001700,ok,12,278
flex,20171130005430,ok,13,277
flex,20171203014529,ok,13,257
flex,20171207004817,ok,14,257
flex,20171214012701,ok,15,277
flex,20171223012709,ok,16,273
flex,20171228014908,ok,17,254
flex,20180104020008,not_weekly,NA,0
flex,20180905093203,ok,1,277
flex,20180912065140,ok,2,273
flex,20180913055905,ok,2,288
flex,20180919041659,ok,3,268
flex,20180927023854,ok,4,271
flex,20181004052725,ok,5,252
flex,20181008173348,ok,5,243
flex,20181010050950,ok,6,245
flex,20181017053436,ok,7,251
flex,20181024055710,ok,8,250
flex,20181031062259,ok,9,225
flex,20181106234337,ok,10,218
flex,20181107210351,ok,10,240
flex,20181114000537,ok,11,215
flex,20181116044917,ok,11,253
flex,20181121010403,ok,12,234
flex,20181128014406,ok,13,270
flex,20181205061008,ok,14,277
flex,20181212024130,ok,15,308
flex,20181218235916,ok,16,303
flex,20181219030905,ok,16,303
flex,20181226032812,ok,17,230
flex,20181227125440,ok,17,247
flex,20190102023755,not_weekly,NA,0
flex,20190909061321,ok,1,310
flex,20190916064930,ok,2,316
flex,20190923074826,ok,3,343
flex,20190930075643,ok,4,320
flex,20191007085545,ok,5,314
flex,20191014094132,ok,6,294
flex,20191023142852,ok,8,318
flex,20191028234030,ok,8,326
flex,20191105003223,ok,9,317
flex,20191112010958,ok,10,301
flex,20191119025531,ok,11,312
flex,20191126040544,ok,12,306
flex,20191128151627,ok,13,367
flex,20191203110643,ok,14,283
flex,20191210061922,ok,15,281
flex,20191213083720,ok,15,364
flex,20191214075129,ok,15,355
