
── Step 3A-v2: Nested-Walk-Forward-Tuned LightGBM ──────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout (same as cal split)
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3B)
ℹ Rubric: FROZEN (unchanged veto, decision rule, folds)
✔ Feature table: 11918 rows | Fold map: 204 folds | Expected test rows: 11621
ℹ ARM B: volume features extended with 7 injury-state features

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 01 [2014-W06]: 63 rows | eff: leaves=7 minnode=50 lr=0.02 rds=95 | vol: leaves=15 minnode=20 lr=0.02 rds=89 | 1s
ℹ Fold 02 [2014-W07]: 58 rows | eff: leaves=7 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=94 | 1s
ℹ Fold 03 [2014-W08]: 57 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=15 minnode=10 lr=0.02 rds=125 | 1s
ℹ Fold 04 [2014-W09]: 53 rows | eff: leaves=7 minnode=20 lr=0.05 rds=85 | vol: leaves=7 minnode=20 lr=0.05 rds=59 | 1s
ℹ Fold 05 [2014-W10]: 53 rows | eff: leaves=7 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=141 | 1s
ℹ Fold 06 [2014-W11]: 51 rows | eff: leaves=7 minnode=100 lr=0.02 rds=40 | vol: leaves=7 minnode=10 lr=0.02 rds=140 | 1s
ℹ Fold 07 [2014-W12]: 60 rows | eff: leaves=7 minnode=20 lr=0.02 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=176 | 1s
ℹ Fold 08 [2014-W13]: 61 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=121 | 1s
ℹ Fold 09 [2014-W14]: 58 rows | eff: leaves=7 minnode=100 lr=0.02 rds=115 | vol: leaves=7 minnode=100 lr=0.05 rds=110 | 1s
ℹ Fold 10 [2014-W15]: 64 rows | eff: leaves=7 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=100 | 1s
ℹ Fold 11 [2014-W16]: 62 rows | eff: leaves=7 minnode=10 lr=0.02 rds=19 | vol: leaves=15 minnode=50 lr=0.02 rds=150 | 1s
ℹ Fold 12 [2014-W17]: 70 rows | eff: leaves=7 minnode=100 lr=0.02 rds=65 | vol: leaves=15 minnode=50 lr=0.05 rds=86 | 1s
ℹ Fold 13 [2015-W01]: 60 rows | eff: leaves=15 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=165 | 1s
ℹ Fold 14 [2015-W02]: 60 rows | eff: leaves=31 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=56 | 1s
ℹ Fold 15 [2015-W03]: 67 rows | eff: leaves=31 minnode=10 lr=0.02 rds=45 | vol: leaves=7 minnode=100 lr=0.02 rds=88 | 1s
ℹ Fold 16 [2015-W04]: 57 rows | eff: leaves=7 minnode=10 lr=0.02 rds=36 | vol: leaves=7 minnode=100 lr=0.02 rds=65 | 1s
ℹ Fold 17 [2015-W05]: 59 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.05 rds=33 | 1s
ℹ Fold 18 [2015-W06]: 55 rows | eff: leaves=15 minnode=20 lr=0.02 rds=24 | vol: leaves=7 minnode=10 lr=0.02 rds=99 | 1s
ℹ Fold 19 [2015-W07]: 59 rows | eff: leaves=7 minnode=20 lr=0.02 rds=50 | vol: leaves=15 minnode=10 lr=0.05 rds=44 | 1s
ℹ Fold 20 [2015-W08]: 49 rows | eff: leaves=7 minnode=10 lr=0.05 rds=16 | vol: leaves=7 minnode=20 lr=0.02 rds=182 | 2s
ℹ Fold 21 [2015-W09]: 45 rows | eff: leaves=7 minnode=10 lr=0.05 rds=16 | vol: leaves=7 minnode=10 lr=0.05 rds=132 | 2s
ℹ Fold 22 [2015-W10]: 51 rows | eff: leaves=7 minnode=10 lr=0.05 rds=56 | vol: leaves=7 minnode=10 lr=0.02 rds=187 | 2s
ℹ Fold 23 [2015-W11]: 55 rows | eff: leaves=15 minnode=10 lr=0.02 rds=75 | vol: leaves=7 minnode=10 lr=0.02 rds=209 | 2s
ℹ Fold 24 [2015-W12]: 61 rows | eff: leaves=15 minnode=10 lr=0.02 rds=42 | vol: leaves=7 minnode=50 lr=0.05 rds=90 | 2s
