
── Step 12b: TE Nested-Walk-Forward-Tuned LightGBM ─────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3A-v2)
ℹ Rubric: FROZEN (unchanged veto, decision rule, fold_map)
✔ TE feature table: 6765 rows | Fold map: 204 folds | Expected test rows: 6599
✔ All model features present in TE feature table

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 01 [2014-W06]: 33 rows | eff: leaves=7 minnode=50 lr=0.02 rds=42 | vol: leaves=7 minnode=20 lr=0.05 rds=41 | 0s
ℹ Fold 02 [2014-W07]: 32 rows | eff: leaves=15 minnode=10 lr=0.05 rds=34 | vol: leaves=15 minnode=10 lr=0.05 rds=70 | 0s
ℹ Fold 03 [2014-W08]: 34 rows | eff: leaves=15 minnode=10 lr=0.02 rds=61 | vol: leaves=7 minnode=10 lr=0.05 rds=20 | 0s
ℹ Fold 04 [2014-W09]: 24 rows | eff: leaves=7 minnode=10 lr=0.05 rds=76 | vol: leaves=7 minnode=50 lr=0.02 rds=140 | 1s
ℹ Fold 05 [2014-W10]: 27 rows | eff: leaves=7 minnode=100 lr=0.05 rds=70 | vol: leaves=15 minnode=10 lr=0.05 rds=14 | 0s
ℹ Fold 06 [2014-W11]: 29 rows | eff: leaves=7 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.05 rds=10 | 0s
ℹ Fold 07 [2014-W12]: 35 rows | eff: leaves=15 minnode=20 lr=0.05 rds=29 | vol: leaves=7 minnode=100 lr=0.05 rds=35 | 0s
ℹ Fold 08 [2014-W13]: 25 rows | eff: leaves=15 minnode=10 lr=0.05 rds=23 | vol: leaves=7 minnode=10 lr=0.05 rds=20 | 0s
ℹ Fold 09 [2014-W14]: 31 rows | eff: leaves=31 minnode=10 lr=0.02 rds=19 | vol: leaves=7 minnode=50 lr=0.05 rds=75 | 1s
ℹ Fold 10 [2014-W15]: 26 rows | eff: leaves=7 minnode=100 lr=0.05 rds=45 | vol: leaves=7 minnode=100 lr=0.05 rds=86 | 1s
ℹ Fold 11 [2014-W16]: 37 rows | eff: leaves=7 minnode=100 lr=0.05 rds=45 | vol: leaves=7 minnode=100 lr=0.05 rds=120 | 1s
ℹ Fold 12 [2014-W17]: 37 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=31 minnode=10 lr=0.05 rds=37 | 1s
ℹ Fold 13 [2015-W01]: 32 rows | eff: leaves=7 minnode=10 lr=0.05 rds=15 | vol: leaves=7 minnode=10 lr=0.02 rds=65 | 1s
ℹ Fold 14 [2015-W02]: 37 rows | eff: leaves=15 minnode=10 lr=0.02 rds=10 | vol: leaves=31 minnode=20 lr=0.05 rds=55 | 1s
ℹ Fold 15 [2015-W03]: 35 rows | eff: leaves=15 minnode=10 lr=0.05 rds=15 | vol: leaves=15 minnode=20 lr=0.05 rds=29 | 1s
ℹ Fold 16 [2015-W04]: 32 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=15 minnode=20 lr=0.05 rds=28 | 1s
ℹ Fold 17 [2015-W05]: 33 rows | eff: leaves=7 minnode=10 lr=0.05 rds=10 | vol: leaves=31 minnode=10 lr=0.05 rds=30 | 1s
ℹ Fold 18 [2015-W06]: 37 rows | eff: leaves=7 minnode=10 lr=0.05 rds=10 | vol: leaves=15 minnode=10 lr=0.05 rds=35 | 1s
ℹ Fold 19 [2015-W07]: 31 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.05 rds=45 | 1s
ℹ Fold 20 [2015-W08]: 28 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=31 minnode=10 lr=0.02 rds=126 | 1s
ℹ Fold 21 [2015-W09]: 32 rows | eff: leaves=7 minnode=20 lr=0.02 rds=30 | vol: leaves=7 minnode=10 lr=0.02 rds=145 | 1s
ℹ Fold 22 [2015-W10]: 41 rows | eff: leaves=7 minnode=10 lr=0.02 rds=20 | vol: leaves=7 minnode=20 lr=0.05 rds=116 | 1s
ℹ Fold 23 [2015-W11]: 36 rows | eff: leaves=15 minnode=10 lr=0.05 rds=25 | vol: leaves=7 minnode=10 lr=0.05 rds=72 | 1s
ℹ Fold 24 [2015-W12]: 39 rows | eff: leaves=63 minnode=10 lr=0.05 rds=17 | vol: leaves=7 minnode=100 lr=0.02 rds=170 | 1s
ℹ Fold 25 [2015-W13]: 38 rows | eff: leaves=7 minnode=10 lr=0.02 rds=50 | vol: leaves=7 minnode=100 lr=0.02 rds=113 | 1s
ℹ Fold 26 [2015-W14]: 35 rows | eff: leaves=7 minnode=10 lr=0.02 rds=50 | vol: leaves=7 minnode=100 lr=0.02 rds=123 | 1s
ℹ Fold 27 [2015-W15]: 40 rows | eff: leaves=31 minnode=10 lr=0.05 rds=27 | vol: leaves=7 minnode=100 lr=0.02 rds=97 | 1s
ℹ Fold 28 [2015-W16]: 33 rows | eff: leaves=31 minnode=20 lr=0.05 rds=11 | vol: leaves=7 minnode=100 lr=0.02 rds=95 | 1s
ℹ Fold 29 [2015-W17]: 36 rows | eff: leaves=31 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=60 | 1s
ℹ Fold 30 [2016-W01]: 36 rows | eff: leaves=63 minnode=10 lr=0.05 rds=25 | vol: leaves=7 minnode=50 lr=0.05 rds=75 | 1s
