fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse,vol_num_leaves,vol_lr,vol_min_node,vol_rounds,vol_inner_rmse
1,7,0.02,50,95,0.3139,31,0.05,10,38,6.2963
2,7,0.05,10,8,0.369,7,0.05,20,96,5.8556
3,15,0.05,10,6,0.2893,31,0.05,10,55,5.4572
4,7,0.05,20,85,0.291,7,0.05,20,78,4.8607
5,7,0.05,100,10,0.3292,7,0.05,10,59,4.9602
6,7,0.02,100,40,0.3363,7,0.05,10,57,5.1513
7,7,0.02,20,10,0.3396,7,0.02,10,170,6.6815
8,15,0.05,20,3,0.308,7,0.05,100,118,6.4463
9,7,0.02,100,115,0.2871,7,0.02,100,180,5.6215
10,7,0.05,100,5,0.2796,7,0.05,100,98,6.3527
11,7,0.02,10,19,0.2781,7,0.05,100,98,5.9876
12,7,0.02,100,65,0.2817,15,0.05,50,80,5.5198
13,15,0.05,50,5,0.287,7,0.02,100,165,5.0761
14,31,0.05,20,9,0.2822,7,0.05,100,68,5.5806
15,31,0.02,10,45,0.2685,7,0.02,50,75,5.794
16,7,0.02,10,36,0.2764,7,0.02,100,66,5.9772
17,7,0.05,20,3,0.2939,7,0.02,10,66,6.148
18,15,0.02,20,24,0.3225,7,0.05,100,32,5.9335
19,7,0.02,20,50,0.331,7,0.02,100,127,5.7794
20,7,0.05,10,16,0.3368,7,0.05,100,105,5.4267
21,7,0.05,10,16,0.3196,7,0.02,50,159,5.5175
22,7,0.05,10,56,0.3175,7,0.02,10,200,5.7824
23,15,0.02,10,75,0.3006,7,0.02,100,196,5.7115
24,15,0.02,10,42,0.3196,7,0.05,50,86,6.0082
25,15,0.05,10,22,0.3196,7,0.05,100,94,6.0606
26,31,0.05,10,19,0.3131,7,0.05,100,70,6.0119
27,31,0.05,10,20,0.3235,15,0.02,50,118,6.0117
28,31,0.02,10,42,0.3381,31,0.02,50,90,5.7985
29,7,0.02,10,44,0.3351,15,0.02,100,92,5.5888
30,7,0.05,100,6,0.3341,15,0.02,100,94,5.5111
31,7,0.05,100,29,0.3335,15,0.02,100,94,5.7729
32,7,0.05,50,7,0.3291,15,0.05,50,39,5.8604
33,31,0.05,50,2,0.3355,7,0.05,10,115,5.7866
34,31,0.05,10,5,0.3337,7,0.05,10,126,5.6864
35,15,0.02,100,25,0.3171,7,0.02,50,174,5.8097
36,15,0.02,100,25,0.3148,7,0.02,50,174,5.7714
