fold,model,rhat_max,n_divergent
1,eff,1.0131341485140906,0
1,vol,1.0100211292204573,0
2,eff,1.0120895084819608,0
2,vol,1.0138796791282267,0
3,eff,1.0137646171710892,0
3,vol,1.010057124226481,0
4,eff,1.020349008034698,0
4,vol,1.0117589071526993,0
5,eff,1.0123340945972117,0
5,vol,1.0116624464019233,0
6,eff,1.0058982461952166,0
6,vol,1.0152059438733838,0
7,eff,1.0086289282097143,0
7,vol,1.0134454853629522,0
8,eff,1.019913500587527,0
8,vol,1.0080222287011993,0
9,eff,1.0304267137011005,0
9,vol,1.0077297376474013,0
10,eff,1.0090364606030369,0
10,vol,1.009172203119842,0
11,eff,1.0840226247494238,0
11,vol,1.0092192271775022,0
12,eff,1.0143553558382772,0
12,vol,1.01337487114692,0
13,eff,1.0096093283395586,0
13,vol,1.0087948582499497,0
14,eff,1.0110363677387761,0
14,vol,1.0085667021178963,0
15,eff,1.014109218077723,0
15,vol,1.010788370552717,0
16,eff,1.0289602705204246,0
16,vol,1.0098061468477448,0
17,eff,1.0077891832180839,0
17,vol,1.0119111445278641,0
18,eff,1.0089180985742783,0
18,vol,1.0071947333111877,0
19,eff,1.0162188045600422,0
19,vol,1.0091976762558588,0
20,eff,1.0134060385176045,0
20,vol,1.0138491835130559,0
21,eff,1.0090601370373127,0
21,vol,1.0091837631725125,0
22,eff,1.016504391998611,0
22,vol,1.0091634920762513,0
23,eff,1.011088379259991,0
23,vol,1.011775728611582,0
24,eff,1.0194262107633805,0
24,vol,1.0084686487393921,0
25,eff,1.017245701230534,0
25,vol,1.0133137399975782,0
26,eff,1.0104860329313834,0
26,vol,1.012637616733129,0
27,eff,1.0079210694976308,0
27,vol,1.0118345058048708,0
28,eff,1.0111823676042342,0
28,vol,1.0088072644968131,0
29,eff,1.0099705613184624,0
29,vol,1.0135524216625658,0
30,eff,1.0156400790943163,0
30,vol,1.0151442430571995,0
31,eff,1.0091555626274815,0
31,vol,1.0107899818538943,0
32,eff,1.0114944356961468,0
32,vol,1.0136909415025996,0
33,eff,1.011667493312573,0
33,vol,1.0103548354765952,0
34,eff,1.0144963846341208,0
34,vol,1.0119033077212842,0
35,eff,1.01299799118168,0
35,vol,1.0099506081489706,0
36,eff,1.0100189632780912,0
36,vol,1.0122911496058342,0
37,eff,1.012094146827116,0
37,vol,1.0114294723004973,0
38,eff,1.0091938707637684,0
38,vol,1.0104909017012567,0
39,eff,1.0142792384585735,0
39,vol,1.0156444832613492,0
40,eff,1.0099839398340256,0
40,vol,1.01081848429839,0
41,eff,1.009841969172153,0
41,vol,1.012119928554391,0
42,eff,1.0148094677475432,0
42,vol,1.012918037644736,0
43,eff,1.0172656670668991,0
43,vol,1.0123953986487986,0
44,eff,1.0255250934391793,0
44,vol,1.0126635027446602,0
45,eff,1.0150295605504576,0
45,vol,1.0115025975594567,0
46,eff,1.0112247143928017,0
46,vol,1.0106724648171888,0
47,eff,1.0093760161069163,0
47,vol,1.011182250224761,0
48,eff,1.009502400321416,0
48,vol,1.01154643619792,0
49,eff,1.0176179006214614,0
49,vol,1.015942995859252,0
50,eff,1.016575908246782,0
50,vol,1.0114796746997161,0
51,eff,1.0078150571152766,0
51,vol,1.01239963265171,0
52,eff,1.0101246422462762,0
52,vol,1.0126429912124117,0
53,eff,1.020923441957678,0
53,vol,1.0124007674976503,0
54,eff,1.010872580343464,0
54,vol,1.0112104020483972,0
55,eff,1.013719594013416,0
55,vol,1.0094370582693737,0
56,eff,1.0094613121929827,0
56,vol,1.0117006686213776,0
57,eff,1.0272884054128897,0
57,vol,1.0149228803667762,0
58,eff,1.011348981047115,0
58,vol,1.0130215688658517,0
59,eff,1.022860301051828,0
59,vol,1.0113212368370672,0
60,eff,1.0089763527680382,0
60,vol,1.0109900729407395,0
61,eff,1.0094229410829247,0
61,vol,1.0100827888269857,0
62,eff,1.0101503387841437,0
62,vol,1.0143528813898939,0
63,eff,1.0131154576041645,0
63,vol,1.0125343177454893,0
64,eff,1.0164024937030864,0
64,vol,1.0132469819312366,0
65,eff,1.013454187420777,0
65,vol,1.0175107016290417,0
66,eff,1.0120231616645199,0
66,vol,1.0095976485577816,0
67,eff,1.016106168725293,0
67,vol,1.0140749514344587,0
68,eff,1.016482043497843,0
68,vol,1.0091016784677553,0
69,eff,1.011275937216276,0
69,vol,1.009388695036228,0
70,eff,1.0221274818235535,0
70,vol,1.0114188788729501,0
71,eff,1.0185541058121703,0
71,vol,1.0115620805057033,0
72,eff,1.024172669350354,0
72,vol,1.0113979029300293,0
73,eff,1.0128992831706103,0
73,vol,1.0115795809763632,0
74,eff,1.0119881988283563,0
74,vol,1.011850546603728,0
75,eff,1.0158120147965304,0
75,vol,1.0123886907532145,0
76,eff,1.0101519111783548,0
76,vol,1.0126778097158857,0
77,eff,1.013549903322486,0
77,vol,1.010779161317078,0
78,eff,1.0153880453752706,0
78,vol,1.0102154229556488,0
79,eff,1.0177059181109056,0
79,vol,1.0157197656983303,0
80,eff,1.0098733508458635,0
80,vol,1.014787779941362,0
81,eff,1.0149496811532817,0
81,vol,1.0092411464320497,0
82,eff,1.0112168836451016,0
82,vol,1.013083626296177,0
83,eff,1.0136681421357994,0
83,vol,1.0183101065109332,0
84,eff,1.0199485653946883,0
84,vol,1.015683589281279,0
85,eff,1.0111731082536224,0
85,vol,1.0118309553656768,0
86,eff,1.0103417436217896,0
86,vol,1.0146855455644055,0
87,eff,1.009787787767937,0
87,vol,1.0256674434150768,0
88,eff,1.010386649223298,0
88,vol,1.012493501052236,0
89,eff,1.0132830494347254,0
89,vol,1.0101886498532548,0
90,eff,1.013432484755556,0
90,vol,1.010357862660303,0
91,eff,1.0093508696726825,0
91,vol,1.0120702707071125,0
92,eff,1.0146467661242944,0
92,vol,1.0107158051740421,0
93,eff,1.0107655761033503,0
93,vol,1.017516412570639,0
94,eff,1.0129102026348913,0
94,vol,1.0160887589186953,0
95,eff,1.0104559565164184,0
95,vol,1.0173942376216993,0
96,eff,1.0166976919887658,0
96,vol,1.010318065820215,0
97,eff,1.0111446572664171,0
97,vol,1.0156942722127316,0
98,eff,1.0120806728357634,0
98,vol,1.0103389366332665,0
99,eff,1.013727039702214,0
99,vol,1.0118331754005612,0
100,eff,1.014472215439003,0
100,vol,1.008791313463696,0
101,eff,1.051729207201404,0
101,vol,1.013571093406252,0
102,eff,1.0178077853633414,0
102,vol,1.0117532092299133,0
103,eff,1.014924211099261,0
103,vol,1.011377368601657,0
104,eff,1.0155460299495935,0
104,vol,1.0132210165935585,0
105,eff,1.0152069715701588,0
105,vol,1.011985886344662,0
106,eff,1.022669385643267,0
106,vol,1.01143509533912,0
107,eff,1.012781311673773,0
107,vol,1.0120612179819424,0
108,eff,1.0092933046106922,0
108,vol,1.0111423859701103,0
109,eff,1.0152485085340845,0
109,vol,1.0134248562618626,0
110,eff,1.0167329847248383,0
110,vol,1.0176674164907538,0
111,eff,1.017336052779761,0
111,vol,1.0125506534129272,0
112,eff,1.0121136142679548,0
112,vol,1.0136228466084025,0
113,eff,1.013876766683177,0
113,vol,1.0150208847214857,0
114,eff,1.0094640691661223,0
114,vol,1.0147744247687003,0
115,eff,1.0105943930787777,0
115,vol,1.0112307519665236,0
116,eff,1.014660919774829,0
116,vol,1.0167034417608056,0
117,eff,1.0168538325015095,0
117,vol,1.0145901964725648,0
118,eff,1.0122408023845137,0
118,vol,1.014731567454663,0
119,eff,1.0123157780671692,0
119,vol,1.0136655127124692,0
120,eff,1.0164208260440464,0
120,vol,1.013900436914416,0
121,eff,1.0126195736913988,0
121,vol,1.0196999191511367,0
122,eff,1.0162543436745288,0
122,vol,1.0125435665571478,0
123,eff,1.01856096147947,0
123,vol,1.0120430725768743,0
124,eff,1.0133995563166458,0
124,vol,1.0094023703025146,0
125,eff,1.0115801820941883,0
125,vol,1.0149693267400897,0
126,eff,1.0107841939697981,0
126,vol,1.0115990277903446,0
127,eff,1.0086245276491461,0
127,vol,1.0110386998328353,0
128,eff,1.0108236346968802,0
128,vol,1.011262740291243,0
129,eff,1.011394486058126,0
129,vol,1.0123098758738762,0
130,eff,1.009242395251952,0
130,vol,1.0150488586005102,0
131,eff,1.0122746961302607,0
131,vol,1.0134509317418814,0
132,eff,1.010637044606262,0
132,vol,1.011080604979823,0
133,eff,1.0117823727890414,0
133,vol,1.0145231849022982,0
134,eff,1.014603252997571,0
134,vol,1.0172069991164547,0
135,eff,1.0087490607792442,0
135,vol,1.0197822802070593,0
136,eff,1.0148968112907182,0
136,vol,1.016304052322152,0
137,eff,1.0144792022926696,0
137,vol,1.0113405112756777,0
138,eff,1.0144876311119297,0
138,vol,1.0378578857861234,0
139,eff,1.0181884437242217,0
139,vol,1.0093404825481413,0
140,eff,1.0219609007267525,0
140,vol,1.0170282120611256,0
141,eff,1.011728531849072,0
141,vol,1.0140461039129396,0
142,eff,1.011514575938755,0
142,vol,1.0117873610838197,0
143,eff,1.017961180599674,0
143,vol,1.0108980978488187,0
144,eff,1.015825769172178,0
144,vol,1.0151019794768743,0
145,eff,1.0108007273958715,0
145,vol,1.0116513038648367,0
146,eff,1.0105099638955513,0
146,vol,1.0156075986537663,0
147,eff,1.0163653842342235,0
147,vol,1.0156372267400757,0
148,eff,1.0096256949286324,0
148,vol,1.0129934084158094,0
149,eff,1.0167003099817462,0
149,vol,1.0117180224076956,0
150,eff,1.0124988895646538,0
150,vol,1.0119671954563636,0
151,eff,1.0158084300757673,0
151,vol,1.0118717673799673,0
152,eff,1.0147805662678588,0
152,vol,1.0129398394333178,0
153,eff,1.010469354817169,0
153,vol,1.015007607947225,0
154,eff,1.014698769104673,0
154,vol,1.0286689027331126,0
155,eff,1.0126765714373092,0
155,vol,1.0116187976800979,0
156,eff,1.015264228374572,0
156,vol,1.0147500787081156,0
157,eff,1.0114172646279356,0
157,vol,1.0160654494273111,0
158,eff,1.014300709204491,0
158,vol,1.0143440536252,0
159,eff,1.0155707345469398,0
159,vol,1.0141163140534506,0
160,eff,1.0164694648095125,0
160,vol,1.0106027444390833,0
161,eff,1.0104651887187817,0
161,vol,1.0113106135915833,0
162,eff,1.0103492291098213,0
162,vol,1.0185398063115183,0
163,eff,1.014232548366627,0
163,vol,1.0137981059244094,0
164,eff,1.0125593250057519,0
164,vol,1.0117234470570786,0
165,eff,1.0111568158656483,0
165,vol,1.0122801335147924,0
166,eff,1.017117684335697,0
166,vol,1.0124902734770174,0
167,eff,1.0158068328620304,0
167,vol,1.0158511449535028,0
168,eff,1.0128425170482311,0
168,vol,1.0139254166779803,0
169,eff,1.0111160990305879,0
169,vol,1.0099402296692412,0
170,eff,1.0113715466244861,0
170,vol,1.0158233924614404,0
171,eff,1.010660314225777,0
171,vol,1.0124103303774,0
172,eff,1.0205002281803466,0
172,vol,1.0174259512013044,0
173,eff,1.013956968958752,0
173,vol,1.0159482620203752,0
174,eff,1.016597328784037,0
174,vol,1.0179229657105509,0
175,eff,1.0107460582891215,0
175,vol,1.0137026088144465,0
176,eff,1.0117609419284934,0
176,vol,1.012586172412083,0
177,eff,1.011469500476533,0
177,vol,1.013262639317996,0
178,eff,1.0090951284493865,0
178,vol,1.0132956847413905,0
179,eff,1.014597636802737,0
179,vol,1.0176837325181174,0
180,eff,1.015439203507329,0
180,vol,1.015788053058422,0
181,eff,1.0148816525092799,0
181,vol,1.0124007608112953,0
182,eff,1.0120630585814978,0
182,vol,1.0215621416631755,0
183,eff,1.0124412977905963,0
183,vol,1.010509778629901,0
184,eff,1.0128811472899741,0
