fold,nu_median,sigma_slope
1,11.660726,-0.29905598
2,9.48724365,-0.347118605
3,9.20312845,-0.33539118999999995
4,9.935435,-0.32599491
5,10.259644,-0.339804835
6,10.205628,-0.32730222
7,12.2503745,-0.31700247000000004
8,13.054634,-0.316578615
9,12.0763365,-0.32385468
10,11.577982,-0.32790123000000004
11,12.403659000000001,-0.31403541
12,12.649758,-0.31734835
13,12.999115,-0.311143135
14,12.984994,-0.29910730500000005
15,13.961103999999999,-0.295774855
16,14.488368999999999,-0.29253832
17,13.3493325,-0.290667995
18,11.4509635,-0.296477965
19,12.419171500000001,-0.291910805
20,11.4818195,-0.291702185
21,11.380354,-0.28596716499999997
22,11.6218965,-0.28878245
23,11.54036,-0.28664695500000004
24,11.440972,-0.288689455
25,11.3494135,-0.28911007499999997
26,10.5928125,-0.289517565
27,11.213701499999999,-0.289181085
28,10.0774525,-0.28680972000000005
29,10.3706755,-0.28531746
30,10.476068999999999,-0.28217023500000005
31,10.629113499999999,-0.28098515
32,10.4416055,-0.2769896
33,10.063156,-0.27787775
34,10.282188,-0.275713495
35,10.476191,-0.27595187
36,10.6517975,-0.277709895
37,10.3657825,-0.28484976500000003
38,10.077615,-0.287225515
39,10.285620999999999,-0.283138825
40,9.49029405,-0.27968445
41,9.3782772,-0.282616295
42,9.0243972,-0.28081290999999997
43,9.21703735,-0.28428829
44,9.109661,-0.28220961
45,9.34329695,-0.281852715
46,9.51739945,-0.28410327
47,8.6148722,-0.282482565
48,8.1455105,-0.277936495
49,8.25262135,-0.27988285
50,7.9198794,-0.28026525999999996
51,8.04693365,-0.28213706000000005
52,7.9469194,-0.27941740000000004
53,7.7862421,-0.279207845
54,7.8061707,-0.276136035
55,7.8201172,-0.27371509
56,7.7486268,-0.27410922000000004
57,7.8042511,-0.272009375
58,7.95700235,-0.274545655
59,7.644050050000001,-0.27449727
60,7.28630405,-0.274013945
61,7.1818943,-0.27425252499999997
62,7.11198425,-0.26937469000000003
63,7.20534305,-0.269389615
64,7.2067151,-0.271169235
65,7.2497246,-0.27228399999999997
66,7.1564311,-0.27218730999999996
67,7.21331395,-0.27441577
68,7.275193,-0.274223495
69,7.1892042,-0.27539270000000005
70,7.111938,-0.273517895
71,7.08180255,-0.27265018
72,7.1453633,-0.273153765
73,7.1708257,-0.27305256
74,7.1959928,-0.27248852
75,7.152058200000001,-0.27136552
76,7.3442907,-0.27260984
77,7.37817835,-0.272972635
78,7.32392095,-0.27157689
79,7.4453873,-0.270782825
80,7.39493625,-0.26989571
81,7.53759345,-0.270852885
82,7.717295200000001,-0.270906955
83,7.56283125,-0.26967838499999996
84,7.5337025,-0.26828606
85,7.627254150000001,-0.26559673
86,7.7185321,-0.2641451
