fold,model,rhat_max,n_divergent
1,eff,1.0103318599149311,0
1,vol,1.0095646083874121,0
2,eff,1.0124830280306725,0
2,vol,1.0172556096404939,0
3,eff,1.0138625581207077,0
3,vol,1.0118076327310181,15
4,eff,1.0123113086446809,0
4,vol,1.0098454795486904,0
5,eff,1.0168630182272882,0
5,vol,1.0333320499927174,0
6,eff,1.0139324626543293,0
6,vol,1.0270367834169027,0
7,eff,1.0160418344318582,0
7,vol,1.0166111182692084,0
8,eff,1.0159621123652833,0
8,vol,1.0089319844029416,0
9,eff,1.0108889862045576,0
9,vol,1.0110573232873932,0
10,eff,1.0195443806011273,0
10,vol,1.0122877104608607,0
11,eff,1.0111898119606635,0
11,vol,1.0101769233134024,0
12,eff,1.012499443590495,0
12,vol,1.0139081130004137,0
13,eff,1.0129636595592229,0
13,vol,1.013005329987203,0
14,eff,1.011824176133009,0
14,vol,1.0116211199523724,0
15,eff,1.0144863203550676,0
15,vol,1.0107699702304156,0
16,eff,1.010579707710093,0
16,vol,1.0120747378469308,0
17,eff,1.0126504168343669,0
17,vol,1.0178784729216965,0
18,eff,1.0212646186856422,0
18,vol,1.0096925230684286,0
19,eff,1.012357451295748,0
19,vol,1.0114001025184824,0
20,eff,1.0121185237313384,0
20,vol,1.0141657688140173,0
21,eff,1.0171858462786092,0
21,vol,1.0187439472559252,0
22,eff,1.0326355435777008,0
22,vol,1.0109236305793328,0
23,eff,1.0224162154460836,0
23,vol,1.0137632507316354,0
24,eff,1.011713018629589,0
24,vol,1.014829550151892,0
25,eff,1.0084814376723963,0
25,vol,1.0142063046815866,0
26,eff,1.0277884316845058,0
26,vol,1.0137655350838444,0
27,eff,1.0179537841245745,0
27,vol,1.012189748462072,0
28,eff,1.0223007448264692,0
28,vol,1.012355397586243,0
29,eff,1.0125195261780209,0
29,vol,1.0173704451615764,0
30,eff,1.0122420501633744,0
30,vol,1.0139048065953862,0
31,eff,1.0187305104637934,0
31,vol,1.0116457208417358,0
32,eff,1.010798968782672,0
32,vol,1.0091665078234369,0
33,eff,1.0118902206199543,0
33,vol,1.013553391661665,0
34,eff,1.0117370437658215,0
34,vol,1.0181056581942813,0
35,eff,1.0159356655877823,0
35,vol,1.014444375544597,0
36,eff,1.0161377432817424,0
36,vol,1.0141893758891665,0
37,eff,1.0155280789276715,0
37,vol,1.0150259547664873,0
38,eff,1.0183809798788015,0
38,vol,1.014289081240672,0
39,eff,1.0120269851771209,0
39,vol,1.0087642694512213,0
