prob_bin,n,pred_prob,empirical,delta,threshold,position,delta_pp
"[0,0.1)",661,0.08813142410219227,0.03177004538577912,-0.05636137871641315,15+,RB,-5.6pp
"[0.1,0.2)",3544,0.14763299962837398,0.12358916478555304,-0.024043834842820938,15+,RB,-2.4pp
"[0.2,0.3)",2489,0.24624695118489529,0.24347127360385698,-0.002775677581038305,15+,RB,-0.3pp
"[0.3,0.4)",1689,0.34834670551841906,0.3256364712847839,-0.022710234233635163,15+,RB,-2.3pp
"[0.4,0.5)",1878,0.448194317704863,0.4339723109691161,-0.014222006735746917,15+,RB,-1.4pp
"[0.5,0.6)",898,0.5419040115603243,0.5011135857461024,-0.040790425814221876,15+,RB,-4.1pp
"[0.6,0.7)",374,0.6437855868880544,0.5882352941176471,-0.05555029277040735,15+,RB,-5.6pp
"[0.7,0.8)",84,0.7370548815373831,0.6547619047619048,-0.08229297677547831,15+,RB,-8.2pp
"[0.8,0.9)",4,0.848435850633486,1,0.15156414936651397,15+,RB,+15.2pp
"[0,0.1)",6609,0.04578761222886759,0.057497352095627174,0.011709739866759585,20+,RB,+1.2pp
"[0.1,0.2)",2763,0.14764568507029596,0.18096272167933405,0.03331703660903809,20+,RB,+3.3pp
"[0.2,0.3)",1589,0.23945262406577636,0.28382630585273755,0.04437368178696119,20+,RB,+4.4pp
"[0.3,0.4)",482,0.34242882146589776,0.41286307053941906,0.0704342490735213,20+,RB,+7.0pp
"[0.4,0.5)",150,0.43491841517899427,0.49333333333333335,0.05841491815433908,20+,RB,+5.8pp
"[0.5,0.6)",26,0.5272578878829951,0.5769230769230769,0.04966518904008177,20+,RB,+5.0pp
"[0.6,0.7)",2,0.6682963612869405,0.5,-0.16829636128694048,20+,RB,-16.8pp
"[0,0.1)",995,0.08628240447983086,0.03919597989949749,-0.04708642458033337,15+,WR,-4.7pp
"[0.1,0.2)",4930,0.1472705849662564,0.118052738336714,-0.029217846629542396,15+,WR,-2.9pp
"[0.2,0.3)",4317,0.24847403986453087,0.24113968033356498,-0.007334359530965895,15+,WR,-0.7pp
"[0.3,0.4)",3059,0.34578361114294387,0.35632559660019614,0.010541985457252268,15+,WR,+1.1pp
"[0.4,0.5)",2251,0.44724332982940085,0.4509107063527321,0.003667376523331267,15+,WR,+0.4pp
"[0.5,0.6)",1257,0.5433820581344507,0.4988066825775656,-0.04457537555688512,15+,WR,-4.5pp
"[0.6,0.7)",363,0.6370007943585869,0.5041322314049587,-0.13286856295362826,15+,WR,-13.3pp
"[0.7,0.8)",46,0.7333515587005213,0.5652173913043478,-0.16813416739617348,15+,WR,-16.8pp
"[0.8,0.9)",4,0.8328831674741315,0.5,-0.3328831674741315,15+,WR,-33.3pp
"[0.9,1]",1,0.9440875754627577,0,-0.9440875754627577,15+,WR,-94.4pp
"[0,0.1)",10575,0.046660133293636684,0.057210401891252954,0.01055026859761627,20+,WR,+1.1pp
"[0.1,0.2)",4208,0.1438446003656268,0.20270912547528516,0.05886452510965837,20+,WR,+5.9pp
"[0.2,0.3)",1851,0.2423299786787589,0.3263101026472177,0.0839801239684588,20+,WR,+8.4pp
"[0.3,0.4)",512,0.3368238006323805,0.39453125,0.05770744936761951,20+,WR,+5.8pp
"[0.4,0.5)",65,0.4329270474679253,0.5230769230769231,0.09014987560899779,20+,WR,+9.0pp
"[0.5,0.6)",11,0.5383231075471299,0.36363636363636365,-0.17468674391076622,20+,WR,-17.5pp
"[0.7,0.8)",1,0.7641216424606055,0,-0.7641216424606055,20+,WR,-76.4pp
