bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",236,0.08168404915326793,0.0635593220338983,-0.018124727119369632,norm,15+,RB
"[0.1,0.2)",605,0.1438970787202732,0.11074380165289256,-0.03315327706738065,norm,15+,RB
"[0.2,0.3)",307,0.24764726302109968,0.23452768729641693,-0.013119575724682753,norm,15+,RB
"[0.3,0.4)",343,0.35619326177516913,0.3498542274052478,-0.006339034369921337,norm,15+,RB
"[0.4,0.5)",449,0.44988680420187827,0.4365256124721604,-0.013361191729717892,norm,15+,RB
"[0.5,0.6)",215,0.5440815100187517,0.5069767441860465,-0.03710476583270517,norm,15+,RB
"[0.6,0.7)",74,0.6446176526237734,0.581081081081081,-0.06353657154269232,norm,15+,RB
"[0.7,0.8)",17,0.7322125074978294,0.5882352941176471,-0.14397721338018232,norm,15+,RB
"[0.8,0.9)",1,0.8158251045564962,1,0.18417489544350385,norm,15+,RB
"[0,0.1)",244,0.079625,0.06147540983606557,-0.01814959016393443,sim,15+,RB
"[0.1,0.2)",612,0.14413807189542482,0.11601307189542484,-0.028124999999999983,sim,15+,RB
"[0.2,0.3)",316,0.24801424050632911,0.24050632911392406,-0.007507911392405059,sim,15+,RB
"[0.3,0.4)",428,0.3533329439252336,0.3574766355140187,0.004143691588785081,sim,15+,RB
"[0.4,0.5)",418,0.44576076555023925,0.45454545454545453,0.008784688995215284,sim,15+,RB
"[0.5,0.6)",168,0.541764880952381,0.5416666666666666,-9.821428571432644e-5,sim,15+,RB
"[0.6,0.7)",53,0.6428584905660377,0.5660377358490566,-0.07682075471698113,sim,15+,RB
"[0.7,0.8)",8,0.7333125,0.875,0.14168749999999997,sim,15+,RB
"[0,0.1)",1153,0.03869386933580175,0.05030355594102342,0.011609686605221665,norm,20+,RB
"[0.1,0.2)",590,0.1530480169720876,0.17627118644067796,0.02322316946859035,norm,20+,RB
"[0.2,0.3)",369,0.23908685954409095,0.2764227642276423,0.03733590468355133,norm,20+,RB
"[0.3,0.4)",102,0.34150354460571275,0.3431372549019608,0.0016337102962480365,norm,20+,RB
"[0.4,0.5)",29,0.44066878525867315,0.3793103448275862,-0.06135844043108696,norm,20+,RB
"[0.5,0.6)",4,0.5430979950897523,0.5,-0.04309799508975232,norm,20+,RB
"[0,0.1)",1054,0.04575047438330171,0.04174573055028463,-0.004004743833017077,sim,20+,RB
"[0.1,0.2)",618,0.1525,0.16666666666666666,0.01416666666666666,sim,20+,RB
"[0.2,0.3)",430,0.2394813953488372,0.25813953488372093,0.01865813953488374,sim,20+,RB
"[0.3,0.4)",118,0.336978813559322,0.3728813559322034,0.035902542372881374,sim,20+,RB
"[0.4,0.5)",24,0.4368958333333333,0.3333333333333333,-0.1035625,sim,20+,RB
"[0.5,0.6)",3,0.5251666666666667,0.6666666666666666,0.14149999999999996,sim,20+,RB
"[0,0.1)",167,0.09104945919985938,0.08982035928143713,-0.0012290999184222523,norm,15+,WR
"[0.1,0.2)",1145,0.14471639103223405,0.11091703056768559,-0.033799360464548456,norm,15+,WR
"[0.2,0.3)",709,0.2501944651143556,0.24118476727785615,-0.009009697836499464,norm,15+,WR
"[0.3,0.4)",524,0.3452657121071813,0.37213740458015265,0.02687169247297133,norm,15+,WR
"[0.4,0.5)",417,0.44622897979523823,0.407673860911271,-0.03855511888396723,norm,15+,WR
"[0.5,0.6)",293,0.5456332744308781,0.5017064846416383,-0.043926789789239806,norm,15+,WR
"[0.6,0.7)",88,0.6333619927044791,0.4659090909090909,-0.16745290179538824,norm,15+,WR
"[0.7,0.8)",7,0.7215596547371272,1,0.27844034526287276,norm,15+,WR
"[0,0.1)",321,0.0853816199376947,0.08722741433021806,0.0018457943925233589,sim,15+,WR
"[0.1,0.2)",1125,0.14340088888888888,0.12355555555555556,-0.019845333333333326,sim,15+,WR
"[0.2,0.3)",746,0.2502520107238606,0.2734584450402145,0.023206434316353886,sim,15+,WR
"[0.3,0.4)",516,0.34789631782945735,0.4011627906976744,0.05326647286821706,sim,15+,WR
"[0.4,0.5)",403,0.4445062034739454,0.4094292803970223,-0.03507692307692312,sim,15+,WR
"[0.5,0.6)",210,0.5396642857142857,0.5380952380952381,-0.0015690476190476366,sim,15+,WR
"[0.6,0.7)",29,0.6321379310344828,0.5862068965517241,-0.045931034482758704,sim,15+,WR
"[0,0.1)",2093,0.04530032478776863,0.06593406593406594,0.020633741146297305,norm,20+,WR
"[0.1,0.2)",742,0.1452433733738122,0.20215633423180593,0.056912960857993716,norm,20+,WR
"[0.2,0.3)",369,0.24435175118719124,0.27100271002710025,0.026650958839909006,norm,20+,WR
"[0.3,0.4)",137,0.33501986527621086,0.30656934306569344,-0.028450522210517415,norm,20+,WR
"[0.4,0.5)",9,0.44470462245164366,0.4444444444444444,-2.60178007199241e-4,norm,20+,WR
"[0,0.1)",1955,0.048034271099744244,0.06240409207161125,0.014369820971867009,sim,20+,WR
"[0.1,0.2)",825,0.14294545454545454,0.1890909090909091,0.046145454545454545,sim,20+,WR
"[0.2,0.3)",427,0.24363231850117095,0.2646370023419204,0.02100468384074944,sim,20+,WR
"[0.3,0.4)",133,0.33504511278195487,0.2857142857142857,-0.04933082706766917,sim,20+,WR
"[0.4,0.5)",10,0.43270000000000003,0.5,0.06729999999999997,sim,20+,WR
