bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",863,0.08322363847045192,0.0880648899188876,0.004841251448435682,raw,15+,RB
"[0.1,0.2)",2835,0.1463530864197531,0.13580246913580246,-0.010550617283950625,raw,15+,RB
"[0.2,0.3)",2089,0.246173049305888,0.24126376256582097,-0.00490928674006702,raw,15+,RB
"[0.3,0.4)",1619,0.35039468807906116,0.33353922174181594,-0.016855466337245217,raw,15+,RB
"[0.4,0.5)",1501,0.44556662225183213,0.44103930712858097,-0.004527315123251163,raw,15+,RB
"[0.5,0.6)",694,0.5420547550432276,0.5432276657060519,0.0011729106628242114,raw,15+,RB
"[0.6,0.7)",240,0.6412645833333334,0.6416666666666667,4.0208333333335844e-4,raw,15+,RB
"[0.7,0.8)",52,0.7391730769230769,0.7307692307692307,-0.00840384615384615,raw,15+,RB
"[0.8,0.9)",6,0.8271666666666666,0.8333333333333334,0.006166666666666765,raw,15+,RB
"[0,0.1)",888,0.08348322273369628,0.08445945945945946,9.762367257631771e-4,platt,15+,RB
"[0.1,0.2)",2976,0.14702930686375032,0.1381048387096774,-0.008924468154072912,platt,15+,RB
"[0.2,0.3)",2103,0.2460321580011573,0.2548739895387542,0.008841831537596878,platt,15+,RB
"[0.3,0.4)",1721,0.3498956602693523,0.347472399767577,-0.002423260501775326,platt,15+,RB
"[0.4,0.5)",1426,0.44420146432578606,0.4600280504908836,0.015826586165097523,platt,15+,RB
"[0.5,0.6)",564,0.5423947995871885,0.5567375886524822,0.014342789065293737,platt,15+,RB
"[0.6,0.7)",192,0.6379458593169973,0.65625,0.01830414068300268,platt,15+,RB
"[0.7,0.8)",26,0.7432251662011821,0.8461538461538461,0.10292867995266408,platt,15+,RB
"[0.8,0.9)",3,0.8192876000422393,1,0.18071239995776067,platt,15+,RB
"[0,0.1)",653,0.07744648403771572,0.08116385911179173,0.003717375074076018,iso,15+,RB
"[0.1,0.2)",3425,0.15047318632992096,0.1424817518248175,-0.00799143450510345,iso,15+,RB
"[0.2,0.3)",2364,0.25115651899235136,0.2686125211505922,0.017456002158240835,iso,15+,RB
"[0.3,0.4)",1073,0.33491979648299836,0.3560111835973905,0.021091387114392124,iso,15+,RB
"[0.4,0.5)",1472,0.437529562292085,0.4429347826086957,0.0054052203166106705,iso,15+,RB
"[0.5,0.6)",549,0.5456159846902221,0.5318761384335154,-0.013739846256706656,iso,15+,RB
"[0.6,0.7)",289,0.6729309869039228,0.6505190311418685,-0.022411955762054347,iso,15+,RB
"[0.7,0.8)",45,0.7087567606677596,0.5777777777777777,-0.1309789828899819,iso,15+,RB
"[0.8,0.9)",7,0.8555350689354362,0.7142857142857143,-0.14124935464972188,iso,15+,RB
"[0.9,1]",22,0.9526240769916658,0.9090909090909091,-0.043533167900756786,iso,15+,RB
"[0,0.1)",585,0.08827888820244834,0.08547008547008547,-0.002808802732362864,strat_platt,15+,RB
"[0.1,0.2)",3495,0.15090354908842088,0.13934191702432044,-0.011561632064100436,strat_platt,15+,RB
"[0.2,0.3)",2149,0.24036071754590432,0.2601209865053513,0.01976026895944699,strat_platt,15+,RB
"[0.3,0.4)",1477,0.35072862993137033,0.36086662153012866,0.010137991598758334,strat_platt,15+,RB
"[0.4,0.5)",1279,0.4451341337913063,0.45582486317435494,0.010690729383048658,strat_platt,15+,RB
"[0.5,0.6)",601,0.542887611414596,0.5440931780366056,0.0012055666220096573,strat_platt,15+,RB
"[0.6,0.7)",235,0.6424937338620481,0.6212765957446809,-0.02121713811736725,strat_platt,15+,RB
"[0.7,0.8)",61,0.733659318208788,0.6721311475409836,-0.06152817066780447,strat_platt,15+,RB
"[0.8,0.9)",17,0.8298071128419737,0.8823529411764706,0.052545828334496836,strat_platt,15+,RB
"[0,0.1)",855,0.08028880845976029,0.08654970760233918,0.0062608991425788935,strat_iso,15+,RB
"[0.1,0.2)",3218,0.15294693971410195,0.14481044126786824,-0.008136498446233709,strat_iso,15+,RB
"[0.2,0.3)",2362,0.2500125463735319,0.26502963590177814,0.015017089528246264,strat_iso,15+,RB
"[0.3,0.4)",1052,0.33856944428677715,0.3659695817490494,0.027400137462272267,strat_iso,15+,RB
"[0.4,0.5)",1492,0.43732744960371217,0.4403485254691689,0.003021075865456746,strat_iso,15+,RB
"[0.5,0.6)",557,0.5452600399669634,0.5278276481149012,-0.017432391852062135,strat_iso,15+,RB
"[0.6,0.7)",289,0.6729309869039228,0.6505190311418685,-0.022411955762054347,strat_iso,15+,RB
"[0.7,0.8)",45,0.7087567606677596,0.5777777777777777,-0.1309789828899819,strat_iso,15+,RB
"[0.8,0.9)",7,0.8555350689354362,0.7142857142857143,-0.14124935464972188,strat_iso,15+,RB
"[0.9,1]",22,0.9526240769916658,0.9090909090909091,-0.043533167900756786,strat_iso,15+,RB
"[0,0.1)",850,0.08405108706517318,0.08470588235294117,6.547952877679897e-4,platt_vol,15+,RB
"[0.1,0.2)",3036,0.1465525154862688,0.13965744400527008,-0.006895071480998716,platt_vol,15+,RB
"[0.2,0.3)",2103,0.24569479445543352,0.25439847836424156,0.008703683908808046,platt_vol,15+,RB
"[0.3,0.4)",1692,0.35066377050106096,0.34929078014184395,-0.0013729903592170078,platt_vol,15+,RB
"[0.4,0.5)",1428,0.4444979136441027,0.453781512605042,0.009283598960939332,platt_vol,15+,RB
"[0.5,0.6)",561,0.5429901227817323,0.5650623885918004,0.022072265810068048,platt_vol,15+,RB
"[0.6,0.7)",201,0.637522249151093,0.6517412935323383,0.014219044381245327,platt_vol,15+,RB
"[0.7,0.8)",25,0.7443505389485395,0.8,0.055649461051460514,platt_vol,15+,RB
"[0.8,0.9)",3,0.8206761338061743,1,0.17932386619382568,platt_vol,15+,RB
"[0,0.1)",939,0.08001059608152195,0.08413205537806177,0.004121459296539828,platt_vegas,15+,RB
"[0.1,0.2)",2943,0.1479628462566626,0.13863404689092762,-0.009328799365734969,platt_vegas,15+,RB
"[0.2,0.3)",2132,0.24735664154683218,0.25469043151969983,0.007333789972867655,platt_vegas,15+,RB
"[0.3,0.4)",1698,0.34817793156834564,0.3468786808009423,-0.0012992507674033371,platt_vegas,15+,RB
"[0.4,0.5)",1311,0.4456857516218411,0.4668192219679634,0.021133470346122285,platt_vegas,15+,RB
"[0.5,0.6)",630,0.5443653697196859,0.5476190476190477,0.0032536778993618176,platt_vegas,15+,RB
"[0.6,0.7)",193,0.6397681390754741,0.6683937823834197,0.028625643307945592,platt_vegas,15+,RB
"[0.7,0.8)",45,0.7414159392108893,0.6444444444444445,-0.09697149476644484,platt_vegas,15+,RB
"[0.8,0.9)",8,0.836462178399163,0.875,0.03853782160083696,platt_vegas,15+,RB
"[0,0.1)",782,0.08347286319378225,0.09462915601023018,0.011156292816447935,platt_vol_vegas,15+,RB
"[0.1,0.2)",3303,0.1474557865622832,0.13896457765667575,-0.00849120890560745,platt_vol_vegas,15+,RB
"[0.2,0.3)",2086,0.24726365391232302,0.26270373921380635,0.01544008530148333,platt_vol_vegas,15+,RB
"[0.3,0.4)",1565,0.3486027690942763,0.3610223642172524,0.012419595122976135,platt_vol_vegas,15+,RB
"[0.4,0.5)",1239,0.44630331174093407,0.44713478611783697,8.314743769028965e-4,platt_vol_vegas,15+,RB
"[0.5,0.6)",619,0.5431887467215355,0.5492730210016155,0.00608427428007996,platt_vol_vegas,15+,RB
"[0.6,0.7)",250,0.6415278883501812,0.648,0.006472111649818868,platt_vol_vegas,15+,RB
"[0.7,0.8)",46,0.7421740156243632,0.6739130434782609,-0.06826097214610238,platt_vol_vegas,15+,RB
"[0.8,0.9)",9,0.8335956278483543,0.8888888888888888,0.05529326104053456,platt_vol_vegas,15+,RB
"[0,0.1)",5066,0.05105793525463877,0.06000789577575997,0.008949960521121202,raw,20+,RB
"[0.1,0.2)",2686,0.14685536113179448,0.17535368577810873,0.028498324646314244,raw,20+,RB
"[0.2,0.3)",1567,0.24147351627313338,0.25207402680280794,0.010600510529674562,raw,20+,RB
"[0.3,0.4)",448,0.3393872767857143,0.3861607142857143,0.046773437500000015,raw,20+,RB
"[0.4,0.5)",104,0.4343413461538462,0.47115384615384615,0.03681249999999997,raw,20+,RB
"[0.5,0.6)",25,0.53898,0.68,0.14102000000000003,raw,20+,RB
"[0.6,0.7)",3,0.6385,0.6666666666666666,0.028166666666666673,raw,20+,RB
"[0,0.1)",4406,0.05550080621857587,0.05242850658193373,-0.0030722996366421423,platt,20+,RB
"[0.1,0.2)",2729,0.1453481748294544,0.1487724441187248,0.0034242692892704207,platt,20+,RB
