cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",837,0.0828673835125448,0.08363201911589008,7.646356033452761e-4,raw,15+,RB
exante_low,"[0.1,0.2)",795,0.12015094339622642,0.09937106918238994,-0.02077987421383648,raw,15+,RB
exante_mid,"[0,0.1)",26,0.09469230769230769,0.23076923076923078,0.1360769230769231,raw,15+,RB
exante_mid,"[0.1,0.2)",2033,0.1564485981308411,0.1500245941957698,-0.00642400393507131,raw,15+,RB
exante_mid,"[0.2,0.3)",1180,0.23143813559322035,0.21864406779661016,-0.012794067796610187,raw,15+,RB
exante_mid,"[0.3,0.4)",56,0.3191875,0.2857142857142857,-0.033473214285714314,raw,15+,RB
exante_high,"[0.1,0.2)",7,0.19014285714285714,0.14285714285714285,-0.04728571428571429,raw,15+,RB
exante_high,"[0.2,0.3)",909,0.2653008800880088,0.2706270627062706,0.005326182618261843,raw,15+,RB
exante_high,"[0.3,0.4)",1563,0.3515127959053103,0.3352527191298784,-0.016260076775431898,raw,15+,RB
exante_high,"[0.4,0.5)",1501,0.44556662225183213,0.44103930712858097,-0.004527315123251163,raw,15+,RB
exante_high,"[0.5,0.6)",694,0.5420547550432276,0.5432276657060519,0.0011729106628242114,raw,15+,RB
exante_high,"[0.6,0.7)",240,0.6412645833333334,0.6416666666666667,4.0208333333335844e-4,raw,15+,RB
exante_high,"[0.7,0.8)",52,0.7391730769230769,0.7307692307692307,-0.00840384615384615,raw,15+,RB
exante_high,"[0.8,0.9)",6,0.8271666666666666,0.8333333333333334,0.006166666666666765,raw,15+,RB
exante_low,"[0,0.1)",861,0.08314137715472765,0.08130081300813008,-0.0018405641465975703,platt,15+,RB
exante_low,"[0.1,0.2)",771,0.1194983220291556,0.10246433203631647,-0.01703398999283913,platt,15+,RB
exante_mid,"[0,0.1)",27,0.09438429841858487,0.18518518518518517,0.09080088676660031,platt,15+,RB
exante_mid,"[0.1,0.2)",2192,0.1564523451964497,0.15100364963503649,-0.005448695561413225,platt,15+,RB
exante_mid,"[0.2,0.3)",1038,0.22962380570283206,0.22832369942196531,-0.0013001062808667418,platt,15+,RB
exante_mid,"[0.3,0.4)",38,0.3142768172059416,0.3157894736842105,0.0015126564782689256,platt,15+,RB
exante_high,"[0.1,0.2)",13,0.19095925164801658,0.07692307692307693,-0.11403617472493965,platt,15+,RB
exante_high,"[0.2,0.3)",1065,0.262024523903187,0.28075117370892017,0.018726649805733186,platt,15+,RB
exante_high,"[0.3,0.4)",1683,0.35069988845497896,0.3481877599524658,-0.0025121285025131446,platt,15+,RB
exante_high,"[0.4,0.5)",1426,0.44420146432578606,0.4600280504908836,0.015826586165097523,platt,15+,RB
exante_high,"[0.5,0.6)",564,0.5423947995871885,0.5567375886524822,0.014342789065293737,platt,15+,RB
exante_high,"[0.6,0.7)",192,0.6379458593169973,0.65625,0.01830414068300268,platt,15+,RB
exante_high,"[0.7,0.8)",26,0.7432251662011821,0.8461538461538461,0.10292867995266408,platt,15+,RB
exante_high,"[0.8,0.9)",3,0.8192876000422393,1,0.18071239995776067,platt,15+,RB
exante_low,"[0,0.1)",630,0.07688735849384028,0.08253968253968254,0.005652324045842261,iso,15+,RB
exante_low,"[0.1,0.2)",1002,0.12867600517402855,0.0968063872255489,-0.031869617948479645,iso,15+,RB
exante_mid,"[0,0.1)",23,0.09276166197865117,0.043478260869565216,-0.04928340110908595,iso,15+,RB
exante_mid,"[0.1,0.2)",2386,0.15906790731540232,0.1601005867560771,0.001032679440674783,iso,15+,RB
exante_mid,"[0.2,0.3)",879,0.23398731593740113,0.22866894197952217,-0.005318373957878958,iso,15+,RB
exante_mid,"[0.3,0.4)",7,0.3098436944752258,0.14285714285714285,-0.16698655161808296,iso,15+,RB
exante_high,"[0.1,0.2)",37,0.18652105786629142,0.24324324324324326,0.05672218537695184,iso,15+,RB
exante_high,"[0.2,0.3)",1485,0.26131929979053403,0.29225589225589227,0.030936592465358237,iso,15+,RB
exante_high,"[0.3,0.4)",1066,0.33508446131794617,0.3574108818011257,0.02232642048317951,iso,15+,RB
exante_high,"[0.4,0.5)",1472,0.437529562292085,0.4429347826086957,0.0054052203166106705,iso,15+,RB
exante_high,"[0.5,0.6)",549,0.5456159846902221,0.5318761384335154,-0.013739846256706656,iso,15+,RB
exante_high,"[0.6,0.7)",289,0.6729309869039228,0.6505190311418685,-0.022411955762054347,iso,15+,RB
exante_high,"[0.7,0.8)",45,0.7087567606677596,0.5777777777777777,-0.1309789828899819,iso,15+,RB
exante_high,"[0.8,0.9)",7,0.8555350689354362,0.7142857142857143,-0.14124935464972188,iso,15+,RB
