position,threshold,method,p_raw,p_recal
RB,15+,iso,0,0
RB,15+,iso,0.01,0
RB,15+,iso,0.02,0
RB,15+,iso,0.03,0
RB,15+,iso,0.04,0
RB,15+,iso,0.05,0
RB,15+,iso,0.06,0
RB,15+,iso,0.07,0.02575107296137339
RB,15+,iso,0.08,0.02620967741935484
RB,15+,iso,0.09,0.02620967741935484
RB,15+,iso,0.1,0.03785488958990536
RB,15+,iso,0.11,0.0675422138836773
RB,15+,iso,0.12,0.09561752988047809
RB,15+,iso,0.13,0.0975
RB,15+,iso,0.14,0.10126582278481013
RB,15+,iso,0.15,0.1509433962264151
RB,15+,iso,0.16,0.1509433962264151
RB,15+,iso,0.17,0.1509433962264151
RB,15+,iso,0.18,0.16288951841359772
RB,15+,iso,0.19,0.16288951841359772
RB,15+,iso,0.2,0.16288951841359772
RB,15+,iso,0.21,0.17010309278350516
RB,15+,iso,0.22,0.2191780821917808
RB,15+,iso,0.23,0.2491349480968858
RB,15+,iso,0.24,0.2631578947368421
RB,15+,iso,0.25,0.2864583333333333
RB,15+,iso,0.26,0.2925851703406814
RB,15+,iso,0.27,0.2925851703406814
RB,15+,iso,0.28,0.2925851703406814
RB,15+,iso,0.29,0.2925851703406814
RB,15+,iso,0.3,0.33480565371024734
RB,15+,iso,0.31,0.33480565371024734
RB,15+,iso,0.32,0.33480565371024734
RB,15+,iso,0.33,0.33480565371024734
RB,15+,iso,0.34,0.33480565371024734
RB,15+,iso,0.35000000000000003,0.33480565371024734
RB,15+,iso,0.36,0.3458646616541353
RB,15+,iso,0.37,0.3458646616541353
RB,15+,iso,0.38,0.3458646616541353
RB,15+,iso,0.39,0.3769633507853403
RB,15+,iso,0.4,0.41935483870967744
RB,15+,iso,0.41000000000000003,0.4358974358974359
RB,15+,iso,0.42,0.4358974358974359
RB,15+,iso,0.43,0.4377104377104377
RB,15+,iso,0.44,0.4377104377104377
RB,15+,iso,0.45,0.49029126213592233
RB,15+,iso,0.46,0.5140712945590994
RB,15+,iso,0.47000000000000003,0.5140712945590994
RB,15+,iso,0.48,0.5140712945590994
RB,15+,iso,0.49,0.5140712945590994
RB,15+,iso,0.5,0.5357142857142857
RB,15+,iso,0.51,0.5357142857142857
RB,15+,iso,0.52,0.5357142857142857
RB,15+,iso,0.53,0.5677083333333334
RB,15+,iso,0.54,0.5677083333333334
RB,15+,iso,0.55,0.6186046511627907
RB,15+,iso,0.56,0.6186046511627907
RB,15+,iso,0.5700000000000001,0.6186046511627907
RB,15+,iso,0.58,0.6186046511627907
RB,15+,iso,0.59,0.6186046511627907
RB,15+,iso,0.6,0.6186046511627907
RB,15+,iso,0.61,0.6186046511627907
RB,15+,iso,0.62,0.6186046511627907
RB,15+,iso,0.63,0.6186046511627907
RB,15+,iso,0.64,0.6186046511627907
RB,15+,iso,0.65,0.7
RB,15+,iso,0.66,0.7058823529411765
RB,15+,iso,0.67,0.7058823529411765
RB,15+,iso,0.68,0.7058823529411765
RB,15+,iso,0.6900000000000001,0.7058823529411765
RB,15+,iso,0.7000000000000001,0.7058823529411765
RB,15+,iso,0.71,0.7058823529411765
RB,15+,iso,0.72,0.7058823529411765
RB,15+,iso,0.73,0.7058823529411765
RB,15+,iso,0.74,0.7058823529411765
RB,15+,iso,0.75,1
RB,15+,iso,0.76,1
RB,15+,iso,0.77,1
RB,15+,iso,0.78,1
RB,15+,iso,0.79,1
RB,15+,iso,0.8,1
RB,15+,iso,0.81,1
RB,15+,iso,0.8200000000000001,1
RB,15+,iso,0.8300000000000001,1
RB,15+,iso,0.84,1
RB,15+,iso,0.85,1
RB,15+,iso,0.86,1
RB,15+,iso,0.87,1
RB,15+,iso,0.88,1
RB,15+,iso,0.89,1
RB,15+,iso,0.9,1
RB,15+,iso,0.91,1
RB,15+,iso,0.92,1
RB,15+,iso,0.93,1
RB,15+,iso,0.9400000000000001,1
RB,15+,iso,0.9500000000000001,1
RB,15+,iso,0.96,1
RB,15+,iso,0.97,1
RB,15+,iso,0.98,1
RB,15+,iso,0.99,1
RB,15+,iso,1,1
RB,20+,iso,0,0
RB,20+,iso,0.01,0
RB,20+,iso,0.02,0.004909983633387889
RB,20+,iso,0.03,0.006688963210702341
RB,20+,iso,0.04,0.023809523809523808
RB,20+,iso,0.05,0.04121863799283154
RB,20+,iso,0.06,0.057692307692307696
RB,20+,iso,0.07,0.05813953488372093
RB,20+,iso,0.08,0.07885304659498207
RB,20+,iso,0.09,0.0943952802359882
RB,20+,iso,0.1,0.13428571428571429
RB,20+,iso,0.11,0.13428571428571429
RB,20+,iso,0.12,0.1509433962264151
RB,20+,iso,0.13,0.1651376146788991
RB,20+,iso,0.14,0.1740041928721174
RB,20+,iso,0.15,0.17613636363636365
RB,20+,iso,0.16,0.18684603886397608
RB,20+,iso,0.17,0.18684603886397608
RB,20+,iso,0.18,0.18684603886397608
RB,20+,iso,0.19,0.2052401746724891
RB,20+,iso,0.2,0.22105263157894736
RB,20+,iso,0.21,0.22105263157894736
RB,20+,iso,0.22,0.26153846153846155
RB,20+,iso,0.23,0.26153846153846155
RB,20+,iso,0.24,0.31007751937984496
RB,20+,iso,0.25,0.3130081300813008
RB,20+,iso,0.26,0.3130081300813008
RB,20+,iso,0.27,0.40106951871657753
RB,20+,iso,0.28,0.40106951871657753
RB,20+,iso,0.29,0.40106951871657753
RB,20+,iso,0.3,0.40106951871657753
RB,20+,iso,0.31,0.4179566563467492
RB,20+,iso,0.32,0.4179566563467492
RB,20+,iso,0.33,0.4179566563467492
RB,20+,iso,0.34,0.4179566563467492
RB,20+,iso,0.35000000000000003,0.4179566563467492
RB,20+,iso,0.36,0.4179566563467492
RB,20+,iso,0.37,0.45185185185185184
RB,20+,iso,0.38,0.45185185185185184
RB,20+,iso,0.39,0.45185185185185184
RB,20+,iso,0.4,0.45185185185185184
RB,20+,iso,0.41000000000000003,0.5086419753086483
RB,20+,iso,0.42,0.6222222222222222
RB,20+,iso,0.43,0.6222222222222222
RB,20+,iso,0.44,0.6222222222222222
RB,20+,iso,0.45,0.6222222222222222
RB,20+,iso,0.46,0.6222222222222222
RB,20+,iso,0.47000000000000003,0.6222222222222222
RB,20+,iso,0.48,0.6222222222222222
RB,20+,iso,0.49,0.6222222222222222
RB,20+,iso,0.5,0.8888888888888888
RB,20+,iso,0.51,0.8888888888888888
RB,20+,iso,0.52,0.8888888888888888
RB,20+,iso,0.53,0.8888888888888888
RB,20+,iso,0.54,0.8888888888888888
RB,20+,iso,0.55,0.8888888888888888
RB,20+,iso,0.56,0.8888888888888888
RB,20+,iso,0.5700000000000001,0.8888888888888888
RB,20+,iso,0.58,0.8888888888888888
RB,20+,iso,0.59,0.8888888888888888
RB,20+,iso,0.6,0.9005083514887436
RB,20+,iso,0.61,0.9150326797385621
RB,20+,iso,0.62,0.9295570079883805
RB,20+,iso,0.63,0.944081336238199
RB,20+,iso,0.64,0.9586056644880174
RB,20+,iso,0.65,0.973129992737836
RB,20+,iso,0.66,0.9876543209876544
RB,20+,iso,0.67,1
RB,20+,iso,0.68,1
RB,20+,iso,0.6900000000000001,1
