position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
RB,00-0023500,2016,1,14.23519365367932,0.3285,0.13,FALSE,FALSE,exante_high,3.5,27.5,fav,high_implied,0.300675200871242,0.2871287128712871,0.2861855472337964,0.2727272727272727,0.26027784182258934,0.3536699000216828,0.2872215198452112,0.143743071800865,0.10732984293193717,0.13453556815309642,0.10795454545454546,0.12191340288065043,0.1658925750830222,0.13809650322562309
RB,00-0023564,2016,1,13.302703417997533,0.2815,0.1135,FALSE,FALSE,exante_mid,5.5,24.25,fav,mid_implied,0.2619756309736547,0.19808306709265175,0.23538859819185298,0.2268041237113402,0.22845147959991352,0.2745795095457354,0.21088796830776071,0.12896855891803727,0.10732984293193717,0.12055716701056782,0.10897435897435898,0.10669087570522455,0.13967915509994352,0.1054582171532549
RB,00-0024242,2016,1,14.31799599156929,0.273,0.0995,TRUE,TRUE,exante_high,3,26.5,fav,high_implied,0.2549590488884942,0.19808306709265175,0.23093307769569762,0.18478260869565216,0.2436549719007645,0.2923853952688959,0.2830893378644629,0.11610732630291858,0.10732984293193717,0.10382235088104672,0.10795454545454546,0.11204472362102325,0.13064322221104524,0.13049502131047416
RB,00-0025394,2016,1,14.220221929983923,0.255,0.0985,FALSE,FALSE,exante_high,0,20.5,close,mid_implied,0.24006747530475894,0.19808306709265175,0.21343690936583626,0.18478260869565216,0.23575139949559204,0.21242028183675266,0.19140945765062675,0.11517563199509215,0.10732984293193717,0.10281063697482344,0.10795454545454546,0.11065313957864409,0.10441633414297426,0.09275104478893256
RB,00-0026019,2016,1,13.324810520490402,0.2405,0.0855,TRUE,TRUE,exante_mid,NA,NA,NA,NA,0.22802971747588754,0.19808306709265175,0.20744175719014055,0.2268041237113402,0.2154347295592073,0.22312997417876076,0.19483379957764219,0.10288384138330578,0.10732984293193717,0.09165021530607767,0.10897435897435898,0.0969794335551447,0.10000933908803163,0.08999242049632884
RB,00-0026153,2016,1,14.402516824078916,0.26,0.1055,FALSE,FALSE,exante_high,3,22.5,fav,mid_implied,0.24420916039692905,0.19808306709265175,0.21827487062663212,0.18478260869565216,0.24073198736477497,0.23718307945258066,0.2256404484523509,0.12165971480346079,0.10732984293193717,0.1098858366304998,0.10795454545454546,0.11520060618737404,0.12153783123707142,0.10959850634511598
RB,00-0026184,2016,1,14.181090637961558,0.296,0.1315,TRUE,TRUE,exante_high,-2,19.75,close,low_implied,0.2739281421126125,0.26666666666666666,0.25359975316455097,0.25555555555555554,0.24880094877400255,0.23511543002579277,0.176612637958154,0.1450681716230128,0.10732984293193717,0.13603955263562412,0.10795454545454546,0.12179753074203346,0.12612364409455934,0.08919548866994129
RB,00-0026289,2016,1,13.302268054809904,0.293,0.113,FALSE,FALSE,exante_mid,1,26,close,mid_implied,0.2714566701228597,0.26666666666666666,0.2431822696545508,0.25,0.23207132843826966,0.302943127601356,0.2317342911578629,0.12851473537490113,0.10732984293193717,0.1200434980425433,0.10897435897435898,0.10652281661593273,0.138473169684333,0.10818392564366466
RB,00-0026373,2016,1,13.38594010708788,0.2765,0.1135,FALSE,FALSE,exante_mid,3,23.75,fav,mid_implied,0.2578492667215052,0.19808306709265175,0.23199570355122037,0.2268041237113402,0.22829725272913604,0.26385927229171385,0.20620191549078465,0.12896855891803727,0.10732984293193717,0.12055716701056782,0.10897435897435898,0.10752069852671832,0.13344551165722002,0.10084913286338534
RB,00-0026796,2016,1,13.324810520490402,0.2005,0.067,FALSE,FALSE,exante_mid,-10.5,16.75,big_dog,low_implied,0.19454310174251352,0.15258215962441316,0.17972771887143035,0.15412186379928317,0.20141954518546856,0.14368371850696868,0.138371509549081,0.08471079311647518,0.06504065040650407,0.07236779740692673,0.05,0.0892885976226338,0.062149045136670224,0.06106523425655373
