stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,1466,0.10562585266030014,0.10163710777626193,-0.3988744884038206,raw,15+,RB
exante_mid,3531,0.1875766071934296,0.17898612291135654,-0.8590484282073069,raw,15+,RB
exante_high,4902,0.4081592207262342,0.3998368013055896,-0.83224194206446,raw,15+,RB
exante_low,1466,0.11062022247296281,0.10163710777626193,-0.8983114696700878,iso,15+,RB
exante_mid,3531,0.18310866018513733,0.17898612291135654,-0.4122537273780785,iso,15+,RB
exante_high,4902,0.3899491417008346,0.3998368013055896,0.9887659604754961,iso,15+,RB
exante_low,1466,0.028929740791268758,0.034106412005457026,0.5176671214188269,raw,20+,RB
exante_mid,3531,0.06446856414613424,0.07419994335882187,0.973137921268763,raw,20+,RB
exante_high,4902,0.1998200734394125,0.22419420644634844,2.4374133006935943,raw,20+,RB
exante_low,1466,0.039438865728708486,0.034106412005457026,-0.533245372325146,iso,20+,RB
exante_mid,3531,0.0786057619993999,0.07419994335882187,-0.4405818640578041,iso,20+,RB
exante_high,4902,0.22188249997781387,0.22419420644634844,0.2311706468534569,iso,20+,RB
exante_low,1466,0.03774457361295688,0.034106412005457026,-0.3638161607499857,platt,20+,RB
exante_mid,3531,0.0791870621915921,0.07419994335882187,-0.49871188327702404,platt,20+,RB
exante_high,4902,0.2234575349670232,0.22419420644634844,0.07366714793252405,platt,20+,RB
exante_low,2149,0.11241368078175895,0.09911586784550953,-1.3297812936249418,raw,15+,WR
exante_mid,11772,0.28306944444444443,0.2795616717635066,-0.3507772680937826,raw,15+,WR
exante_high,815,0.5396877300613497,0.5128834355828221,-2.6804294478527613,raw,15+,WR
exante_low,2149,0.098520662875866985,0.09911586784550953,0.059520496964254876,iso,15+,WR
exante_mid,11772,0.27645069953295254,0.2795616717635066,0.31109722305540655,iso,15+,WR
exante_high,815,0.5043267510182633,0.5128834355828221,0.8556684564558825,iso,15+,WR
exante_low,2149,0.09562138183696463,0.09911586784550953,0.3494486008544906,strat_platt,15+,WR
exante_mid,11772,0.2766670524990343,0.2795616717635066,0.289461926447232,strat_platt,15+,WR
exante_high,815,0.5089700549087651,0.5128834355828221,0.3913380674056999,strat_platt,15+,WR
exante_low,2149,0.03022335970218707,0.027454630060493253,-0.27687296416938173,raw,20+,WR
exante_mid,11772,0.11794822460074754,0.1379544682296976,2.0006243628950053,raw,20+,WR
exante_high,815,0.3106337423312883,0.31533742331288345,0.47036809815951264,raw,20+,WR
exante_low,2149,0.02907071511633289,0.027454630060493253,-0.16160850558396384,iso,20+,WR
exante_mid,11772,0.13637383405708328,0.1379544682296976,0.15806341726143092,iso,20+,WR
exante_high,815,0.31745463798196344,0.31533742331288345,-0.2117214669079992,iso,20+,WR
exante_low,2149,0.026203804355203447,0.027454630060493253,0.12508257052898064,strat_platt,20+,WR
exante_mid,11772,0.1362655815264323,0.1379544682296976,0.168888670326528,strat_platt,20+,WR
exante_high,815,0.33064034186361513,0.31533742331288345,-1.5302918550731681,strat_platt,20+,WR
