position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,1.9839,1.2477,0.17718
RB,15+,platt,1.7709,0.8848,0.17647
RB,15+,platt_vegas,1.5917,0.9003,0.17625
RB,15+,platt_vol,1.7092,0.7328,0.17659
RB,15+,platt_vol_vegas,1.6630,0.9947,0.17617
RB,15+,raw,1.7254,0.8063,0.17636
RB,15+,strat_iso,1.9819,1.2564,0.17738
RB,15+,strat_platt,2.0072,1.2478,0.17655
RB,20+,iso,1.4410,0.9182,0.11139
RB,20+,platt,1.0979,0.4702,0.11105
RB,20+,platt_vegas,0.9465,0.5248,0.11099
RB,20+,platt_vol,1.1673,0.5570,0.11111
RB,20+,platt_vol_vegas,1.1534,0.8446,0.11093
RB,20+,raw,2.0475,1.6859,0.11129
RB,20+,strat_iso,1.3770,0.8524,0.11152
RB,20+,strat_platt,1.2384,0.6830,0.11107
WR,15+,iso,1.2367,0.7879,0.17803
WR,15+,platt,1.3238,0.8684,0.17773
WR,15+,platt_vegas,1.5177,0.9810,0.17768
WR,15+,platt_vol,1.5736,1.0431,0.17798
WR,15+,platt_vol_vegas,1.7369,1.1777,0.17755
WR,15+,raw,1.3176,0.8969,0.17768
WR,15+,strat_iso,1.2903,0.7944,0.17815
WR,15+,strat_platt,1.1309,0.6654,0.17776
WR,20+,iso,0.8028,0.4431,0.10647
WR,20+,platt,1.0420,0.8353,0.10624
WR,20+,platt_vegas,1.0336,0.8232,0.10621
WR,20+,platt_vol,1.0490,0.8951,0.10641
WR,20+,platt_vol_vegas,1.2446,1.0360,0.10625
WR,20+,raw,1.8104,1.7246,0.10658
WR,20+,strat_iso,0.7984,0.5238,0.10651
WR,20+,strat_platt,0.9467,0.7699,0.10625
