bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",244,0.079625,0.06147540983606557,-0.01814959016393443,raw,15+,RB
"[0.1,0.2)",612,0.14413807189542482,0.11601307189542484,-0.028124999999999983,raw,15+,RB
"[0.2,0.3)",316,0.24801424050632911,0.24050632911392406,-0.007507911392405059,raw,15+,RB
"[0.3,0.4)",428,0.3533329439252336,0.3574766355140187,0.004143691588785081,raw,15+,RB
"[0.4,0.5)",418,0.44576076555023925,0.45454545454545453,0.008784688995215284,raw,15+,RB
"[0.5,0.6)",168,0.541764880952381,0.5416666666666666,-9.821428571432644e-5,raw,15+,RB
"[0.6,0.7)",53,0.6428584905660377,0.5660377358490566,-0.07682075471698113,raw,15+,RB
"[0.7,0.8)",8,0.7333125,0.875,0.14168749999999997,raw,15+,RB
"[0,0.1)",471,0.06798980711405972,0.08280254777070063,0.014812740656640913,platt,15+,RB
"[0.1,0.2)",463,0.14123751916773508,0.12742980561555076,-0.013807713552184325,platt,15+,RB
"[0.2,0.3)",270,0.24907493420628848,0.29259259259259257,0.04351765838630409,platt,15+,RB
"[0.3,0.4)",343,0.35325020463284057,0.33527696793002915,-0.017973236702811424,platt,15+,RB
"[0.4,0.5)",345,0.4490987890389501,0.4434782608695652,-0.0056205281693849085,platt,15+,RB
"[0.5,0.6)",232,0.5418795398078705,0.5086206896551724,-0.03325885015269814,platt,15+,RB
"[0.6,0.7)",94,0.645453029179439,0.574468085106383,-0.070984944073056,platt,15+,RB
"[0.7,0.8)",22,0.7376657512117836,0.5454545454545454,-0.19221120575723816,platt,15+,RB
"[0.8,0.9)",6,0.823878949307675,0.5,-0.323878949307675,platt,15+,RB
"[0.9,1]",1,0.9073134170556434,1,0.09268658294435661,platt,15+,RB
"[0,0.1)",643,0.0638832846809041,0.08242612752721618,0.01854284284631208,iso,15+,RB
"[0.1,0.2)",365,0.14641509154629143,0.1780821917808219,0.03166710023453048,iso,15+,RB
"[0.2,0.3)",85,0.24175021384862452,0.24705882352941178,0.005308609680787252,iso,15+,RB
"[0.3,0.4)",397,0.35467234779640466,0.3350125944584383,-0.01965975333796638,iso,15+,RB
"[0.4,0.5)",279,0.4371559171538077,0.4157706093189964,-0.021385307834811296,iso,15+,RB
"[0.5,0.6)",382,0.5358041282228443,0.5104712041884817,-0.025332924034362603,iso,15+,RB
"[0.6,0.7)",58,0.6543375166924391,0.5,-0.15433751669243911,iso,15+,RB
"[0.7,0.8)",31,0.7348642512534292,0.5161290322580645,-0.21873521899536474,iso,15+,RB
