cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",236,0.07907627118644067,0.0635593220338983,-0.01551694915254237,raw,15+,RB
exante_low,"[0.1,0.2)",184,0.12037771739130435,0.07065217391304347,-0.04972554347826087,raw,15+,RB
exante_low,"[0.2,0.3)",1,0.205,0,-0.205,raw,15+,RB
exante_mid,"[0,0.1)",8,0.09581250000000001,0,-0.09581250000000001,raw,15+,RB
exante_mid,"[0.1,0.2)",427,0.15431147540983606,0.1358313817330211,-0.018480093676814968,raw,15+,RB
exante_mid,"[0.2,0.3)",178,0.23524438202247192,0.20786516853932585,-0.027379213483146064,raw,15+,RB
exante_mid,"[0.3,0.4)",7,0.31785714285714284,0.2857142857142857,-0.03214285714285714,raw,15+,RB
exante_high,"[0.1,0.2)",1,0.172,0,-0.172,raw,15+,RB
exante_high,"[0.2,0.3)",137,0.26491970802919707,0.2846715328467153,0.01975182481751825,raw,15+,RB
exante_high,"[0.3,0.4)",421,0.3539228028503563,0.3586698337292161,0.004747030878859804,raw,15+,RB
exante_high,"[0.4,0.5)",418,0.44576076555023925,0.45454545454545453,0.008784688995215284,raw,15+,RB
exante_high,"[0.5,0.6)",168,0.541764880952381,0.5416666666666666,-9.821428571432644e-5,raw,15+,RB
exante_high,"[0.6,0.7)",53,0.6428584905660377,0.5660377358490566,-0.07682075471698113,raw,15+,RB
exante_high,"[0.7,0.8)",8,0.7333125,0.875,0.14168749999999997,raw,15+,RB
exante_low,"[0,0.1)",359,0.06328126656659833,0.07520891364902507,0.011927647082426746,platt,15+,RB
exante_low,"[0.1,0.2)",62,0.11412510215223935,0.016129032258064516,-0.09799606989417484,platt,15+,RB
exante_mid,"[0,0.1)",112,0.08308236119029759,0.10714285714285714,0.024060495952559546,platt,15+,RB
exante_mid,"[0.1,0.2)",389,0.14430338394935524,0.14652956298200515,0.0022261790326499054,platt,15+,RB
exante_mid,"[0.2,0.3)",113,0.23371437970822337,0.23008849557522124,-0.003625884133002133,platt,15+,RB
exante_mid,"[0.3,0.4)",6,0.3205532641302613,0.3333333333333333,0.012780069203072009,platt,15+,RB
exante_high,"[0.1,0.2)",12,0.1819332237436093,0.08333333333333333,-0.09859989041027596,platt,15+,RB
exante_high,"[0.2,0.3)",157,0.26013061992782577,0.3375796178343949,0.07744899790656912,platt,15+,RB
exante_high,"[0.3,0.4)",337,0.35383234600677377,0.3353115727002967,-0.018520773306477056,platt,15+,RB
exante_high,"[0.4,0.5)",345,0.4490987890389501,0.4434782608695652,-0.0056205281693849085,platt,15+,RB
exante_high,"[0.5,0.6)",232,0.5418795398078705,0.5086206896551724,-0.03325885015269814,platt,15+,RB
exante_high,"[0.6,0.7)",94,0.645453029179439,0.574468085106383,-0.070984944073056,platt,15+,RB
