position,threshold,method,stratum,pred_vol_ref,p_raw,p_recal
RB,15+,raw,exante_low,8.912137167844994,0,0
RB,15+,raw,exante_low,8.912137167844994,0.01,0.01
RB,15+,raw,exante_low,8.912137167844994,0.02,0.02
RB,15+,raw,exante_low,8.912137167844994,0.03,0.03
RB,15+,raw,exante_low,8.912137167844994,0.04,0.04
RB,15+,raw,exante_low,8.912137167844994,0.05,0.05
RB,15+,raw,exante_low,8.912137167844994,0.06,0.06
RB,15+,raw,exante_low,8.912137167844994,0.07,0.07
RB,15+,raw,exante_low,8.912137167844994,0.08,0.08
RB,15+,raw,exante_low,8.912137167844994,0.09,0.09
RB,15+,raw,exante_low,8.912137167844994,0.1,0.1
RB,15+,raw,exante_low,8.912137167844994,0.11,0.11
RB,15+,raw,exante_low,8.912137167844994,0.12,0.12
RB,15+,raw,exante_low,8.912137167844994,0.13,0.13
RB,15+,raw,exante_low,8.912137167844994,0.14,0.14
RB,15+,raw,exante_low,8.912137167844994,0.15,0.15
RB,15+,raw,exante_low,8.912137167844994,0.16,0.16
RB,15+,raw,exante_low,8.912137167844994,0.17,0.17
RB,15+,raw,exante_low,8.912137167844994,0.18,0.18
RB,15+,raw,exante_low,8.912137167844994,0.19,0.19
RB,15+,raw,exante_low,8.912137167844994,0.2,0.2
RB,15+,raw,exante_low,8.912137167844994,0.21,0.21
RB,15+,raw,exante_low,8.912137167844994,0.22,0.22
RB,15+,raw,exante_low,8.912137167844994,0.23,0.23
RB,15+,raw,exante_low,8.912137167844994,0.24,0.24
RB,15+,raw,exante_low,8.912137167844994,0.25,0.25
RB,15+,raw,exante_low,8.912137167844994,0.26,0.26
RB,15+,raw,exante_low,8.912137167844994,0.27,0.27
RB,15+,raw,exante_low,8.912137167844994,0.28,0.28
RB,15+,raw,exante_low,8.912137167844994,0.29,0.29
RB,15+,raw,exante_low,8.912137167844994,0.3,0.3
RB,15+,raw,exante_low,8.912137167844994,0.31,0.31
RB,15+,raw,exante_low,8.912137167844994,0.32,0.32
RB,15+,raw,exante_low,8.912137167844994,0.33,0.33
RB,15+,raw,exante_low,8.912137167844994,0.34,0.34
RB,15+,raw,exante_low,8.912137167844994,0.35000000000000003,0.35000000000000003
RB,15+,raw,exante_low,8.912137167844994,0.36,0.36
