position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
RB,00-0031376,2023,14,11.39858679079357,0.1995,0.068,FALSE,FALSE,exante_mid,3,25.25,fav,mid_implied,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.1995,0.068,0.068,0.068,0.068,0.068,0.068,0.068
RB,00-0031687,2023,14,17.02907822251977,0.407,0.198,TRUE,TRUE,exante_high,11.5,27.75,big_fav,high_implied,0.407,0.407,0.407,0.407,0.407,0.407,0.407,0.198,0.198,0.198,0.198,0.198,0.198,0.198
RB,00-0032764,2023,14,19.530187735290937,0.394,0.175,TRUE,FALSE,exante_high,-11.5,16.25,big_dog,low_implied,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.175,0.175,0.175,0.175,0.175,0.175,0.175
RB,00-0033045,2023,14,18.546565061902797,0.346,0.1615,TRUE,TRUE,exante_high,-6.5,14.25,big_dog,low_implied,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615,0.1615
RB,00-0033280,2023,14,22.745922152175424,0.691,0.4665,TRUE,FALSE,exante_high,10.5,27.25,big_fav,high_implied,0.691,0.691,0.691,0.691,0.691,0.691,0.691,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665,0.4665
RB,00-0033526,2023,14,6.656670773961413,0.0485,0.009,FALSE,FALSE,exante_low,-3,21.25,dog,mid_implied,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.0485,0.009,0.009,0.009,0.009,0.009,0.009,0.009
RB,00-0033699,2023,14,19.142243071874983,0.464,0.245,TRUE,TRUE,exante_high,3,24.25,fav,mid_implied,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.245,0.245,0.245,0.245,0.245,0.245,0.245
RB,00-0033893,2023,14,12.49626981944579,0.1685,0.06,FALSE,FALSE,exante_mid,-4.5,17,dog,low_implied,0.1685,0.1685,0.1685,0.1685,0.1685,0.1685,0.1685,0.06,0.06,0.06,0.06,0.06,0.06,0.06
RB,00-0033897,2023,14,22.192723802381057,0.567,0.323,TRUE,TRUE,exante_high,-2,19,close,low_implied,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.323,0.323,0.323,0.323,0.323,0.323,0.323
RB,00-0033906,2023,14,19.040195301929504,0.4225,0.204,FALSE,FALSE,exante_high,6.5,21.75,fav,mid_implied,0.4225,0.4225,0.4225,0.4225,0.4225,0.4225,0.4225,0.204,0.204,0.204,0.204,0.204,0.204,0.204
RB,00-0033923,2023,14,12.977357034165871,0.2,0.074,FALSE,FALSE,exante_mid,-3,18.5,dog,low_implied,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.074,0.074,0.074,0.074,0.074,0.074,0.074
RB,00-0033925,2023,14,14.510923539751424,0.275,0.1015,FALSE,FALSE,exante_high,-4.5,21,dog,mid_implied,0.275,0.275,0.275,0.275,0.275,0.275,0.275,0.1015,0.1015,0.1015,0.1015,0.1015,0.1015,0.1015
RB,00-0033948,2023,14,10.335260412265493,0.119,0.032,FALSE,FALSE,exante_mid,6.5,21.75,fav,mid_implied,0.119,0.119,0.119,0.119,0.119,0.119,0.119,0.032,0.032,0.032,0.032,0.032,0.032,0.032
RB,00-0034184,2023,14,12.9427641562294,0.2465,0.0865,FALSE,FALSE,exante_mid,7.5,26,big_fav,mid_implied,0.2465,0.2465,0.2465,0.2465,0.2465,0.2465,0.2465,0.0865,0.0865,0.0865,0.0865,0.0865,0.0865,0.0865
RB,00-0034681,2023,14,8.23638730139628,0.0665,0.014,FALSE,FALSE,exante_low,-2,19,close,low_implied,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.014,0.014,0.014,0.014,0.014,0.014,0.014
RB,00-0034844,2023,14,22.41648749243576,0.49,0.26,TRUE,TRUE,exante_high,-6,15.75,dog,low_implied,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.26,0.26,0.26,0.26,0.26,0.26,0.26
RB,00-0034972,2023,14,15.740591376397866,0.312,0.124,FALSE,FALSE,exante_high,1,20.75,close,mid_implied,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.124,0.124,0.124,0.124,0.124,0.124,0.124
RB,00-0035243,2023,14,12.792252858168904,0.1885,0.0625,FALSE,FALSE,exante_mid,-6.5,15.25,big_dog,low_implied,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.1885,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
RB,00-0035250,2023,14,19.46460277272803,0.4745,0.239,FALSE,FALSE,exante_high,4.5,21.5,fav,mid_implied,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.4745,0.239,0.239,0.239,0.239,0.239,0.239,0.239
RB,00-0035261,2023,14,18.940410901758916,0.496,0.2605,TRUE,FALSE,exante_high,2.5,25.5,close,mid_implied,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.2605,0.2605,0.2605,0.2605,0.2605,0.2605,0.2605
RB,00-0035537,2023,14,9.65618269144675,0.1105,0.0335,FALSE,FALSE,exante_low,-3,22.25,dog,mid_implied,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.1105,0.0335,0.0335,0.0335,0.0335,0.0335,0.0335,0.0335
RB,00-0035628,2023,14,11.465331000596226,0.165,0.068,FALSE,FALSE,exante_mid,3,21.5,fav,mid_implied,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.068,0.068,0.068,0.068,0.068,0.068,0.068
RB,00-0035685,2023,14,16.103564060897526,0.357,0.153,FALSE,FALSE,exante_high,4.5,25.5,fav,mid_implied,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.153,0.153,0.153,0.153,0.153,0.153,0.153
RB,00-0035700,2023,14,24.605574718913346,0.6085,0.3475,FALSE,FALSE,exante_high,-1,19.75,close,low_implied,0.6085,0.6085,0.6085,0.6085,0.6085,0.6085,0.6085,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475
RB,00-0035973,2023,14,7.798016585840657,0.0665,0.017,FALSE,FALSE,exante_low,6,21.75,fav,mid_implied,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.0665,0.017,0.017,0.017,0.017,0.017,0.017,0.017
