stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,421,0.09742636579572446,0.0665083135391924,-3.0918052256532063,raw,15+,RB
exante_mid,620,0.17863870967741935,0.15645161290322582,-2.218709677419353,raw,15+,RB
exante_high,1206,0.41687396351575456,0.42122719734660036,0.4353233830845793,raw,15+,RB
exante_low,421,0.060629370621612284,0.0665083135391924,0.5878942917580114,iso,15+,RB
exante_mid,620,0.13866384927523234,0.15645161290322582,1.7787763627993476,iso,15+,RB
exante_high,1206,0.4466397284633767,0.42122719734660036,-2.5412531116776327,iso,15+,RB
exante_low,421,0.02559501187648456,0.021377672209026127,-0.4217339667458433,raw,20+,RB
exante_mid,620,0.06010483870967742,0.06290322580645161,0.27983870967741853,raw,20+,RB
exante_high,1206,0.2066558872305141,0.21890547263681592,1.2249585406301833,raw,20+,RB
exante_low,421,0.011973170562501296,0.021377672209026127,0.9404501646524831,iso,20+,RB
exante_mid,620,0.05011698961792662,0.06290322580645161,1.2786236188524986,iso,20+,RB
exante_high,1206,0.24177056586462226,0.21890547263681592,-2.286509322780633,iso,20+,RB
exante_low,642,0.10361292834890966,0.09501557632398754,-0.8597352024922122,raw,15+,WR
exante_mid,2429,0.2687815973651709,0.27624536846438863,0.7463771099217753,raw,15+,WR
exante_high,279,0.5245286738351255,0.5053763440860215,-1.915232974910397,raw,15+,WR
exante_low,642,0.07851075325819998,0.09501557632398754,1.6504823065787557,iso,15+,WR
exante_mid,2429,0.284021194459261,0.27624536846438863,-0.7775825994872365,iso,15+,WR
exante_high,279,0.49902566518103864,0.5053763440860215,0.6350678904982865,iso,15+,WR
exante_low,642,0.025945482866043614,0.03115264797507788,0.5207165109034267,raw,20+,WR
exante_mid,2429,0.10929847673939892,0.1350349938246192,2.5736517085220276,raw,20+,WR
exante_high,279,0.29610394265232975,0.30824372759856633,1.2139784946236576,raw,20+,WR
exante_low,642,0.029261098464537283,0.03115264797507788,0.18915495105405988,iso,20+,WR
exante_mid,2429,0.14537451545576457,0.1350349938246192,-1.0339521631145376,iso,20+,WR
exante_high,279,0.27884674973377704,0.30824372759856633,2.939697786478929,iso,20+,WR
