position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,3.9973,2.9024,0.17742
RB,15+,platt,3.6146,2.3977,0.17440
RB,15+,platt_vegas,4.0423,2.3862,0.17501
RB,15+,platt_vol,3.4523,1.7834,0.17445
RB,15+,platt_vol_vegas,3.6887,1.9666,0.17536
RB,15+,raw,3.1894,1.5434,0.17384
RB,15+,strat_iso,4.0863,3.1669,0.17799
RB,15+,strat_platt,3.3558,1.6657,0.17478
RB,20+,iso,3.2061,2.4213,0.11087
RB,20+,platt,1.9279,0.8510,0.10905
RB,20+,platt_vegas,2.3787,1.6077,0.10967
RB,20+,platt_vol,2.1970,1.2385,0.10922
RB,20+,platt_vol_vegas,2.5243,1.7537,0.10994
RB,20+,raw,2.2655,1.2526,0.10840
RB,20+,strat_iso,3.2274,2.5499,0.11105
RB,20+,strat_platt,2.1740,1.1776,0.10943
WR,15+,iso,2.6086,1.4615,0.17294
WR,15+,platt,3.3579,2.6964,0.17241
WR,15+,platt_vegas,2.8863,1.9723,0.17311
WR,15+,platt_vol,3.0669,2.1888,0.17261
WR,15+,platt_vol_vegas,3.0422,2.1990,0.17351
WR,15+,raw,3.1933,2.4929,0.17188
WR,15+,strat_iso,2.7589,1.6434,0.17305
WR,15+,strat_platt,3.4258,2.7633,0.17261
WR,20+,iso,1.6428,0.7596,0.10546
WR,20+,platt,1.8360,1.4492,0.10506
WR,20+,platt_vegas,1.3890,0.9236,0.10560
WR,20+,platt_vol,1.6779,1.3084,0.10532
WR,20+,platt_vol_vegas,1.4422,0.9080,0.10568
WR,20+,raw,2.6517,2.4587,0.10541
WR,20+,strat_iso,1.5057,0.6873,0.10559
WR,20+,strat_platt,1.8727,1.3261,0.10514
