stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,1596,0.10020332080200502,0.09147869674185463,-0.8724624060150385,raw,15+,RB
exante_mid,3349,0.18238563750373246,0.18005374738727978,-0.2331890116452684,raw,15+,RB
exante_high,4954,0.4107142712959225,0.4020993136859104,-0.8614957610012075,raw,15+,RB
exante_low,1596,0.10613584270941016,0.09147869674185463,-1.4657145967555532,iso,15+,RB
exante_mid,3349,0.18016377758235969,0.18005374738727978,-0.011003019507990763,iso,15+,RB
exante_high,4954,0.39996093474943695,0.4020993136859104,0.21383789364734507,iso,15+,RB
exante_low,1596,0.10260989118337374,0.09147869674185463,-1.113119444151911,platt_vegas,15+,RB
exante_mid,3349,0.18144438289421305,0.18005374738727978,-0.13906355069332743,platt_vegas,15+,RB
exante_high,4954,0.3952446022394411,0.4020993136859104,0.6854711446469319,platt_vegas,15+,RB
exante_low,1596,0.026898182957393484,0.02819548872180451,0.1297305764411026,raw,20+,RB
exante_mid,3349,0.06153030755449388,0.07733651836369065,1.5806210809196772,raw,20+,RB
exante_high,4954,0.20002563584981833,0.22345579329834478,2.3430157448526447,raw,20+,RB
exante_low,1596,0.03212831882038842,0.02819548872180451,-0.39328300985839104,iso,20+,RB
exante_mid,3349,0.07831519462826592,0.07733651836369065,-0.09786762645752622,iso,20+,RB
exante_high,4954,0.2304879630189086,0.22345579329834478,-0.7032169720563808,iso,20+,RB
exante_low,1596,0.034770936504836994,0.02819548872180451,-0.6575447783032484,platt_vegas,20+,RB
exante_mid,3349,0.07644202496235698,0.07733651836369065,0.08944934013336708,platt_vegas,20+,RB
exante_high,4954,0.22871477511912522,0.22345579329834478,-0.525898182078044,platt_vegas,20+,RB
exante_low,2162,0.11324745605920444,0.10175763182238667,-1.148982423681777,raw,15+,WR
exante_mid,11568,0.27661670124481325,0.2752420470262794,-0.13746542185338329,raw,15+,WR
exante_high,1006,0.5462007952286282,0.5149105367793241,-3.129025844930411,raw,15+,WR
exante_low,2162,0.10128704676830587,0.10175763182238667,0.04705850540808049,iso,15+,WR
exante_mid,11568,0.26978733541513084,0.2752420470262794,0.5454711611148577,iso,15+,WR
exante_high,1006,0.5246090095044423,0.5149105367793241,-0.9698472725118257,iso,15+,WR
exante_low,2162,0.10055704455035447,0.10175763182238667,0.12005872720322053,strat_platt,15+,WR
exante_mid,11568,0.27086993458059105,0.2752420470262794,0.43721124456883587,strat_platt,15+,WR
exante_high,1006,0.5161456426151352,0.5149105367793241,-0.12351058358111011,strat_platt,15+,WR
exante_low,2162,0.03015379278445884,0.030527289546716005,0.03734967622571646,raw,20+,WR
exante_mid,11568,0.11433916839557401,0.13433609958506224,1.9996931189488225,raw,20+,WR
exante_high,1006,0.3160745526838966,0.31809145129224653,0.20168986083499152,raw,20+,WR
exante_low,2162,0.03166477046966897,0.030527289546716005,-0.11374809229529673,iso,20+,WR
exante_mid,11568,0.13218321606337907,0.13433609958506224,0.21528835216831632,iso,20+,WR
exante_high,1006,0.3193551391961101,0.31809145129224653,-0.1263687903863553,iso,20+,WR
