position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
RB,15+,iso,2.1252,1.3211,0.17665
RB,15+,platt,1.6888,0.7863,0.17611
RB,15+,platt_vegas,1.3184,0.6418,0.17579
RB,15+,platt_vol,1.7819,0.6918,0.17623
RB,15+,platt_vol_vegas,1.5166,0.7338,0.17560
RB,15+,raw,1.6829,0.7650,0.17602
RB,15+,strat_iso,2.0425,1.2320,0.17684
RB,15+,strat_platt,1.6978,0.6861,0.17618
RB,20+,iso,1.4934,0.7919,0.11118
RB,20+,platt,1.1444,0.4581,0.11071
RB,20+,platt_vegas,0.8288,0.4002,0.11051
RB,20+,platt_vol,1.2682,0.5376,0.11075
RB,20+,platt_vol_vegas,0.9178,0.3847,0.11040
RB,20+,raw,2.0548,1.7440,0.11103
RB,20+,strat_iso,1.4510,0.5664,0.11138
RB,20+,strat_platt,1.1833,0.4178,0.11075
WR,15+,iso,1.0564,0.4854,0.17623
WR,15+,platt,1.4179,0.9872,0.17589
WR,15+,platt_vegas,1.7211,1.4455,0.17585
WR,15+,platt_vol,1.5706,1.0827,0.17617
WR,15+,platt_vol_vegas,1.9510,1.6334,0.17577
WR,15+,raw,1.4419,0.8991,0.17585
WR,15+,strat_iso,1.0510,0.5230,0.17628
WR,15+,strat_platt,1.2303,0.7445,0.17588
WR,20+,iso,0.7003,0.2690,0.10570
WR,20+,platt,1.1376,0.9120,0.10547
WR,20+,platt_vegas,0.9651,0.7041,0.10542
WR,20+,platt_vol,1.2731,0.9862,0.10561
WR,20+,platt_vol_vegas,1.3605,1.1005,0.10543
WR,20+,raw,1.7903,1.6852,0.10576
WR,20+,strat_iso,0.7180,0.3619,0.10573
WR,20+,strat_platt,0.8496,0.5350,0.10551
