bin,n,pred,emp,delta,threshold,position
"[0,0.1)",813,0.07915313653136531,0.1943419434194342,0.11518880688806889,15+,RB
"[0.1,0.2)",3071,0.14927482904591338,0.15369586453923803,0.004421035493324649,15+,RB
"[0.2,0.3)",2635,0.24838140417457305,0.19810246679316887,-0.05027893738140418,15+,RB
"[0.3,0.4)",1999,0.3476978489244622,0.2896448224112056,-0.05805302651325661,15+,RB
"[0.4,0.5)",1533,0.44622113502935423,0.37573385518590996,-0.07048727984344427,15+,RB
"[0.5,0.6)",973,0.5445734840698869,0.48201438848920863,-0.06255909558067829,15+,RB
"[0.6,0.7)",440,0.6412886363636363,0.5931818181818181,-0.04810681818181817,15+,RB
"[0.7,0.8)",131,0.7390076335877863,0.7557251908396947,0.016717557251908377,15+,RB
"[0.8,0.9)",26,0.821923076923077,0.8846153846153846,0.0626923076923076,15+,RB
"[0,0.1)",5590,0.050628711985688725,0.08318425760286226,0.03255554561717353,20+,RB
"[0.1,0.2)",3383,0.14435072420928172,0.136860774460538,-0.007489949748743729,20+,RB
"[0.2,0.3)",1710,0.24332426900584794,0.21871345029239767,-0.024610818713450278,20+,RB
"[0.3,0.4)",681,0.34012701908957416,0.3054331864904552,-0.03469383259911896,20+,RB
"[0.4,0.5)",203,0.4421551724137931,0.3891625615763547,-0.05299261083743839,20+,RB
"[0.5,0.6)",48,0.5433229166666667,0.5833333333333334,0.040010416666666715,20+,RB
"[0.6,0.7)",6,0.6240833333333333,0.5,-0.12408333333333332,20+,RB
