bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",666,0.07949174174174174,0.19369369369369369,0.11420195195195194,raw,15+,RB_3C
"[0.1,0.2)",2515,0.14971988071570577,0.1550695825049702,0.005349701789264416,raw,15+,RB_3C
"[0.2,0.3)",2252,0.24797890763765543,0.19760213143872113,-0.0503767761989343,raw,15+,RB_3C
"[0.3,0.4)",1741,0.3478437679494543,0.29695577254451466,-0.05088799540493966,raw,15+,RB_3C
"[0.4,0.5)",1343,0.4465312732688012,0.379746835443038,-0.06678443782576321,raw,15+,RB_3C
"[0.5,0.6)",862,0.5451728538283063,0.4802784222737819,-0.06489443155452435,raw,15+,RB_3C
"[0.6,0.7)",386,0.6414572538860104,0.5958549222797928,-0.04560233160621763,raw,15+,RB_3C
"[0.7,0.8)",115,0.7383086956521739,0.7652173913043478,0.02690869565217391,raw,15+,RB_3C
"[0.8,0.9)",19,0.8215789473684211,0.9473684210526315,0.12578947368421045,raw,15+,RB_3C
"[0,0.1)",228,0.08690384003462173,0.24561403508771928,0.15871019505309755,platt,15+,RB_3C
"[0.1,0.2)",2917,0.15448038049961912,0.15838189921151868,0.00390151871189956,platt,15+,RB_3C
"[0.2,0.3)",3061,0.2476453802744335,0.21398235870630514,-0.033663021568128365,platt,15+,RB_3C
"[0.3,0.4)",2144,0.34669671541794367,0.34421641791044777,-0.002480297507495899,platt,15+,RB_3C
"[0.4,0.5)",1148,0.4424104066497171,0.49477351916376305,0.05236311251404596,platt,15+,RB_3C
"[0.5,0.6)",332,0.5380573604804166,0.6204819277108434,0.08242456723042679,platt,15+,RB_3C
"[0.6,0.7)",68,0.6343990086188049,0.8088235294117647,0.17442452079295978,platt,15+,RB_3C
"[0.7,0.8)",1,0.727188321590359,1,0.27281167840964105,platt,15+,RB_3C
"[0,0.1)",6,0.015151515151515152,0.6666666666666666,0.6515151515151515,iso,15+,RB_3C
"[0.1,0.2)",4510,0.17337306279560766,0.17161862527716187,-0.0017544375184457839,iso,15+,RB_3C
"[0.2,0.3)",2543,0.250386150865122,0.2618953991348801,0.011509248269758077,iso,15+,RB_3C
