stratum,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",642,0.07902647975077882,0.17757009345794392,0.09854361370716509,raw,15+,RB_3C
exante_low,"[0.1,0.2)",1094,0.13094378427787934,0.06946983546617916,-0.06147394881170018,raw,15+,RB_3C
exante_low,"[0.2,0.3)",3,0.20616666666666666,0,-0.20616666666666666,raw,15+,RB_3C
exante_mid,"[0,0.1)",24,0.0919375,0.625,0.5330625,raw,15+,RB_3C
exante_mid,"[0.1,0.2)",1410,0.16398085106382979,0.2170212765957447,0.0530404255319149,raw,15+,RB_3C
exante_mid,"[0.2,0.3)",1502,0.23828794940079895,0.1318242343541944,-0.10646371504660454,raw,15+,RB_3C
exante_mid,"[0.3,0.4)",93,0.315752688172043,0.053763440860215055,-0.26198924731182793,raw,15+,RB_3C
exante_high,"[0.1,0.2)",11,0.1890909090909091,0.7272727272727273,0.5381818181818182,raw,15+,RB_3C
exante_high,"[0.2,0.3)",747,0.26763253012048194,0.33065595716198126,0.06302342704149932,raw,15+,RB_3C
exante_high,"[0.3,0.4)",1648,0.34965473300970873,0.3106796116504854,-0.03897512135922332,raw,15+,RB_3C
exante_high,"[0.4,0.5)",1343,0.4465312732688012,0.379746835443038,-0.06678443782576321,raw,15+,RB_3C
exante_high,"[0.5,0.6)",862,0.5451728538283063,0.4802784222737819,-0.06489443155452435,raw,15+,RB_3C
exante_high,"[0.6,0.7)",386,0.6414572538860104,0.5958549222797928,-0.04560233160621763,raw,15+,RB_3C
exante_high,"[0.7,0.8)",115,0.7383086956521739,0.7652173913043478,0.02690869565217391,raw,15+,RB_3C
exante_high,"[0.8,0.9)",19,0.8215789473684211,0.9473684210526315,0.12578947368421045,raw,15+,RB_3C
exante_low,"[0,0.1)",227,0.08684823562904204,0.2422907488986784,0.15544251326963637,platt,15+,RB_3C
exante_low,"[0.1,0.2)",1506,0.1379533814550959,0.08964143426294821,-0.04831194719214768,platt,15+,RB_3C
exante_low,"[0.2,0.3)",6,0.20484331756208118,0,-0.20484331756208118,platt,15+,RB_3C
exante_mid,"[0,0.1)",1,0.09952604010121371,1,0.9004739598987863,platt,15+,RB_3C
exante_mid,"[0.1,0.2)",1400,0.17196186151663792,0.22785714285714287,0.05589528134050495,platt,15+,RB_3C
exante_mid,"[0.2,0.3)",1622,0.23140140698434908,0.12577065351418001,-0.10563075347016906,platt,15+,RB_3C
exante_mid,"[0.3,0.4)",6,0.3079589547494043,0,-0.3079589547494043,platt,15+,RB_3C
exante_high,"[0.1,0.2)",11,0.19226102933832037,0.7272727272727273,0.535011697934407,platt,15+,RB_3C
exante_high,"[0.2,0.3)",1433,0.26621100278161497,0.31472435450104674,0.048513351719431774,platt,15+,RB_3C
exante_high,"[0.3,0.4)",2138,0.34680542756200883,0.3451824134705332,-0.0016230140914756386,platt,15+,RB_3C
exante_high,"[0.4,0.5)",1148,0.4424104066497171,0.49477351916376305,0.05236311251404596,platt,15+,RB_3C
