component,stratum,nominal,empirical,sharpness,delta
pass_efficiency,pooled,0.5,0.49462192968373736,0.4252596432950409,-0.00537807031626264
pass_efficiency,pooled,0.8,0.7977203403435543,0.8280571075316376,-0.0022796596564457206
pass_efficiency,pooled,0.9,0.8975758548723711,1.0790784695638398,-0.002424145127628896
dropback_volume,pooled,0.5,0.5015251244180446,12.764364771078327,0.0015251244180446433
dropback_volume,pooled,0.8,0.801091668004495,23.724229127416805,0.0010916680044950056
dropback_volume,pooled,0.9,0.8998234066463316,30.33287229454824,-1.7659335366837503e-4
carry_volume,pooled,0.5,0.49397977203403437,2.3838015891332565,-0.00602022796596563
carry_volume,pooled,0.8,0.7900144485471183,4.8529404733387205,-0.009985551452881714
carry_volume,pooled,0.9,0.8927596724995986,6.809551743586296,-0.007240327500401378
rush_epa_direct,pooled,0.5,0.49462192968373736,2.4917873695638186,-0.00537807031626264
rush_epa_direct,pooled,0.8,0.7951517097447424,5.85124414319127,-0.004848290255257681
rush_epa_direct,pooled,0.9,0.8982180125220741,8.637368347844818,-0.001781987477925906
combined,pooled,0.5,0.5005618879434901,14.961252526269487,5.618879434901025e-4
combined,pooled,0.8,0.7962754856317226,29.02697505154629,-0.003724514368277476
combined,pooled,0.9,0.900305024883609,37.46478735089102,3.0502488360895086e-4
