player_id,player_name,games,cpg,bias_tot,t_tot
00-0037013,Zach Wilson,33,2.36,-5.85,-3.51
00-0029567,Nick Foles,35,1.06,-5.23,-2.78
00-0039851,Drake Maye,27,4.81,5.14,2.72
00-0027948,Blaine Gabbert,24,3.67,-4.87,-2.97
00-0033873,Patrick Mahomes,125,3.09,4.78,5.29
00-0026625,Brian Hoyer,34,0.94,-3.6,-1.91
00-0037834,Brock Purdy,46,2.76,3.6,2.36
00-0039910,Jayden Daniels,23,8.22,3.57,1.63
00-0021206,Josh McCown,36,1.94,-3.52,-1.85
00-0032156,Trevor Siemian,35,1.77,-3.49,-2.07
00-0039150,Bryce Young,44,2.55,-3.28,-1.91
00-0038122,Desmond Ridder,20,3.25,-3.18,-1.75
00-0010346,Peyton Manning,21,0.38,-2.97,-1.12
00-0036264,Jordan Love,47,2.02,2.95,2.38
00-0020531,Drew Brees,94,0.74,2.94,2.6
00-0034857,Josh Allen,125,6.16,2.81,3.14
00-0033319,Nick Mullens,22,1,2.75,1.13
00-0029682,Brock Osweiler,32,1.75,-2.71,-1.56
00-0024226,Jay Cutler,41,1.44,-2.69,-1.8
00-0027974,Colin Kaepernick,29,5.31,-2.69,-1.48
00-0019596,Tom Brady,137,1,2.65,3.01
00-0031407,Blake Bortles,70,3.33,-2.63,-2.07
00-0036898,Davis Mills,34,1.59,-2.25,-1.22
00-0026158,Joe Flacco,101,1.04,-2.03,-1.79
00-0039732,Bo Nix,34,4.24,1.97,1.07
00-0034796,Lamar Jackson,104,9.27,1.9,1.81
00-0036442,Joe Burrow,77,2.36,1.79,1.29
00-0022803,Eli Manning,78,0.5,-1.7,-1.38
00-0033077,Dak Prescott,137,2.76,1.68,1.74
00-0035710,Daniel Jones,78,4.86,-1.67,-1.31
00-0027973,Andy Dalton,116,2.08,-1.45,-1.48
00-0031345,Jimmy Garoppolo,65,1.82,1.44,1.09
00-0036945,Justin Fields,49,8.67,-1.44,-0.97
00-0023459,Aaron Rodgers,162,1.94,1.43,1.73
00-0030565,Geno Smith,77,2.62,-1.43,-1.32
00-0027939,Cam Newton,92,7.35,-1.36,-1.24
00-0032950,Carson Wentz,99,3.1,-1.24,-1.24
00-0031800,Taylor Heinicke,32,3,-1.2,-0.68
00-0022924,Ben Roethlisberger,101,0.72,1.15,1.09
00-0035704,Drew Lock,28,2.71,-1.12,-0.49
00-0034869,Sam Darnold,91,2.41,-1.11,-0.92
00-0028986,Case Keenum,60,1.38,-1.06,-0.79
00-0029668,Andrew Luck,49,2.84,1.03,0.67
00-0036212,Tua Tagovailoa,76,1.64,0.92,0.76
00-0034771,Mason Rudolph,24,2.17,0.83,0.39
00-0033119,Jacoby Brissett,66,3.23,-0.8,-0.86
00-0032268,Marcus Mariota,85,4.16,0.75,0.75
00-0034855,Baker Mayfield,123,2.33,-0.64,-0.65
00-0036389,Jalen Hurts,81,8.47,0.6,0.57
00-0033537,Deshaun Watson,72,5.03,0.56,0.41
00-0026498,Matthew Stafford,172,1.26,0.55,0.71
00-0029263,Russell Wilson,166,4.1,-0.55,-0.66
00-0035289,Gardner Minshew,51,2.59,-0.55,-0.44
00-0023436,Alex Smith,74,3.03,-0.52,-0.48
00-0036355,Justin Herbert,95,3.14,0.51,0.44
00-0036971,Trevor Lawrence,76,3.64,-0.51,-0.45
00-0031503,Jameis Winston,91,2.77,0.48,0.42
00-0033106,Jared Goff,151,1.21,0.42,0.44
00-0031280,Derek Carr,163,1.33,-0.37,-0.46
00-0035228,Kyler Murray,85,5.79,-0.37,-0.38
00-0036972,Mac Jones,56,2.3,-0.35,-0.27
00-0039163,C.J. Stroud,44,2.57,0.31,0.2
00-0021429,Carson Palmer,43,0.65,0.3,0.24
00-0026143,Matt Ryan,135,1.57,-0.24,-0.25
00-0028118,Tyrod Taylor,62,5.4,0.24,0.21
00-0027854,Sam Bradford,34,0.74,-0.23,-0.13
00-0022942,Philip Rivers,110,0.63,0.15,0.16
00-0031237,Teddy Bridgewater,67,2.39,0.1,0.08
00-0023682,Ryan Fitzpatrick,68,3,0.08,0.05
00-0033869,Mitchell Trubisky,60,3.27,-0.06,-0.05
00-0029604,Kirk Cousins,159,1.43,-0.04,-0.05
00-0029701,Ryan Tannehill,117,2.22,-0.03,-0.03
00-0038102,Kenny Pickett,25,2.84,0.02,0.01
00-0039918,Caleb Williams,34,4.15,0.01,0
