component,stratum,nominal,empirical,sharpness,delta
pass_efficiency,pooled,0.5,0.49462192968373736,0.4053993715841679,-0.00537807031626264
pass_efficiency,pooled,0.8,0.7953122491571681,0.7759408065395361,-0.004687750842831906
pass_efficiency,pooled,0.9,0.8983785519344999,1.0115668711313581,-0.0016214480655001307
dropback_volume,pooled,0.5,0.49622732380799484,12.116237222113186,-0.0037726761920051644
dropback_volume,pooled,0.8,0.7959544068068711,22.590469957606924,-0.004045593193128916
dropback_volume,pooled,0.9,0.8995023278214802,29.04973804283729,-4.976721785198146e-4
carry_volume,pooled,0.5,0.49478246909616314,2.3288459250423137,-0.0052175309038368645
carry_volume,pooled,0.8,0.7864825814737518,4.4898780019674644,-0.013517418526248215
carry_volume,pooled,0.9,0.894525606036282,6.352019385329958,-0.005474393963718072
rush_epa_direct,pooled,0.5,0.49462192968373736,2.09306296448272,-0.00537807031626264
rush_epa_direct,pooled,0.8,0.7993257344678119,5.376058873007818,-6.742655321881896e-4
rush_epa_direct,pooled,0.9,0.8972547760475197,8.075866374712794,-0.0027452239524803357
combined,pooled,0.5,0.4989564938192326,14.170062013152924,-0.001043506180767373
combined,pooled,0.8,0.7951517097447424,27.1286899362049,-0.004848290255257681
combined,pooled,0.9,0.8972547760475197,34.80208477819437,-0.0027452239524803357
