stratum,n,nominal,empirical,sharpness,delta,component,axis
statue (0-3),4472,0.5,0.49619856887298747,14.190918810567766,-0.0038014311270125334,combined,ex_ante
statue (0-3),4472,0.8,0.7969588550983899,27.142030359902613,-0.0030411449016101155,combined,ex_ante
statue (0-3),4472,0.9,0.8978085867620751,34.82998732983604,-0.002191413237924933,combined,ex_ante
mover (4-7),997,0.5,0.5085255767301906,14.10437103602974,0.00852557673019061,combined,ex_ante
mover (4-7),997,0.8,0.7903711133400201,27.06844888655671,-0.009628886659979963,combined,ex_ante
mover (4-7),997,0.9,0.892678034102307,34.60739365113779,-0.007321965897693072,combined,ex_ante
scrambler (8+),227,0.5,0.5242290748898678,14.084373734761868,0.024229074889867808,combined,ex_ante
scrambler (8+),227,0.8,0.7709251101321586,27.158508605461968,-0.029074889867841458,combined,ex_ante
scrambler (8+),227,0.9,0.9162995594713657,34.77936555577979,0.016299559471365632,combined,ex_ante
statue (0-3),4376,0.5,0.4913162705667276,14.176158950812082,-0.008683729433272391,combined,observed
statue (0-3),4376,0.8,0.7895338208409507,27.126944060668272,-0.01046617915904935,combined,observed
statue (0-3),4376,0.9,0.8932815356489945,34.841228634788365,-0.0067184643510055375,combined,observed
mover (4-7),1420,0.5,0.5169014084507042,14.177460973848042,0.016901408450704203,combined,observed
mover (4-7),1420,0.8,0.8098591549295775,27.12806816906633,0.009859154929577452,combined,observed
mover (4-7),1420,0.9,0.8992957746478873,34.70999409653888,-7.042253521126751e-4,combined,observed
scrambler (8+),433,0.5,0.5173210161662818,14.084180434899912,0.01732101616628179,combined,observed
scrambler (8+),433,0.8,0.8036951501154734,27.1483732172327,0.003695150115473389,combined,observed
scrambler (8+),433,0.9,0.930715935334873,34.70849413499674,0.030715935334872935,combined,observed
