fold,pass_eff_leaves,pass_eff_lr,pass_eff_min_node,pass_eff_rounds,pass_eff_inner_rmse,db_vol_leaves,db_vol_lr,db_vol_min_node,db_vol_rounds,db_vol_inner_rmse,carry_vol_leaves,carry_vol_lr,carry_vol_min_node,carry_vol_rounds,carry_vol_inner_rmse,rush_dir_leaves,rush_dir_lr,rush_dir_min_node,rush_dir_rounds,rush_dir_inner_rmse
1,7,0.05,20,10,0.2731,7,0.02,20,12,9.612,7,0.02,10,154,1.9368,7,0.02,20,31,2.2467
2,7,0.05,10,89,0.324,7,0.02,10,75,7.665,7,0.02,20,183,2.7648,7,0.05,10,10,2.4685
3,7,0.05,50,10,0.335,7,0.05,10,14,7.9412,7,0.02,20,170,1.2557,15,0.05,10,115,2.4605
4,7,0.05,50,19,0.3126,7,0.05,50,142,7.763,7,0.05,20,53,1.9718,7,0.05,50,25,2.0326
5,7,0.05,50,10,0.264,31,0.02,10,12,8.8204,7,0.02,10,113,1.3149,7,0.05,10,15,2.3175
6,7,0.02,20,70,0.2889,7,0.02,100,262,8.5214,7,0.02,10,100,1.7375,7,0.05,10,19,2.0653
7,7,0.05,20,21,0.3033,7,0.05,100,52,8.4093,15,0.05,20,36,1.7203,7,0.05,50,52,2.9446
8,7,0.05,10,40,0.3076,7,0.05,100,16,8.34,15,0.05,20,60,1.4657,7,0.02,10,29,2.902
9,7,0.02,100,242,0.3027,7,0.02,10,49,8.7842,15,0.05,20,48,1.4253,7,0.02,20,34,1.7122
10,15,0.05,10,33,0.3132,7,0.05,10,25,9.348,31,0.02,10,265,1.5404,15,0.05,10,30,2.0593
11,7,0.05,100,114,0.3049,7,0.05,10,25,9.1004,7,0.02,10,160,1.5984,7,0.05,50,33,2.2208
12,7,0.02,100,155,0.329,31,0.05,10,25,9.4433,7,0.05,10,47,1.7683,15,0.02,20,105,2.5299
13,7,0.05,10,65,0.3199,15,0.05,10,89,9.2309,31,0.02,10,71,1.5923,7,0.02,20,126,2.6109
14,15,0.05,10,20,0.3388,7,0.05,50,56,9.7794,7,0.02,20,115,1.8775,31,0.05,20,76,2.334
15,31,0.05,20,24,0.3176,7,0.05,10,26,9.976,7,0.02,50,206,1.8747,15,0.05,20,28,2.325
16,31,0.05,20,24,0.3244,15,0.05,10,14,9.9848,7,0.02,50,204,1.8461,15,0.05,20,28,2.1528
17,7,0.02,100,123,0.3125,31,0.05,10,10,9.7567,7,0.05,50,79,1.9124,15,0.02,20,35,2.0574
18,7,0.05,50,30,0.3047,7,0.05,100,10,9.8906,7,0.02,100,325,1.8173,31,0.05,20,28,2.159
19,7,0.02,100,77,0.30620000000000003,7,0.05,20,39,9.4283,7,0.02,100,310,1.8224,7,0.05,50,29,2.0828
20,7,0.02,100,65,0.2896,7,0.05,20,34,9.4476,7,0.02,100,150,1.8933,15,0.05,50,24,2.1561
21,7,0.02,100,65,0.2926,7,0.05,50,51,9.0802,7,0.02,100,225,1.8162,7,0.02,100,79,2.4743
22,7,0.05,100,22,0.2854,7,0.02,100,132,8.8479,15,0.05,50,33,1.8109,7,0.05,100,14,2.4122
23,7,0.02,10,40,0.2814,63,0.05,10,29,8.8796,7,0.02,100,205,1.6406,7,0.05,100,43,2.3052
24,15,0.05,20,10,0.2805,7,0.02,100,55,8.3051,31,0.02,20,120,1.6506,7,0.05,100,51,2.1891
25,15,0.02,10,14,0.2811,7,0.02,20,135,8.0472,7,0.02,20,172,1.5522,7,0.05,10,24,2.1831
26,7,0.05,10,17,0.2904,7,0.05,10,73,8.3359,7,0.02,20,170,1.6446,7,0.05,100,20,2.3726
27,7,0.02,100,90,0.2985,7,0.05,10,35,8.235,63,0.02,10,111,1.6599,7,0.02,100,40,2.0344
28,31,0.05,10,12,0.3097,7,0.02,50,114,8.6429,15,0.02,10,108,1.6994,15,0.02,10,59,2.0841
29,7,0.05,100,30,0.314,15,0.02,20,126,8.5828,7,0.05,100,155,1.8832,15,0.05,20,31,2.2945
30,7,0.05,100,44,0.3207,31,0.05,20,50,9.0368,15,0.02,10,108,1.864,31,0.05,10,20,2.2799
31,7,0.05,10,39,0.3113,31,0.05,20,50,8.71,15,0.02,10,108,1.8403,31,0.05,10,20,2.3387
32,7,0.02,20,106,0.3067,7,0.05,20,66,8.6598,15,0.05,10,72,1.7803,15,0.05,50,45,2.3753
33,7,0.02,20,56,0.3076,7,0.05,10,35,8.7113,7,0.05,10,90,1.7405,7,0.05,50,68,2.1738
34,15,0.05,50,12,0.2932,63,0.02,20,65,8.7643,7,0.05,10,93,1.7597,15,0.05,50,53,2.1545
35,7,0.02,100,64,0.2821,7,0.05,100,71,8.4582,7,0.02,20,180,1.7815,15,0.05,50,58,2.1208
36,7,0.02,100,72,0.2788,7,0.02,100,140,8.4565,7,0.05,20,53,1.7917,15,0.05,50,68,2.1088
37,15,0.05,50,34,0.2679,7,0.05,50,39,8.5151,15,0.02,20,115,1.779,7,0.05,50,16,2.0652
38,7,0.05,100,44,0.2607,63,0.05,10,10,8.4982,7,0.02,20,205,1.8145,7,0.05,50,45,2.0934
39,15,0.05,100,38,0.2605,7,0.05,10,55,8.5509,7,0.02,100,124,1.7811,15,0.02,50,55,2.0987
40,15,0.02,100,145,0.2685,15,0.05,10,30,8.6403,31,0.05,20,32,1.8425,7,0.02,10,60,2.0268
