bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",3,0.09245288467675543,0,-0.09245288467675543,norm,20+,QB
"[0.1,0.2)",595,0.1682193768080897,0.12100840336134454,-0.04721097344674517,norm,20+,QB
"[0.2,0.3)",2294,0.2547453670608213,0.23365300784655624,-0.021092359214265055,norm,20+,QB
"[0.3,0.4)",2257,0.3447936964177624,0.3309703145768719,-0.013823381840890492,norm,20+,QB
"[0.4,0.5)",747,0.43808478209889723,0.4109772423025435,-0.02710753979635372,norm,20+,QB
"[0.5,0.6)",254,0.5387180804138224,0.5669291338582677,0.0282110534444453,norm,20+,QB
"[0.6,0.7)",72,0.6350565177860065,0.5555555555555556,-0.07950096223045089,norm,20+,QB
"[0.7,0.8)",7,0.7328683552228434,0.42857142857142855,-0.3042969266514149,norm,20+,QB
"[0,0.1)",80,0.0831625,0.0625,-0.0206625,sim,20+,QB
"[0.1,0.2)",897,0.16014882943143813,0.14604236343366778,-0.014106465997770351,sim,20+,QB
"[0.2,0.3)",2147,0.2546700046576619,0.2529110386585934,-0.0017589659990684958,sim,20+,QB
"[0.3,0.4)",2105,0.34424869358669835,0.334916864608076,-0.009331828978622336,sim,20+,QB
"[0.4,0.5)",724,0.4398121546961326,0.4198895027624309,-0.019922651933701685,sim,20+,QB
"[0.5,0.6)",226,0.5397566371681416,0.6061946902654868,0.06643805309734518,sim,20+,QB
"[0.6,0.7)",47,0.6416595744680851,0.48936170212765956,-0.15229787234042552,sim,20+,QB
"[0.7,0.8)",3,0.7498333333333334,0.3333333333333333,-0.41650000000000004,sim,20+,QB
"[0,0.1)",2025,0.07468894134518392,0.06864197530864198,-0.006046966036541937,norm,25+,QB
"[0.1,0.2)",3452,0.1406128772599957,0.14889918887601392,0.008286311616018227,norm,25+,QB
"[0.2,0.3)",600,0.23860690597468334,0.26166666666666666,0.023059760691983316,norm,25+,QB
"[0.3,0.4)",131,0.339896492475044,0.31297709923664124,-0.026919393238402756,norm,25+,QB
"[0.4,0.5)",19,0.4332350875114866,0.3157894736842105,-0.11744561382727609,norm,25+,QB
"[0.5,0.6)",2,0.5148523756867904,0,-0.5148523756867904,norm,25+,QB
"[0,0.1)",1621,0.06854873534855027,0.05860579888957434,-0.009942936458975933,sim,25+,QB
"[0.1,0.2)",3386,0.14641730655640875,0.1391021854695806,-0.007315121086828136,sim,25+,QB
"[0.2,0.3)",1004,0.23513097609561753,0.21812749003984064,-0.017003486055776895,sim,25+,QB
"[0.3,0.4)",188,0.3328218085106383,0.34574468085106386,0.01292287234042555,sim,25+,QB
"[0.4,0.5)",27,0.4310925925925926,0.2222222222222222,-0.20887037037037037,sim,25+,QB
"[0.5,0.6)",3,0.5225,0.3333333333333333,-0.18916666666666665,sim,25+,QB
