bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",153,0.0795326797385621,0.10457516339869281,0.025042483660130718,raw,20+,QB
"[0.1,0.2)",974,0.1570693018480493,0.1437371663244353,-0.01333213552361398,raw,20+,QB
"[0.2,0.3)",1666,0.25240096038415366,0.2575030012004802,0.005102040816326536,raw,20+,QB
"[0.3,0.4)",1464,0.3450993852459016,0.32581967213114754,-0.01927971311475407,raw,20+,QB
"[0.4,0.5)",704,0.44030823863636365,0.44176136363636365,0.0014531249999999996,raw,20+,QB
"[0.5,0.6)",276,0.5432608695652174,0.5507246376811594,0.007463768115942071,raw,20+,QB
"[0.6,0.7)",96,0.6375677083333333,0.6770833333333334,0.039515625000000054,raw,20+,QB
"[0.7,0.8)",14,0.7434642857142857,0.5714285714285714,-0.1720357142857143,raw,20+,QB
"[0,0.1)",182,0.0780216287984624,0.1043956043956044,0.026373975597141996,platt,20+,QB
"[0.1,0.2)",1004,0.15663639908349516,0.14840637450199204,-0.008230024581503126,platt,20+,QB
"[0.2,0.3)",1796,0.2514833518744405,0.2577951002227171,0.006311748348276636,platt,20+,QB
"[0.3,0.4)",1417,0.3452041317931015,0.35356386732533523,0.008359735532233736,platt,20+,QB
"[0.4,0.5)",589,0.44089048724142843,0.4380305602716469,-0.0028599269697815455,platt,20+,QB
"[0.5,0.6)",241,0.5423552603440167,0.5311203319502075,-0.01123492839380924,platt,20+,QB
"[0.6,0.7)",104,0.6386186218519292,0.6923076923076923,0.0536890704557631,platt,20+,QB
"[0.7,0.8)",14,0.7523696091020762,0.5714285714285714,-0.18094103767350478,platt,20+,QB
"[0,0.1)",288,0.059459577332209905,0.11458333333333333,0.055123756001123424,iso,20+,QB
"[0.1,0.2)",1139,0.1526501159787665,0.16681299385425813,0.014162877875491642,iso,20+,QB
"[0.2,0.3)",1248,0.2621565417062713,0.26282051282051283,6.639711142415461e-4,iso,20+,QB
"[0.3,0.4)",1673,0.338207771005599,0.33472803347280333,-0.003479737532795679,iso,20+,QB
"[0.4,0.5)",612,0.4367261414077146,0.4477124183006536,0.010986276892939018,iso,20+,QB
"[0.5,0.6)",249,0.5186336128780329,0.4939759036144578,-0.02465770926357508,iso,20+,QB
"[0.6,0.7)",133,0.65770419028054,0.6691729323308271,0.01146874205028714,iso,20+,QB
"[0.7,0.8)",3,0.7104247104247104,0.3333333333333333,-0.37709137709137713,iso,20+,QB
"[0.9,1]",2,1,0,-1,iso,20+,QB
"[0,0.1)",241,0.07645913257926869,0.0912863070539419,0.014827174474673216,strat_platt,20+,QB
"[0.1,0.2)",1016,0.15593023248566537,0.1643700787401575,0.008439846254492123,strat_platt,20+,QB
"[0.2,0.3)",1647,0.25135288437302383,0.2550091074681239,0.003656223095100053,strat_platt,20+,QB
"[0.3,0.4)",1338,0.34558094495054037,0.3452914798206278,-2.8946512991256945e-4,strat_platt,20+,QB
"[0.4,0.5)",744,0.44053447492701897,0.4314516129032258,-0.009082862023793159,strat_platt,20+,QB
"[0.5,0.6)",282,0.5380536942015908,0.5354609929078015,-0.0025927012937893013,strat_platt,20+,QB
"[0.6,0.7)",66,0.639678847633362,0.7272727272727273,0.08759387963936527,strat_platt,20+,QB
"[0.7,0.8)",13,0.7535115525561827,0.5384615384615384,-0.2150500140946443,strat_platt,20+,QB
"[0,0.1)",313,0.062322876824076515,0.11501597444089456,0.05269309761681805,strat_iso,20+,QB
"[0.1,0.2)",1149,0.15295481995282548,0.16362053959965187,0.010665719646826388,strat_iso,20+,QB
"[0.2,0.3)",1188,0.26241136370894785,0.265993265993266,0.0035819022843181503,strat_iso,20+,QB
"[0.3,0.4)",1670,0.33951791480007787,0.33532934131736525,-0.004188573482712621,strat_iso,20+,QB
"[0.4,0.5)",662,0.43871615974076716,0.44410876132930516,0.005392601588537993,strat_iso,20+,QB
"[0.5,0.6)",190,0.5261006525308501,0.5105263157894737,-0.015574336741376427,strat_iso,20+,QB
"[0.6,0.7)",137,0.6500316673864663,0.5985401459854015,-0.05149152140106483,strat_iso,20+,QB
"[0.7,0.8)",13,0.7349957734573118,0.6923076923076923,-0.04268808114961953,strat_iso,20+,QB
