cell,bin,n,pred,emp,delta,method,threshold,position
exante_statue,"[0,0.1)",153,0.0795326797385621,0.10457516339869281,0.025042483660130718,raw,20+,QB
exante_statue,"[0.1,0.2)",943,0.15669247083775187,0.14316012725344646,-0.013532343584305412,raw,20+,QB
exante_statue,"[0.2,0.3)",1544,0.2518860103626943,0.24870466321243523,-0.003181347150259084,raw,20+,QB
exante_statue,"[0.3,0.4)",1204,0.3430793189368771,0.31727574750830567,-0.025803571428571426,raw,20+,QB
exante_statue,"[0.4,0.5)",480,0.43732916666666666,0.425,-0.012329166666666669,raw,20+,QB
exante_statue,"[0.5,0.6)",79,0.535132911392405,0.6455696202531646,0.11043670886075951,raw,20+,QB
exante_statue,"[0.6,0.7)",3,0.6296666666666667,0.6666666666666666,0.03699999999999992,raw,20+,QB
exante_mover,"[0.1,0.2)",31,0.16853225806451613,0.16129032258064516,-0.007241935483870976,raw,20+,QB
exante_mover,"[0.2,0.3)",121,0.25881818181818184,0.36363636363636365,0.10481818181818181,raw,20+,QB
exante_mover,"[0.3,0.4)",255,0.3546019607843137,0.36470588235294116,0.010103921568627439,raw,20+,QB
exante_mover,"[0.4,0.5)",209,0.44570095693779904,0.49282296650717705,0.04712200956937801,raw,20+,QB
exante_mover,"[0.5,0.6)",147,0.5445578231292517,0.5510204081632653,0.006462585034013535,raw,20+,QB
exante_mover,"[0.6,0.7)",45,0.6317333333333334,0.6444444444444445,0.012711111111111117,raw,20+,QB
exante_mover,"[0.7,0.8)",1,0.727,1,0.273,raw,20+,QB
exante_scrambler,"[0.2,0.3)",1,0.271,1,0.729,raw,20+,QB
exante_scrambler,"[0.3,0.4)",5,0.3469,0.4,0.053100000000000036,raw,20+,QB
exante_scrambler,"[0.4,0.5)",15,0.46049999999999996,0.26666666666666666,-0.1938333333333333,raw,20+,QB
exante_scrambler,"[0.5,0.6)",50,0.55229,0.4,-0.15228999999999993,raw,20+,QB
exante_scrambler,"[0.6,0.7)",48,0.64353125,0.7083333333333334,0.06480208333333337,raw,20+,QB
exante_scrambler,"[0.7,0.8)",13,0.7447307692307692,0.5384615384615384,-0.20626923076923076,raw,20+,QB
exante_statue,"[0,0.1)",182,0.0780216287984624,0.1043956043956044,0.026373975597141996,platt,20+,QB
exante_statue,"[0.1,0.2)",968,0.15625467928470274,0.14772727272727273,-0.008527406557430006,platt,20+,QB
exante_statue,"[0.2,0.3)",1662,0.25096605644896103,0.2496991576413959,-0.0012668988075651144,platt,20+,QB
exante_statue,"[0.3,0.4)",1146,0.3440413602716366,0.3472949389179756,0.0032535786463389615,platt,20+,QB
exante_statue,"[0.4,0.5)",375,0.43840887810715073,0.408,-0.03040887810715076,platt,20+,QB
exante_statue,"[0.5,0.6)",65,0.5331108083289139,0.6,0.06688919167108609,platt,20+,QB
exante_statue,"[0.6,0.7)",8,0.6161098670087543,0.875,0.25889013299124575,platt,20+,QB
exante_mover,"[0.1,0.2)",36,0.16690042033991315,0.16666666666666666,-2.3375367324648955e-4,platt,20+,QB
exante_mover,"[0.2,0.3)",133,0.25780927719254654,0.3533834586466165,0.09557418145406998,platt,20+,QB
exante_mover,"[0.3,0.4)",266,0.35027646512287985,0.37969924812030076,0.029422782997420904,platt,20+,QB
exante_mover,"[0.4,0.5)",199,0.4444934567321902,0.5025125628140703,0.0580191060818801,platt,20+,QB
exante_mover,"[0.5,0.6)",123,0.5437043952705906,0.5528455284552846,0.009141133184694006,platt,20+,QB
exante_mover,"[0.6,0.7)",51,0.6362490359645371,0.6470588235294118,0.010809787564874718,platt,20+,QB
exante_mover,"[0.7,0.8)",1,0.737524344198691,1,0.26247565580130905,platt,20+,QB
exante_scrambler,"[0.2,0.3)",1,0.2698802817131798,1,0.7301197182868202,platt,20+,QB
exante_scrambler,"[0.3,0.4)",5,0.34186323136863705,0.4,0.05813676863136297,platt,20+,QB
exante_scrambler,"[0.4,0.5)",15,0.4551313203542647,0.3333333333333333,-0.12179798702093136,platt,20+,QB
exante_scrambler,"[0.5,0.6)",53,0.5505617845895471,0.39622641509433965,-0.15433536949520743,platt,20+,QB
exante_scrambler,"[0.6,0.7)",45,0.6453057089408715,0.7111111111111111,0.06580540217023967,platt,20+,QB
exante_scrambler,"[0.7,0.8)",13,0.7535115525561827,0.5384615384615384,-0.2150500140946443,platt,20+,QB
exante_statue,"[0,0.1)",285,0.05916879714453292,0.11578947368421053,0.0566206765396776,iso,20+,QB
exante_statue,"[0.1,0.2)",1096,0.15221716940626565,0.1624087591240876,0.010191589717821942,iso,20+,QB
exante_statue,"[0.2,0.3)",1142,0.2614598362198345,0.2539404553415061,-0.007519380878328374,iso,20+,QB
exante_statue,"[0.3,0.4)",1396,0.3360766382393202,0.32593123209169056,-0.010145406147629654,iso,20+,QB
exante_statue,"[0.4,0.5)",405,0.4370155132175039,0.4271604938271605,-0.009855019390343445,iso,20+,QB
exante_statue,"[0.5,0.6)",73,0.5159301292477527,0.5068493150684932,-0.009080814179259544,iso,20+,QB
exante_statue,"[0.6,0.7)",9,0.6557831442323155,0.8888888888888888,0.2331057446565733,iso,20+,QB
exante_mover,"[0,0.1)",3,0.08708369516152212,0,-0.08708369516152212,iso,20+,QB
exante_mover,"[0.1,0.2)",43,0.16368521931506652,0.27906976744186046,0.11538454812679394,iso,20+,QB
exante_mover,"[0.2,0.3)",106,0.26966255741863754,0.3584905660377358,0.08882800861909829,iso,20+,QB
exante_mover,"[0.3,0.4)",271,0.34926519175367887,0.3763837638376384,0.027118572083959513,iso,20+,QB
exante_mover,"[0.4,0.5)",201,0.4365695157767153,0.4975124378109453,0.06094292203422996,iso,20+,QB
exante_mover,"[0.5,0.6)",125,0.5186115879937606,0.528,0.00938841200623941,iso,20+,QB
exante_mover,"[0.6,0.7)",57,0.6575640871556855,0.6666666666666666,0.009102579510981146,iso,20+,QB
exante_mover,"[0.7,0.8)",2,0.7084942084942085,0,-0.7084942084942085,iso,20+,QB
exante_mover,"[0.9,1]",1,1,0,-1,iso,20+,QB
exante_scrambler,"[0.3,0.4)",6,0.3346244908381934,0.5,0.1653755091618066,iso,20+,QB
exante_scrambler,"[0.4,0.5)",6,0.42244050288541246,0.16666666666666666,-0.25577383621874583,iso,20+,QB
exante_scrambler,"[0.5,0.6)",51,0.5225572876926304,0.39215686274509803,-0.1304004249475324,iso,20+,QB
exante_scrambler,"[0.6,0.7)",67,0.6580814334529388,0.6417910447761194,-0.016290388676819423,iso,20+,QB
exante_scrambler,"[0.7,0.8)",1,0.7142857142857143,1,0.2857142857142857,iso,20+,QB
exante_scrambler,"[0.9,1]",1,1,0,-1,iso,20+,QB
exante_statue,"[0,0.1)",241,0.07645913257926869,0.0912863070539419,0.014827174474673216,strat_platt,20+,QB
exante_statue,"[0.1,0.2)",1002,0.15557015911441074,0.16367265469061876,0.008102495576208013,strat_platt,20+,QB
exante_statue,"[0.2,0.3)",1562,0.25076573485669934,0.2496798975672215,-0.0010858372894778368,strat_platt,20+,QB
exante_statue,"[0.3,0.4)",1059,0.3435360837244146,0.3342776203966006,-0.009258463327813993,strat_platt,20+,QB
exante_statue,"[0.4,0.5)",433,0.43734459373793155,0.418013856812933,-0.019330736924998537,strat_platt,20+,QB
exante_statue,"[0.5,0.6)",94,0.5322595391319931,0.5319148936170213,-3.446455149718197e-4,strat_platt,20+,QB
exante_statue,"[0.6,0.7)",15,0.6245121296479368,0.8666666666666667,0.2421545370187299,strat_platt,20+,QB
exante_mover,"[0.1,0.2)",14,0.18170119805688767,0.21428571428571427,0.032584516228826604,strat_platt,20+,QB
exante_mover,"[0.2,0.3)",84,0.2620505051725326,0.34523809523809523,0.08318759006556264,strat_platt,20+,QB
exante_mover,"[0.3,0.4)",274,0.3535521004482656,0.38686131386861317,0.03330921342034754,strat_platt,20+,QB
exante_mover,"[0.4,0.5)",296,0.4444610488238641,0.4560810810810811,0.011620032257216972,strat_platt,20+,QB
exante_mover,"[0.5,0.6)",135,0.537177559282928,0.5925925925925926,0.055415033309664574,strat_platt,20+,QB
exante_mover,"[0.6,0.7)",6,0.6353941827906039,0.5,-0.1353941827906039,strat_platt,20+,QB
exante_scrambler,"[0.2,0.3)",1,0.2698802817131798,1,0.7301197182868202,strat_platt,20+,QB
exante_scrambler,"[0.3,0.4)",5,0.34186323136863705,0.4,0.05813676863136297,strat_platt,20+,QB
exante_scrambler,"[0.4,0.5)",15,0.4551313203542647,0.3333333333333333,-0.12179798702093136,strat_platt,20+,QB
exante_scrambler,"[0.5,0.6)",53,0.5505617845895471,0.39622641509433965,-0.15433536949520743,strat_platt,20+,QB
exante_scrambler,"[0.6,0.7)",45,0.6453057089408715,0.7111111111111111,0.06580540217023967,strat_platt,20+,QB
exante_scrambler,"[0.7,0.8)",13,0.7535115525561827,0.5384615384615384,-0.2150500140946443,strat_platt,20+,QB
exante_statue,"[0,0.1)",312,0.06252262963441009,0.11538461538461539,0.0528619857502053,strat_iso,20+,QB
exante_statue,"[0.1,0.2)",1112,0.15266884253443097,0.1618705035971223,0.009201661062691324,strat_iso,20+,QB
exante_statue,"[0.2,0.3)",1145,0.26211988056755164,0.26026200873362443,-0.001857871833927216,strat_iso,20+,QB
exante_statue,"[0.3,0.4)",1325,0.3359832084803002,0.32754716981132076,-0.008436038668979462,strat_iso,20+,QB
exante_statue,"[0.4,0.5)",437,0.4337637758411642,0.41418764302059496,-0.019576132820569248,strat_iso,20+,QB
exante_statue,"[0.5,0.6)",28,0.5428985742148433,0.6071428571428571,0.06424428292801376,strat_iso,20+,QB
exante_statue,"[0.6,0.7)",21,0.641659504166258,0.47619047619047616,-0.1654690279757819,strat_iso,20+,QB
exante_statue,"[0.7,0.8)",9,0.7362637362637361,0.5555555555555556,-0.1807081807081805,strat_iso,20+,QB
exante_statue,"[0.8,0.9)",12,0.8581349206349207,0.9166666666666666,0.058531746031745935,strat_iso,20+,QB
exante_statue,"[0.9,1]",5,0.9651515151515151,0.4,-0.5651515151515151,strat_iso,20+,QB
exante_mover,"[0,0.1)",1,0,0,0,strat_iso,20+,QB
exante_mover,"[0.1,0.2)",37,0.16154960074349314,0.21621621621621623,0.054666615472723085,strat_iso,20+,QB
exante_mover,"[0.2,0.3)",43,0.2701729496833362,0.4186046511627907,0.1484317014794545,strat_iso,20+,QB
exante_mover,"[0.3,0.4)",339,0.3534201166215431,0.36283185840707965,0.009411741785536554,strat_iso,20+,QB
exante_mover,"[0.4,0.5)",219,0.4490442223218568,0.5114155251141552,0.06237130279229841,strat_iso,20+,QB
exante_mover,"[0.5,0.6)",111,0.523491371446142,0.5405405405405406,0.017049169094398575,strat_iso,20+,QB
exante_mover,"[0.6,0.7)",49,0.6426129143491341,0.5918367346938775,-0.050776179655256604,strat_iso,20+,QB
exante_mover,"[0.7,0.8)",3,0.7380952380952381,1,0.26190476190476186,strat_iso,20+,QB
exante_mover,"[0.8,0.9)",5,0.8216025641025643,0.6,-0.2216025641025643,strat_iso,20+,QB
exante_mover,"[0.9,1]",2,1,0,-1,strat_iso,20+,QB
exante_scrambler,"[0.3,0.4)",6,0.3346244908381934,0.5,0.1653755091618066,strat_iso,20+,QB
exante_scrambler,"[0.4,0.5)",6,0.42244050288541246,0.16666666666666666,-0.25577383621874583,strat_iso,20+,QB
exante_scrambler,"[0.5,0.6)",51,0.5225572876926304,0.39215686274509803,-0.1304004249475324,strat_iso,20+,QB
exante_scrambler,"[0.6,0.7)",67,0.6580814334529388,0.6417910447761194,-0.016290388676819423,strat_iso,20+,QB
exante_scrambler,"[0.7,0.8)",1,0.7142857142857143,1,0.2857142857142857,strat_iso,20+,QB
exante_scrambler,"[0.9,1]",1,1,0,-1,strat_iso,20+,QB
exante_statue,"[0,0.1)",184,0.07835905082566476,0.10869565217391304,0.030336601348248282,platt_vol,20+,QB
exante_statue,"[0.1,0.2)",976,0.15607306733225088,0.15061475409836064,-0.005458313233890233,platt_vol,20+,QB
