stratum,n,pred,emp,delta_pp,method,threshold,position
exante_statue,4406,0.2759853608715388,0.2664548343168407,-0.9530526554698104,raw,20+,QB
exante_mover,809,0.4070723114956737,0.4400494437577256,3.29771322620519,raw,20+,QB
exante_scrambler,132,0.5840795454545454,0.5151515151515151,-6.89280303030303,raw,20+,QB
exante_statue,4406,0.2660007887850356,0.2664548343168407,0.0454045531805114,iso,20+,QB
exante_mover,809,0.39927055144976187,0.4400494437577256,4.077889230796372,iso,20+,QB
exante_scrambler,132,0.5833223741689273,0.5151515151515151,-6.8170859017412155,iso,20+,QB
exante_statue,4406,0.2689525319783987,0.2664548343168407,-0.2497697661557996,platt_vol_vegas,20+,QB
exante_mover,809,0.39935098704755906,0.4400494437577256,4.069845671016653,platt_vol_vegas,20+,QB
exante_scrambler,132,0.5946507521778993,0.5151515151515151,-7.949923702638417,platt_vol_vegas,20+,QB
exante_statue,4406,0.1278374943259192,0.11983658647299138,-0.8000907852927828,raw,25+,QB
exante_mover,809,0.2124301606922126,0.2200247218788628,0.7594561186650195,raw,25+,QB
exante_scrambler,132,0.3505871212121212,0.2803030303030303,-7.0284090909090935,raw,25+,QB
exante_statue,4406,0.11938620598241209,0.11983658647299138,0.045038049057928575,iso,25+,QB
exante_mover,809,0.20762714123601705,0.2200247218788628,1.239758064284574,iso,25+,QB
exante_scrambler,132,0.3467081980135686,0.2803030303030303,-6.640516771053834,iso,25+,QB
exante_statue,4406,0.12065048197839233,0.11983658647299138,-0.08138955054009522,platt,25+,QB
exante_mover,809,0.20409255475092702,0.2200247218788628,1.593216712793577,platt,25+,QB
exante_scrambler,132,0.3491264031089324,0.2803030303030303,-6.882337280590212,platt,25+,QB
