position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
QB,20+,iso,2.6134,1.0506,0.19529
QB,20+,platt,2.3333,0.9118,0.19426
QB,20+,platt_vegas,2.2752,1.1637,0.19358
QB,20+,platt_vol,2.4675,0.7985,0.19444
QB,20+,platt_vol_vegas,1.8835,1.3645,0.19287
QB,20+,raw,2.5686,1.1750,0.19408
QB,20+,strat_iso,2.7467,1.1290,0.19544
QB,20+,strat_platt,2.2761,0.6475,0.19428
QB,25+,iso,1.3542,0.7142,0.11388
QB,25+,platt,1.3039,0.3430,0.11328
QB,25+,platt_vegas,1.3373,0.4444,0.11279
QB,25+,platt_vol,1.6646,0.8752,0.11341
QB,25+,platt_vol_vegas,1.6330,0.6328,0.11288
QB,25+,raw,1.5480,0.7179,0.11320
QB,25+,strat_iso,1.5775,0.7907,0.11441
QB,25+,strat_platt,1.2366,0.7730,0.11348
