player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share,baseline_carry_share,baseline_target_share,baseline_snap_share,baseline_team_total_plays
00-0032764,BAL,PIT,2025_14_PIT_BAL,0.11418067799090136,0.7627128608680768,0.4196903001612792,0.14295802373583305,0.14295802373583305,FALSE,r2_3,Derrick Henry,-0.02877734574493168,61.963450127321224,0.5424367143538469,12,FALSE,-0.18473785110382873,0.2613018429430858,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.818639798488665,0.2716049382716049,0.5741176470588235,66.05882352941177
00-0033293,MIN,WAS,2025_14_WAS_MIN,-0.16802114165470586,0.5521940541848316,0.8395452339663563,-0.032014122133263,-0.032014122133263,FALSE,r4_5,Aaron Jones,-0.13600701952144287,55.778395331161605,0.5582508034466893,12,FALSE,-0.0290043506278787,0.6979900063393711,0,2025,14,NA,NA,NA,Limited Participation in Practice,0,1,0,0,0,0,0,0.6710526315789473,0.7209302325581395,0.6323529411764706,66.41176470588235
00-0033526,CIN,BUF,2025_14_CIN_BUF,0.02006347751921658,0.3519937394978313,0.17900144351699085,0.25584101782139845,0.25584101782139845,FALSE,r4_5,Samaje Perine,-0.23577754030218187,72.00321547201546,0.31798770098806667,12,FALSE,-0.02983715780561118,-0.20516134137943,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.055710306406685235,0.3723404255319149,0.25823529411764706,68.17647058823529
00-0033923,KC,HOU,2025_14_HOU_KC,0.09385951896349272,0.7744976064546829,0.5273076376448409,0.02226551939035413,0.02226551939035413,FALSE,r2_3,Kareem Hunt,0.07159399957313861,74.25554239181909,0.6653558506254835,12,FALSE,-0.26516959214212893,-0.10196780964771632,1.0995298490638865,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.704225352112676,0.43243243243243246,0.5169230769230769,67.23529411764706
00-0034844,PHI,LAC,2025_14_PHI_LAC,-0.1359436109556535,0.8482542336582966,0.8663523098986992,0.12649916024394653,0.12649916024394653,FALSE,r1,Saquon Barkley,-0.2624427711996,64.96153398912334,0.7977596013353982,12,FALSE,-0.23351735355284217,0.07718390694970069,-0.21680142276846787,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.8,0.6935483870967742,0.734375,68.58823529411765
00-0035261,TEN,CLE,2025_14_TEN_CLE,-0.3495563994987103,0.6892119260723918,0.3776029229112493,-0.1277225276941634,-0.1277225276941634,FALSE,r4_5,Tony Pollard,-0.22183387180454692,64.30204202696075,0.5037991779312112,12,FALSE,-0.18084362889815037,0.34154147449994315,0.2936466887369579,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.7565217391304347,0.6333333333333333,0.678125,66.3529411764706
00-0035537,BUF,CIN,2025_14_CIN_BUF,1.0285278173240815,0.06818379574728164,0.46232567244530887,0.3646942788207213,0.3646942788207213,FALSE,r6_udfa,Ty Johnson,0.6638335385033602,68.03319452426013,0.3097507335084878,12,FALSE,0.00241306154622832,0.4761254551124785,-0.17023048732457535,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.11263736263736264,0.3048780487804878,0.2876470588235294,64.76470588235294
00-0035685,DET,DAL,2025_14_DAL_DET,0.01847575418850694,0.3594893821130421,0.2709154211072877,0.03163606507982413,0.03163606507982413,FALSE,r2_3,David Montgomery,-0.01316031089131718,65.52850192372186,0.39927530541085743,12,FALSE,-0.08965406731959126,-0.14379207030253252,-0.16752820909057334,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.47692307692307695,0.4318181818181818,0.4185714285714286,67.70588235294117
00-0035700,GB,CHI,2025_14_CHI_GB,0.04560749721302759,0.6873189829394007,0.4855834348032446,-0.0489782974399718,-0.0489782974399718,FALSE,r1,Josh Jacobs,0.0945857946529994,63.071529085022945,0.5108369327632668,12,FALSE,0.02697937574747687,-0.2738042268852285,-0.21627131945004308,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.6763392857142857,0.5972222222222222,0.6341176470588236,65.58823529411765
00-0036223,IND,JAX,2025_14_IND_JAX,0.1247937444406635,0.9478683224274168,0.7574638666668914,-0.10311247729562212,-0.10311247729562212,FALSE,r2_3,Jonathan Taylor,0.22790622173628564,62.90992296686277,0.8841910172385027,12,FALSE,0.0519449397146202,-0.16718649191496796,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.9242424242424242,0.62,0.8028571428571428,65
00-0036275,CHI,GB,2025_14_CHI_GB,-0.10477530015718962,0.5269963330661264,0.7943124044903509,-0.1178643742892518,-0.1178643742892518,FALSE,r2_3,D'Andre Swift,0.01308907413206218,76.4447513486276,0.5287302593106283,12,FALSE,-0.17424400744115834,0.23657027600098657,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.7737003058103975,0.6625,0.668235294117647,68.41176470588235
