player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,wt_tgt_per_snap,baseline_snap_share,baseline_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030506,KC,MIA,2026_03_KC_MIA,played,0.7075254316028455,0.20056298381421536,0.21571827236752908,5.416707616707617,0.370759208894021,0.370759208894021,FALSE,r2_3,0.1719242902208202,0.16214427531436135,Travis Kelce,0.33676622270882456,74.56756756756756,66.17647058823529,0.7856756756756756,0.13432399987021837,0.8188235294117647,0.12084257206208426,2,TRUE,0.02810430819696245,0.5343413395707767,2026,3,10.5,28,NA,NA
00-0031610,CAR,CLE,2026_03_CAR_CLE,played,1.2879271322354224,0.06564722617354198,0.055232714133141105,6.5225225225225225,0.8076067147606053,0.8076067147606053,FALSE,udfa,0.1483050847457627,0.2260705289672544,Darren Waller,0.48032041747481713,68.91891891891892,63.11764705882353,0.39864864864864863,0.094206275240758,0.45,0.15086206896551724,2,TRUE,-0.14893884614509215,0.45827019919978584,2026,3,2.5,22.5,NA,Did Not Participate In Practice
00-0032392,ATL,GB,2026_03_ATL_GB,played,0.39316191636316944,0.11428571428571428,0.08176100628930817,3.25,0.6460689392003517,0.6460689392003517,FALSE,r2_3,0.061611374407582936,0.06664767872401026,Austin Hooper,-0.25290702283718225,65.86486486486487,65.88235294117646,0.33810810810810815,0.07207207207207207,0.5,0.05078125,2,TRUE,0.018912378195124643,0.38527872590673523,2026,3,-4.5,19,NA,NA
00-0033090,NE,JAX,2026_03_NE_JAX,played,-0.29521620728868386,0.14639639639639643,0.18214603928889644,8,0.43320685800876163,0.43320685800876163,FALSE,r2_3,0.15789473684210525,0.15394622723330442,Hunter Henry,-0.7284230652974455,63.72972972972973,64.3529411764706,0.841081081081081,0.07957957957957959,0.7941176470588235,0.1001150747986191,2,TRUE,-0.07061539514170595,0.23067895045452042,2026,3,-3,21.25,NA,NA
00-0033110,LA,DEN,2026_03_LA_DEN,played,-2.3662121596280485,0.07142857142857142,0.03529411764705882,4.5,0.26070124975832343,0.26070124975832343,FALSE,r4_5,0.11464968152866242,0.083206106870229,Tyler Higbee,-2.626913409386372,59.91891891891892,66.52941176470588,0.23243243243243245,0.07657657657657659,0.555,0.09836065573770492,2,TRUE,-0.14397535305252407,0.6143901849860899,2026,3,2.5,23.5,NA,NA
00-0033246,PHI,CHI,2026_03_PHI_CHI,played,-0.587534298421815,0.075,0.0273972602739726,2.6666666666666665,0.20922197593302516,0.20922197593302516,FALSE,udfa,0.048223350253807105,0.03275466754012447,Johnny Mundt,-0.7967562743548402,65.8918918918919,63.411764705882355,0.5113513513513513,0.03309431880860452,0.358125,0.04884318766066838,2,TRUE,0.06432988898276473,0.1767488516121487,2026,3,4.5,23,NA,NA
00-0033288,SF,ARI,2026_03_ARI_SF,played,0.26661915270190023,0.1658476658476659,0.26732773041497876,10.248648648648649,0.6713052627073013,0.6713052627073013,FALSE,r4_5,0.1954674220963173,0.18355945730247406,George Kittle,-0.40468611000540106,57.972972972972975,66.05882352941177,0.47081081081081083,0.1630630630630631,0.8118181818181818,0.12454873646209386,2,TRUE,0.24625591114968523,0.748327905264608,2026,3,8.5,28,NA,NA
00-0033576,SEA,WAS,2026_03_SEA_WAS,played,-1.63183920487063,0.037037037037037035,-0.04405286343612335,-10,NA,0.1800353329640066,TRUE,r4_5,0.08669165885660732,0.0679909093696707,Eric Saubert,-1.8118745378346366,64.1891891891892,63,0.22162162162162163,0.031796502384737683,0.39545454545454545,0.028985507246376812,2,TRUE,0.2808720400874686,1.1601327366360539,2026,3,7.5,24,NA,NA
00-0033858,GB,ATL,2026_03_ATL_GB,played,1.320993370085489,0.06521739130434782,0.0511727078891258,8,0.009849226599353306,0.009849226599353306,FALSE,r2_3,0.09433962264150944,0.07134146341463414,Jonnu Smith,1.3111441434861357,66.05405405405406,62.294117647058826,0.3348648648648649,0.04307432432432433,0.5270588235294118,0.10261194029850747,2,TRUE,0.16578853359400703,-0.2155800075767186,2026,3,4.5,23.5,NA,NA
00-0033881,DEN,LA,2026_03_LA_DEN,played,0.9189447929928507,0.08922733217088057,0.12418226143080134,10.843243243243244,0.04534130431633051,0.04534130431633051,FALSE,r1,0.1254071661237785,0.07845461009717943,Evan Engram,0.8736034886765202,57.32432432432433,67.76470588235294,0.5705405405405406,0.08868243243243244,0.42125,0.16812227074235808,2,TRUE,0.03372179791271752,0.12613719814891333,2026,3,-2.5,21,NA,NA
00-0033885,LAC,BUF,2026_03_LAC_BUF,played,-0.8832859510728912,0.13063063063063066,0.09736015683971073,7.077477477477477,-0.0753077571559954,-0.0753077571559954,FALSE,r1,0.10810810810810811,0.0921004732435384,David Njoku,-0.8079781939168958,65.4864864864865,68.41176470588235,0.3391891891891893,0.223996723996724,0.6391666666666667,0.0933852140077821,2,TRUE,-0.15518075002285975,0.123383397079179,2026,3,-7,21.75,NA,NA
