position,player_name,posteam,draft_tier,dc_pos_rank,dc_pos_slot,is_cold_start,flag_reason,baseline_target_share,proposed_share,model_rank,ecr_rank,rank_gap,p_start_recal
WR,Chris Blair,ATL,udfa,5,2,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,162,194,32,0.11941345308678045
WR,Tay Martin,DET,udfa,4,1,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,80,181,101,0.16265955046474764
WR,Nikko Remigio,KC,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,173,189,16,0.11144221255312044
WR,Jared Wayne,HOU,udfa,5,2,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,NA,NA,NA,0.12640930688425564
WR,Ryan Miller,MIA,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,NA,NA,NA,0.1214103213198719
WR,Kameron Johnson,TB,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,164,205,41,0.1189144844153827
WR,Myles Price,MIN,udfa,5,2,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,106,235,129,0.14548840630027648
WR,Ke'Shawn Williams,CIN,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,135,201,66,0.1329220281220383
WR,Efton Chism III,NE,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,167,223,56,0.11542453201079418
WR,Montorie Foster Jr,SEA,udfa,5,2,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,NA,NA,NA,0.1249086040621502
WR,Dohnte Meyers,CIN,udfa,5,2,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,99,216,117,0.15052948428210378
WR,Camden Brown,DAL,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,NA,NA,NA,0.13743974967705166
WR,J. Michael Sturdivant,GB,udfa,6,8,TRUE,cold_start_backup,0.07819905213270142,0.07766990291262135,NA,NA,NA,0.12190978473860964
WR,Ben Skowronek,PIT,r6_udfa,5,2,TRUE,cold_start_backup,0.09200350211586168,0.07766990291262135,128,190,62,0.13593305188411262
WR,Dareke Young,LV,r6_udfa,5,2,TRUE,cold_start_backup,0.09200350211586168,0.07766990291262135,144,229,85,0.1284115619415986
