position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,team_spread,implied_total,pred_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,star_bucket,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,med_vol,med_tot,pred_pass_eff,lo_50_pass_eff,hi_50_pass_eff,lo_80_pass_eff,hi_80_pass_eff,lo_90_pass_eff,hi_90_pass_eff,pred_db,lo_50_db,hi_50_db,lo_80_db,hi_80_db,lo_90_db,hi_90_db,pred_rush,lo_50_rush,hi_50_rush,lo_80_rush,hi_80_rush,lo_90_rush,hi_90_rush,pred_carry,lo_50_carry,hi_50_carry,lo_80_carry,hi_80_carry,lo_90_carry,hi_90_carry
RB,00-0032764,Derrick Henry,BAL,PIT,2025_14_PIT_BAL,2025,14,NA,NA,6.5,25.5,-0.030334881873967,18.8648242135544,15.4335785551296,22.2960698719791,12.5960379112976,25.1336105158111,10.2928008375313,27.4368475895774,-0.572262214091324,-3.47998870115059,2.33546427296794,-6.28946706334806,5.14494263516541,-8.07137108968719,6.92684666150454,0.4815,0.258,b1,0.583492179274759,0.345363831953518,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033293,Aaron Jones,MIN,WAS,2025_14_WAS_MIN,2025,14,NA,Limited Participation in Practice,1.5,21.5,-0.0464367290160811,16.6260632935462,13.1948176351214,20.057308951971,10.3572769912894,22.894849595803,8.05403991752316,25.1980866695693,-0.772059995766618,-3.48377970000119,1.93965970846795,-6.10387408208889,4.55975409055565,-7.76566183302884,6.2215418414956,0.3705,0.1755,b2,0.326028086289112,0.141713698814477,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033526,Samaje Perine,CIN,BUF,2025_14_CIN_BUF,2025,14,NA,NA,-4.5,23.5,-0.0426330149280379,10.6767418825845,7.24549622415975,14.1079875410093,4.40795558032776,16.9455281848413,2.10471850656147,19.2487652586076,-0.455181696063033,-2.57834005523488,1.66797666310881,-4.62975977994381,3.71939638781775,-5.93086717281628,5.02050378069021,0.1685,0.045,b3,0.137646463296063,0.0464241510019439,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0033923,Kareem Hunt,KC,HOU,2025_14_HOU_KC,2025,14,NA,NA,3.5,23,-0.0809466399584652,19.2446605544768,15.813414896052,22.6759062129016,12.9758742522201,25.5134468567336,10.6726371784538,27.8166839304999,-1.55779060902611,-4.49771598274073,1.38213476468851,-7.33830527498877,4.22272405693655,-9.13994132427785,6.02436010622562,0.4575,0.2125,b3,0.332476286915147,0.16089166795103,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0034844,Saquon Barkley,PHI,LAC,2025_14_PHI_LAC,2025,14,NA,NA,2.5,21.5,-0.0696735031848883,22.146112367365,18.7148667089402,25.5773580257898,15.8773260651082,28.4148986696218,13.5740889913419,30.718135743388,-1.5429972305605,-4.72007731138718,1.63408285026618,-7.78980817561246,4.70381371449146,-9.7367766450411,6.6507821839201,0.558,0.299,b1,0.641574077856588,0.382491965862332,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035261,Tony Pollard,TEN,CLE,2025_14_TEN_CLE,2025,14,NA,Full Participation in Practice,-3.5,15,-0.139142074550666,17.2679431146532,13.8366974562285,20.699188773078,10.9991568123965,23.53672941691,8.6959197386302,25.8399664906763,-2.40269742819574,-5.17176212888736,0.366367272495889,-7.84726389796396,3.04186904157249,-9.54419363372676,4.73879877733529,0.293,0.121,b3,0.220286063308123,0.101533132370939,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035537,Ty Johnson,BUF,CIN,2025_14_CIN_BUF,2025,14,NA,NA,4.5,28,0.0898381649837559,8.91115679556616,5.47991113714139,12.3424024539909,2.6423704933094,15.1799430978229,0.339133419543113,17.4831801715892,0.80056197439619,-1.12081771085959,2.72194165965197,-2.9772765887203,4.57840053751267,-4.15473059360026,5.75585454239264,0.1565,0.0335,b3,0.129501436239725,0.0368407300470395,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035685,David Montgomery,DET,DAL,2025_14_DAL_DET,2025,14,NA,NA,3.5,28.5,-0.0219058265526907,12.0358147692434,8.60456911081858,15.4670604276681,5.76702846698659,18.3046010715001,3.4637913932203,20.6078381452664,-0.263654470755358,-2.53210662754688,2.00479768603617,-4.72391086998493,4.19660192847422,-6.11405676222549,5.58674782071477,0.2075,0.0735,b2,0.202193473460164,0.0706724126051772,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0035700,Josh Jacobs,GB,CHI,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,4.5,24.5,-0.0544741119961776,17.5159655879188,14.0847199294941,20.9472112463436,11.2471792856621,23.7847518901756,8.94394221189579,26.0879889639419,-0.954166671157484,-3.74513322768565,1.83679988537068,-6.44179681866627,4.5334634763513,-8.1521483825388,6.24381504022384,0.4055,0.179,b1,0.522700704033771,0.267741905578116,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RB,00-0036223,Jonathan Taylor,IND,JAX,2025_14_IND_JAX,2025,14,NA,NA,1.5,24.5,-0.0623411474241468,25.2572448297994,21.8259991713746,28.6884904882242,18.9884585275426,31.5260311320562,16.6852214537764,33.8292682058225,-1.57456562346229,-4.99094567196564,1.84181442504105,-8.29189088329483,5.14275963637024,-10.3855064248616,7.23637517793706,0.7055,0.4295,b1,0.749028184662439,0.491828998464949,star_platt,star_platt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
