position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,p_boom_recal,board
RB,1,00-0034844,Saquon Barkley,Saquon Barkley,PHI,LV,47,67,24,0.4709873954637528,flex
RB,2,00-0036223,Jonathan Taylor,Jonathan Taylor,IND,SEA,40,61,24,0.40301260570521047,flex
RB,3,00-0040122,Ashton Jeanty,Ashton Jeanty,LV,PHI,38,57,23,0.37981532308117977,flex
WR,4,00-0036900,Ja'Marr Chase,Ja'Marr Chase,CIN,BAL,36,55,11,0.3553427663058417,flex
RB,5,00-0038120,Breece Hall,Breece Hall,NYJ,JAX,33,54,22,0.3331623105215274,flex
WR,6,00-0038117,Wan'Dale Robinson,Wan'Dale Robinson,NYG,WAS,32,52,10,0.3188072645463367,flex
RB,7,00-0036997,Javonte Williams,Javonte Williams,DAL,MIN,32,50,22,0.31798726524744536,flex
WR,8,00-0039075,Puka Nacua,Puka Nacua,LA,DET,30,48,9,0.29800777878287105,flex
WR,9,00-0038543,Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,IND,30,50,9,0.2979962564711327,flex
RB,10,00-0033280,Christian McCaffrey,Christian McCaffrey,SF,TEN,29,49,20,0.2935236204387379,flex
RB,11,00-0037248,James Cook,James Cook,BUF,NE,29,49,20,0.28776979892691756,flex
RB,12,00-0038542,Bijan Robinson,Bijan Robinson,ATL,TB,27,47,19,0.2688354772083179,flex
RB,13,00-0033923,Kareem Hunt,Kareem Hunt,KC,LAC,27,47,20,0.2672891128516649,flex
WR,14,00-0036554,Nico Collins,Nico Collins,HOU,ARI,27,48,8,0.2671319342139758,flex
RB,15,00-0040784,Quinshon Judkins,Quinshon Judkins,CLE,CHI,27,44,19,0.2670826693112235,flex
WR,16,00-0039064,Zay Flowers,Zay Flowers,BAL,CIN,26,45,9,0.2641227119236085,flex
RB,17,00-0039040,De'Von Achane,De'Von Achane,MIA,PIT,26,46,18,0.2619386122049941,flex
RB,18,00-0040202,Devin Neal,Devin Neal,NO,CAR,25,44,19,0.25261616355069116,flex
WR,19,00-0036613,Jaylen Waddle,Jaylen Waddle,MIA,PIT,25,44,8,0.25254809541656903,flex
RB,20,00-0040583,Woody Marks,Woody Marks,HOU,ARI,25,45,20,0.25252781320670453,flex
RB,21,00-0036973,Travis Etienne,Travis Etienne,JAX,NYJ,25,43,19,0.25160310861380275,flex
RB,22,00-0035700,Josh Jacobs,Josh Jacobs (Q),GB,DEN,25,45,19,0.2491774012798633,flex
RB,23,00-0040734,TreVeyon Henderson,TreVeyon Henderson,NE,BUF,25,45,18,0.2471550027306642,flex
RB,24,00-0032764,Derrick Henry,Derrick Henry,BAL,CIN,24,42,18,0.24468270782050963,flex
RB,25,00-0039139,Jahmyr Gibbs,Jahmyr Gibbs,DET,LA,24,45,19,0.24360299109723835,flex
RB,26,00-0040666,Omarion Hampton,Omarion Hampton,LAC,KC,23,42,18,0.23334414754619945,flex
WR,27,00-0036259,Jauan Jennings,Jauan Jennings,SF,TEN,23,41,8,0.22868934052069395,flex
RB,28,00-0038597,Chase Brown,Chase Brown,CIN,BAL,22,43,19,0.22446424495364195,flex
RB,29,00-0036139,Rico Dowdle,Rico Dowdle,CAR,NO,22,42,18,0.2182013895906892,flex
WR,30,00-0037240,Jameson Williams,Jameson Williams,DET,LA,22,39,8,0.2169045531322288,flex
RB,31,00-0039361,Bucky Irving,Bucky Irving,TB,ATL,21,38,17,0.21298617004935497,flex
RB,32,00-0039391,Kimani Vidal,Kimani Vidal,LAC,KC,21,40,18,0.21103888507750596,flex
WR,33,00-0040129,Emeka Egbuka,Emeka Egbuka,TB,ATL,21,40,8,0.2071107631335596,flex
WR,34,00-0037247,George Pickens,George Pickens,DAL,MIN,20,38,8,0.2045242629857991,flex
RB,35,00-0035261,Tony Pollard,Tony Pollard,TEN,SF,19,36,18,0.19194703760220536,flex
WR,36,00-0034960,Jakobi Meyers,Jakobi Meyers,JAX,NYJ,19,35,8,0.1904877352164672,flex
WR,37,00-0036358,CeeDee Lamb,CeeDee Lamb,DAL,MIN,19,35,8,0.1889206385864773,flex
RB,38,00-0036275,D'Andre Swift,D'Andre Swift,CHI,CLE,18,35,16,0.18404594623366155,flex
WR,39,00-0035640,DK Metcalf,DK Metcalf,PIT,MIA,18,34,8,0.1805363288381071,flex
WR,40,00-0035659,Terry McLaurin,Terry McLaurin,WAS,NYG,17,33,7,0.17263410715290342,flex
WR,41,00-0038124,Christian Watson,Christian Watson,GB,DEN,17,33,7,0.1678724505052733,flex
WR,42,00-0038559,Michael Wilson,Michael Wilson,ARI,HOU,16,33,8,0.15990099256451368,flex
WR,43,00-0034348,Courtland Sutton,Courtland Sutton,DEN,GB,16,31,7,0.15830123129712795,flex
WR,44,00-0039915,Ladd McConkey,Ladd McConkey,LAC,KC,16,31,7,0.15616530682809307,flex
WR,45,00-0036963,Amon-Ra St. Brown,Amon-Ra St. Brown,DET,LA,15,31,7,0.15241930344679253,flex
WR,46,00-0037239,Chris Olave,Chris Olave,NO,CAR,15,30,8,0.15027399623147836,flex
WR,47,00-0036252,Michael Pittman,Michael Pittman,IND,SEA,15,30,8,0.1470494439668383,flex
RB,48,00-0037840,Kyren Williams,Kyren Williams,LA,DET,15,29,16,0.1454311513369552,flex
WR,49,00-0036322,Justin Jefferson,Justin Jefferson,MIN,DAL,14,30,7,0.1438168217430662,flex
RB,50,00-0040236,Kyle Monangai,Kyle Monangai,CHI,CLE,14,28,15,0.1375790710686097,flex
RB,51,00-0039384,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,WAS,14,29,14,0.13655968702400667,flex
RB,52,00-0040730,RJ Harvey,RJ Harvey,DEN,GB,14,30,15,0.1356736258486101,flex
WR,53,00-0031381,Davante Adams,Davante Adams (Q),LA,DET,14,30,7,0.13515558801159372,flex
RB,54,00-0033293,Aaron Jones,Aaron Jones,MIN,DAL,13,28,15,0.13363211716916798,flex
