position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
RB,1,00-0036223,Jonathan Taylor,Jonathan Taylor,IND,HOU,49,74,26,20,0.4926300045635692,flex
RB,2,00-0032764,Derrick Henry,Derrick Henry,BAL,DAL,46,70,20,20,0.4630996630860508,flex
RB,3,00-0039139,Jahmyr Gibbs,Jahmyr Gibbs,DET,NYJ,45,70,21,20,0.4453855926968735,flex
WR,4,00-0038543,Jaxon Smith-Njigba,Jaxon Smith-Njigba,SEA,WAS,42,61,9,20,0.41524691358024696,flex
WR,5,00-0039075,Puka Nacua,Puka Nacua,LA,DEN,42,61,9,20,0.41524691358024696,flex
RB,6,00-0037248,James Cook,James Cook,BUF,LAC,40,66,21,20,0.40261806080308904,flex
RB,7,00-0039040,De'Von Achane,De'Von Achane,MIA,KC,39,66,24,20,0.3947965394186693,flex
TE,8,00-0033288,George Kittle,George Kittle,SF,ARI,39,56,7,17,0.39265772470844007,flex
WR,9,00-0036963,Amon-Ra St. Brown,Amon-Ra St. Brown,DET,NYJ,38,58,10,20,0.37662337662337664,flex
TE,10,00-0037744,Trey McBride,Trey McBride,ARI,SF,35,59,8,17,0.3511389818860888,flex
RB,11,00-0040122,Ashton Jeanty,Ashton Jeanty,LV,NO,35,59,22,20,0.34536383195351783,flex
RB,12,00-0038597,Chase Brown,Chase Brown,CIN,PIT,34,60,21,20,0.34024373704172034,flex
RB,13,00-0037840,Kyren Williams,Kyren Williams,LA,DEN,34,58,17,20,0.33625208665069944,flex
TE,14,00-0038933,Dalton Kincaid,Dalton Kincaid,BUF,LAC,34,54,7,17,0.3358040950075521,flex
TE,15,00-0039065,Sam LaPorta,Sam LaPorta,DET,NYJ,32,47,7,17,0.3177655694353598,flex
WR,16,00-0040667,Matthew Golden,Matthew Golden,GB,ATL,31,48,8,20,0.30948979591836734,flex
TE,17,00-0034753,Mark Andrews,Mark Andrews,BAL,DAL,30,54,6,17,0.30194281143574714,flex
WR,18,00-0037239,Chris Olave,Chris Olave,NO,LV,29,54,10,20,0.2916666666666667,flex
WR,19,00-0036322,Justin Jefferson,Justin Jefferson,MIN,TB,29,48,9,20,0.2916666666666667,flex
