content_tier,content_rank,position,player_id,player_name,player_disp,posteam,defteam,model_rank,ecr_rank,rank_gap,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol,content_score
leverage,1,WR,00-0039337,Malik Nabers,Malik Nabers,NYG,DAL,13,26,13,44,26,9,NA,0.4351531696300296,0.2624254473161034,9.063980210675682,0.4124254473161034
leverage,2,WR,00-0039919,Rome Odunze,Rome Odunze,CHI,CAR,16,28,12,38,22,8,NA,0.3829877278829394,0.22264875239923224,7.802083667314162,0.3586487523992322
leverage,3,WR,00-0039064,Zay Flowers,Zay Flowers,BAL,IND,4,15,11,53,33,10,NA,0.5349536123428937,0.33024691358024694,9.712944566237937,0.4422469135802469
leverage,4,RB,00-0037840,Kyren Williams,Kyren Williams,LA,SF,3,14,11,56,30,18,NA,0.5583447321675001,0.30132878536575847,17.69036092978774,0.41132878536575845
leverage,5,RB,00-0039361,Bucky Irving,Bucky Irving,TB,CIN,11,21,10,46,21,17,NA,0.4614309168989151,0.2136795748148495,17.048700110174686,0.32967957481484955
leverage,6,TE,00-0038933,Dalton Kincaid,Dalton Kincaid,BUF,HOU,6,14,8,34,15,6,NA,0.34336055179627883,0.15013476517328692,6.138665700373812,0.2381347651732869
leverage,7,RB,00-0040666,Omarion Hampton,Omarion Hampton,LAC,ARI,1,8,7,59,33,19,NA,0.586208070774326,0.3327307587585828,18.63117734132709,0.40273075875858283
leverage,8,TE,00-0039065,Sam LaPorta,Sam LaPorta,DET,NO,1,7,6,47,33,7,NA,0.472593299997528,0.3347447755613582,6.62048420742624,0.4087447755613582
leverage,9,WR,00-0037740,Garrett Wilson,Garrett Wilson,NYJ,TEN,10,16,6,46,29,10,NA,0.4573647784864006,0.2911392405063291,9.823849450315397,0.3671392405063291
leverage,10,RB,00-0040715,Cam Skattebo,Cam Skattebo,NYG,DAL,13,19,6,42,19,14,NA,0.4163298012427192,0.1921594121971751,14.338908567566522,0.2761594121971751
caution,1,WR,00-0036410,Tee Higgins,Tee Higgins,CIN,TB,34,14,-20,29,14,7,NA,0.2904230132144639,0.14439140811455847,6.519925085717848,0.14439140811455847
caution,2,WR,00-0035659,Terry McLaurin,Terry McLaurin,WAS,PHI,38,22,-16,28,14,7,NA,0.2816189988346518,0.14439140811455847,7.224824356403832,0.14439140811455847
caution,3,TE,00-0038996,Tucker Kraft,Tucker Kraft,GB,MIN,23,8,-15,26,12,5,NA,0.2643074925508416,0.11846648324138728,5.4621102453494155,0.11846648324138728
caution,4,WR,00-0036554,Nico Collins,Nico Collins,HOU,BUF,19,8,-11,36,18,8,NA,0.3590167549779529,0.1778975741239892,7.764066455572878,0.18989757412398922
caution,5,WR,00-0039915,Ladd McConkey,Ladd McConkey,LAC,ARI,30,19,-11,30,14,7,NA,0.29923520280537086,0.14439140811455847,6.911381021855113,0.14439140811455847
caution,6,TE,00-0040663,Harold Fannin Jr.,Harold Fannin Jr.,CLE,JAX,17,6,-11,30,14,7,NA,0.29733966986408794,0.13758631541652147,6.550615014948371,0.13758631541652147
caution,7,WR,00-0036358,CeeDee Lamb,CeeDee Lamb,DAL,NYG,14,5,-9,42,22,8,NA,0.42262728474974337,0.22448979591836735,8.077700904789676,0.24848979591836734
caution,8,WR,00-0040124,Tetairoa McMillan,Tetairoa McMillan,CAR,CHI,24,17,-7,34,18,8,NA,0.3361141446088244,0.1778975741239892,7.595908867250635,0.18589757412398922
caution,9,RB,00-0040122,Ashton Jeanty,Ashton Jeanty,LV,MIA,14,7,-7,37,16,20,NA,0.36640382152588413,0.15582863475187578,20.084194994826856,0.1698286347518758
caution,10,WR,00-0037240,Jameson Williams,Jameson Williams,DET,NO,31,24,-7,30,14,7,NA,0.2966425700627347,0.14439140811455847,6.577184687219098,0.14439140811455847
caution,11,WR,00-0031408,Mike Evans,Mike Evans,SF,LA,32,25,-7,29,14,7,NA,0.294050606979808,0.14439140811455847,7.124818784837755,0.14439140811455847
caution,12,TE,00-0036970,Kyle Pitts,Kyle Pitts,ATL,PIT,11,5,-6,32,15,6,NA,0.32123689327410304,0.15340584748518923,6.363155795890256,0.15740584748518924
caution,13,WR,00-0037247,George Pickens,George Pickens,DAL,NYG,15,10,-5,41,22,8,NA,0.4132367521983082,0.22264875239923224,7.80078138864244,0.24464875239923223
caution,14,TE,00-0040126,Colston Loveland,Colston Loveland,CHI,CAR,8,3,-5,34,16,6,NA,0.33681716956491414,0.1610341484539604,5.8617552058366496,0.16903414845396042
caution,15,TE,00-0034351,Dallas Goedert,Dallas Goedert,PHI,WAS,15,10,-5,31,16,6,NA,0.3067394314979435,0.16157879297761965,5.712427005285408,0.16357879297761965
caution,16,TE,00-0040128,Tyler Warren,Tyler Warren,IND,BAL,9,4,-5,34,14,6,NA,0.33678585655536586,0.14249826463702156,6.119621918300318,0.15049826463702157
