position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,Odell Beckham Jr.,NYG,28,163,135,32
WR,Myles Price,MIN,106,235,129,15
WR,Denzel Boston,CLE,182,56,-126,9
WR,Dohnte Meyers,CIN,99,216,117,15
RB,Michael Burton,CLE,62,168,106,13
WR,Zachariah Branch,ATL,179,77,-102,10
RB,Ameer Abdullah,JAX,74,175,101,12
WR,Tay Martin,DET,80,181,101,16
RB,Jacob Saylors,DET,73,173,100,13
WR,Derius Davis,LAC,89,188,99,16
WR,Tai Felton,MIN,87,185,98,16
WR,Malik Washington,MIA,158,63,-95,12
RB,Kene Nwangwu,NYJ,83,176,93,12
WR,KeAndre Lambert-Smith,LAC,91,179,88,16
WR,Marvin Mims Jr.,DEN,171,84,-87,11
WR,Dareke Young,LV,144,229,85,13
WR,Antonio Williams,WAS,172,91,-81,11
RB,Roschon Johnson,CHI,44,124,80,16
RB,Rasheen Ali,BAL,87,166,79,11
WR,CJ Daniels,LA,92,169,77,16
TE,Gunnar Helm,TEN,101,25,-76,16
TE,Brady Russell,SEA,75,150,75,18
WR,Chimere Dike,TEN,168,93,-75,12
RB,British Brooks,HOU,48,122,74,15
WR,Xavier Smith,LA,67,139,72,18
WR,Jalen Nailor,LV,126,54,-72,14
WR,Adonai Mitchell,NYJ,130,58,-72,13
WR,Skyy Moore,GB,123,193,70,14
TE,Cameron Latu,NE,58,127,69,19
TE,E.J. Jenkins,PHI,64,133,69,19
TE,Ko Kieft,TB,67,136,69,18
RB,AJ Dillon,CAR,97,165,68,11
WR,De'Zhaun Stribling,SF,127,60,-67,14
TE,Thomas Fidone II,NYG,71,137,66,18
WR,Matthew Golden,GB,118,52,-66,14
WR,Ke'Shawn Williams,CIN,135,201,66,13
WR,Kendrick Bourne,ARI,163,97,-66,12
TE,Jack Endries,CIN,44,108,64,21
TE,Chig Okonkwo,WAS,86,22,-64,17
WR,Jonathan Mingo,DAL,82,146,64,16
WR,Alec Pierce,IND,39,102,63,28
WR,Konata Mumpfield,LA,109,172,63,14
TE,Justin Joly,MIA,122,60,-62,14
WR,Ben Skowronek,PIT,128,190,62,14
WR,Jordan Watkins,SF,166,227,61,12
WR,Treylon Burks,WAS,175,114,-61,11
QB,Malik Willis,MIA,79,19,-60,15
WR,Kyle Williams,NE,170,110,-60,11
TE,Elijah Higgins,ARI,116,57,-59,15
WR,Jahdae Walker,CHI,90,149,59,16
WR,Isaiah Bond,CLE,181,122,-59,9
TE,Austin Hooper,ATL,108,50,-58,15
TE,Daniel Bellinger,TEN,109,51,-58,15
RB,George Holani,SEA,112,55,-57,9
WR,Luther Burden III,CHI,84,27,-57,16
WR,Jack Bech,LV,143,86,-57,13
WR,Jahan Dotson,ATL,169,112,-57,11
WR,Devin Duvernay,ARI,174,231,57,11
WR,Jalen Royals,KC,120,176,56,14
WR,Pat Bryant,DEN,134,78,-56,13
WR,Efton Chism III,NE,167,223,56,12
QB,Geno Smith,NYJ,84,29,-55,13
QB,Deshaun Watson,CLE,87,32,-55,10
WR,Josh Cameron,JAX,132,187,55,13
WR,Ted Hurst III,TB,145,90,-55,13
QB,Joshua Dobbs,DET,8,62,54,41
QB,Stetson Bennett,LA,19,73,54,34
RB,Corey Kiner,NE,101,155,54,11
TE,Sam Roush,CHI,32,86,54,23
TE,Ben Sinnott,WAS,110,56,-54,15
WR,Keenan Allen,IND,44,98,54,24
QB,Carson Wentz,MIN,17,70,53,34
QB,Case Keenum,CHI,39,92,53,28
QB,Shedeur Sanders,CLE,86,33,-53,11
RB,Julius Chestnut,TEN,111,164,53,9
TE,Jeremy Ruckert,NYJ,118,65,-53,14
WR,Jayden Reed,GB,95,43,-52,15
WR,Darius Cooper,PHI,96,148,52,15
WR,Arian Smith,NYJ,156,208,52,12
TE,Jared Wiley,KC,69,119,50,18
RB,Dylan Sampson,CLE,93,45,-48,11
TE,Max Klare,LA,27,75,48,24
TE,Adam Trautman,DEN,102,54,-48,16
RB,Hunter Luepke,DAL,61,108,47,13
TE,Will Kacmarek,MIA,99,52,-47,16
TE,Dallen Bentley,DEN,112,159,47,15
QB,Sam Howell,DAL,25,71,46,32
RB,Najee Harris,NYG,36,82,46,17
TE,Ian Thomas,LV,105,151,46,15
WR,Chris Bell,MIA,146,100,-46,13
TE,Blake Whiteheart,CLE,124,79,-45,11
WR,Kaden Wetjen,PIT,113,158,45,14
TE,Mitchell Evans,CAR,97,53,-44,16
QB,Trey Lance,LAC,3,46,43,44
RB,Ronnie Rivers,LA,71,114,43,13
TE,Ben Yurosek,MIN,72,115,43,18
WR,Josh Downs,IND,76,33,-43,17
WR,Caleb Douglas,MIA,154,111,-43,12
TE,Tanner Arkin,NE,107,149,42,15
WR,Jalen Brooks,ARI,155,196,41,12
WR,Kameron Johnson,TB,164,205,41,12
TE,Chris Manhertz,NYG,85,125,40,17
WR,Andrei Iosivas,CIN,55,95,40,21
WR,Dyami Brown,WAS,178,138,-40,10
QB,Andy Dalton,PHI,28,67,39,30
QB,Cam Ward,TEN,69,30,-39,17
RB,Brian Robinson,ATL,88,49,-39,11
WR,Brenen Thompson,LAC,88,127,39,16
WR,Devaughn Vele,NO,114,75,-39,14
QB,Cade Klubnik,NYJ,85,47,-38,12
RB,Chris Brooks,GB,106,68,-38,9
WR,Zavion Thomas,CHI,104,142,38,15
RB,Ray Davis,BUF,98,61,-37,11
WR,Travis Hunter,JAX,59,96,37,20
RB,Tahj Brooks,CIN,67,103,36,13
RB,Alec Ingold,LAC,77,113,36,12
RB,Tyler Badie,DEN,110,146,36,9
TE,Johnny Mundt,PHI,70,105,35,18
WR,Mack Hollins,NE,78,113,35,16
RB,Kimani Vidal,LAC,26,60,34,23
RB,Will Shipley,PHI,91,125,34,11
TE,Darren Waller,CAR,8,42,34,33
TE,Drew Sample,CIN,37,71,34,22
TE,Quintin Morris,JAX,94,128,34,17
WR,Darius Slayton,NYG,49,83,34,22
WR,Jalen Tolbert,MIA,133,99,-34,13
QB,Michael Penix Jr.,ATL,67,34,-33,18
RB,Braelon Allen,NYJ,90,57,-33,11
RB,Ollie Gordon II,MIA,105,72,-33,10
RB,Dylan Laube,LV,107,140,33,9
TE,Brevyn Spann-Ford,DAL,61,94,33,19
TE,John Bates,WAS,114,81,-33,15
WR,Deebo Samuel Sr.,SF,38,71,33,28
WR,Marvin Harrison Jr.,ARI,63,30,-33,19
QB,Kurtis Rourke,SF,52,84,32,23
RB,Devin Singletary,NYG,52,84,32,14
TE,George Kittle,SF,4,36,32,35
TE,Noah Gray,KC,80,48,-32,18
WR,Keon Coleman,BUF,50,82,32,21
WR,Kalif Raymond,CHI,102,134,32,15
WR,Chris Blair,ATL,162,194,32,12
RB,Bhayshul Tuten,JAX,58,27,-31,14
RB,Isaiah Davis,NYJ,100,69,-31,11
TE,Josh Cuevas,BAL,52,83,31,20
WR,Germie Bernard,PIT,105,74,-31,15
WR,Malachi Fields,NYG,119,88,-31,14
QB,Fernando Mendoza,LV,65,35,-30,19
QB,Jarrett Stidham,DEN,72,42,-30,17
RB,Alvin Kamara,NO,24,54,30,25
RB,Kendre Miller,NO,57,87,30,14
RB,Kaytron Allen,WAS,103,73,-30,10
RB,LeQuint Allen Jr.,JAX,108,78,-30,9
TE,Foster Moreau,HOU,100,70,-30,16
WR,Dontayvion Wicks,PHI,94,64,-30,15
WR,DeMario Douglas,NE,147,117,-30,13
QB,Joe Flacco,CIN,7,36,29,41
QB,Bo Nix,DEN,47,18,-29,25
QB,Jacoby Brissett,ARI,56,27,-29,22
TE,Brock Wright,DET,34,63,29,22
TE,Tommy Tremble,CAR,84,55,-29,17
WR,Elijah Moore,PHI,107,136,29,14
QB,Justin Fields,KC,11,39,28,39
RB,Max Bredeson,MIN,95,123,28,11
TE,Carsen Ryan,CLE,125,97,-28,11
WR,Elic Ayomanor,TEN,53,81,28,21
WR,Barion Brown,NO,151,123,-28,13
WR,Tylan Wallace,CLE,184,212,28,7
QB,Aaron Rodgers,PIT,53,26,-27,23
RB,David Montgomery,HOU,49,22,-27,15
RB,Chuba Hubbard,CAR,59,32,-27,14
RB,Patrick Ricard,NYG,80,107,27,12
TE,Davis Allen,LA,47,74,27,20
TE,Gavin Bartholomew,MIN,73,100,27,18
TE,Noah Fant,NO,76,49,-27,18
TE,Cade Stover,HOU,95,68,-27,17
WR,Devontez Walker,BAL,97,124,27,15
WR,Jordan Whittington,LA,98,125,27,15
WR,Jaylin Noel,HOU,112,85,-27,14
TE,Kenyon Sadiq,NYJ,54,28,-26,20
TE,Michael Mayer,LV,59,33,-26,19
WR,Wan'Dale Robinson,TEN,12,38,26,44
QB,Haynes King,CAR,61,85,24,20
TE,Robert Tonyan,PIT,92,116,24,17
TE,Seydou Traore,MIA,120,96,-24,14
WR,Jauan Jennings,MIN,31,55,24,30
TE,Tyler Conklin,DET,43,66,23,21
TE,Pat Freiermuth,PIT,49,26,-23,20
TE,Darnell Washington,PIT,55,32,-23,20
TE,Hunter Long,ARI,115,138,23,15
WR,Tee Higgins,CIN,37,14,-23,28
WR,Ja'Kobi Lane,BAL,103,80,-23,15
WR,Olamide Zaccheaus,ATL,141,118,-23,13
QB,Tanner McKee,PHI,31,53,22,29
QB,Mason Rudolph,PIT,83,61,-22,14
TE,Isaiah Likely,NYG,35,13,-22,22
TE,Luke Farrell,SF,88,110,22,17
WR,Jalen McMillan,TB,81,59,-22,16
WR,Tutu Atwell,LA,85,107,22,16
WR,Colbie Young,CIN,115,137,22,14
WR,Isaiah Williams,NYJ,142,164,22,13
QB,Ty Simpson,LA,16,37,21,35
QB,Bryce Young,CAR,46,25,-21,25
QB,Tommy DeVito,NE,75,54,-21,17
WR,Jakobi Meyers,JAX,21,42,21,35
WR,DJ Moore,BUF,56,35,-21,20
WR,Michael Wilson,ARI,61,40,-21,19
WR,KC Concepcion,CLE,70,49,-21,18
WR,Malachi Corley,CLE,183,204,21,8
QB,Anthony Richardson,IND,54,74,20,23
RB,Kenneth Walker III,KC,32,12,-20,19
