position,player_id,player_name,posteam,defteam,model_rank,ecr_rank,rank_gap,view,start_pct,boom_pct,fp_actual,thresh_start,hit_start,hit_boom
QB,00-0040691,Jaxson Dart,NYG,LA,8,12,4,model_higher,44,24,0.8,20,FALSE,FALSE
QB,00-0033873,Patrick Mahomes,KC,IND,9,13,4,model_higher,40,19,28.98,20,TRUE,TRUE
QB,00-0033106,Jared Goff,DET,BUF,10,12,2,agree,38,15,29.779999999999998,20,TRUE,TRUE
QB,00-0039163,C.J. Stroud,HOU,CIN,11,21,10,model_higher,36,23,17.020000000000003,20,FALSE,FALSE
QB,00-0026498,Matthew Stafford,LA,NYG,13,15,2,agree,35,14,26.979999999999997,20,TRUE,TRUE
QB,00-0039732,Bo Nix,DEN,JAX,16,18,2,agree,34,15,14.12,20,FALSE,FALSE
QB,00-0034855,Baker Mayfield,TB,CLE,17,17,0,agree,33,17,12.180000000000001,20,FALSE,FALSE
QB,00-0036264,Jordan Love,GB,NYJ,18,16,-2,agree,33,22,13.8,20,FALSE,FALSE
QB,00-0036442,Joe Burrow,CIN,HOU,22,11,-11,model_lower,25,12,16.18,20,FALSE,FALSE
QB,00-0036971,Trevor Lawrence,JAX,DEN,23,10,-13,model_lower,25,11,6.16,20,FALSE,FALSE
QB,00-0040743,Tyler Shough,NO,BAL,24,19,-5,model_lower,23,12,22.38,20,TRUE,FALSE
RB,00-0036875,Rhamondre Stevenson,NE,PIT,17,21,4,model_higher,41,17,3.6000000000000005,15,FALSE,FALSE
RB,00-0039738,Blake Corum,LA,NYG,19,36,17,model_higher,38,16,10.200000000000001,15,FALSE,FALSE
RB,00-0037228,Jaylen Warren,PIT,NE,20,26,6,model_higher,33,18,9.7,15,FALSE,FALSE
RB,00-0036158,J.K. Dobbins,DEN,JAX,22,31,9,model_higher,31,13,3.6,15,FALSE,FALSE
RB,00-0040784,Quinshon Judkins,CLE,TB,23,27,4,model_higher,29,13,9.8,15,FALSE,FALSE
RB,00-0041027,Jeremiyah Love,ARI,SEA,24,24,0,agree,28,17,7.5,15,FALSE,FALSE
RB,00-0040734,TreVeyon Henderson,NE,PIT,25,38,13,model_higher,26,15,13.600000000000001,15,FALSE,FALSE
RB,00-0036973,Travis Etienne,NO,BAL,26,23,-3,agree,26,10,7.1,15,FALSE,FALSE
RB,00-0036555,Chuba Hubbard,CAR,ATL,27,22,-5,model_lower,26,13,14.4,15,FALSE,FALSE
RB,00-0041052,Kaelon Black,SF,MIA,28,40,12,model_higher,25,11,2.5,15,FALSE,FALSE
RB,00-0039811,MarShawn Lloyd,GB,NYJ,30,30,0,agree,24,11,8.6,15,FALSE,FALSE
RB,00-0040242,Jacory Croskey-Merritt,WAS,DAL,31,29,-2,agree,24,11,5.800000000000001,15,FALSE,FALSE
RB,00-0040719,Bhayshul Tuten,JAX,DEN,32,28,-4,model_lower,23,11,14.2,15,FALSE,FALSE
RB,00-0035250,Devin Singletary,NYG,LA,34,56,22,model_higher,23,8,0.9,15,FALSE,FALSE
RB,00-0036893,Najee Harris,NYG,LA,35,71,36,model_higher,22,6,0.6000000000000001,15,FALSE,FALSE
RB,00-0036139,Rico Dowdle,PIT,NE,36,32,-4,model_lower,22,7,6.4,15,FALSE,FALSE
RB,00-0037263,Tyler Allgeier,ARI,SEA,37,37,0,agree,22,9,3.9000000000000004,15,FALSE,FALSE
RB,00-0035261,Tony Pollard,TEN,PHI,38,35,-3,agree,21,10,7.5,15,FALSE,FALSE
RB,00-0033293,Aaron Jones,MIN,CHI,41,20,-21,model_lower,18,7,10.5,15,FALSE,FALSE
RB,00-0036919,Kenny Gainwell,TB,CLE,43,34,-9,model_lower,18,6,4.5,15,FALSE,FALSE
RB,00-0041512,Jadarian Price,SEA,ARI,47,25,-22,model_lower,15,4,5,15,FALSE,FALSE
RB,00-0040236,Kyle Monangai,CHI,MIN,50,33,-17,model_lower,15,6,7.800000000000001,15,FALSE,FALSE
RB,00-0037256,Rachaad White,WAS,DAL,53,39,-14,model_lower,14,6,14.3,15,FALSE,FALSE
TE,00-0033288,George Kittle,SF,MIA,3,13,10,model_higher,51,29,18,12,TRUE,TRUE
TE,00-0034753,Mark Andrews,BAL,NO,4,10,6,model_higher,47,29,10.9,12,FALSE,FALSE
TE,00-0034383,Dalton Schultz,HOU,CIN,6,12,6,model_higher,45,25,26,12,TRUE,TRUE
TE,00-0039066,Michael Mayer,LV,LAC,7,14,7,model_higher,42,25,5.300000000000001,12,FALSE,FALSE
TE,00-0038129,Cade Otton,TB,CLE,11,23,12,model_higher,35,18,8.8,12,FALSE,FALSE
