position,player_id,player_name,posteam,defteam,kickoff_et,thresh_start,thresh_boom,p_start_recal,p_boom_recal,start_pct,boom_pct,fp_actual,dnp,hit_start,hit_boom,band_start
QB,00-0022942,Philip Rivers,IND,SEA,2025-12-14T21:25:00Z,20,25,0.15133616072202735,0.01935412227883388,15,2,6.800000000000001,FALSE,FALSE,FALSE,10-25%
QB,00-0023459,Aaron Rodgers,PIT,MIA,2025-12-16T01:15:00Z,20,25,0.1952930845633327,0.06278349281304554,20,6,16.96,FALSE,FALSE,FALSE,10-25%
QB,00-0026498,Matthew Stafford,LA,DET,2025-12-14T21:25:00Z,20,25,0.2280054791471867,0.1152937674272438,23,12,20.919999999999998,FALSE,TRUE,FALSE,10-25%
QB,00-0029604,Kirk Cousins,ATL,TB,2025-12-12T01:15:00Z,20,25,0.2000121329544121,0.07463090827948649,20,7,26.92,FALSE,TRUE,TRUE,10-25%
WR,00-0030279,Keenan Allen,LAC,KC,2025-12-14T18:00:00Z,15,20,0.1957217604143237,0.07338551859099804,20,7,8.6,FALSE,FALSE,FALSE,10-25%
TE,00-0030506,Travis Kelce,KC,LAC,2025-12-14T18:00:00Z,12,17,0.4679542411026337,0.2289451366581165,47,23,14,FALSE,TRUE,FALSE,25-50%
WR,00-0031236,Brandin Cooks,BUF,NE,2025-12-14T18:00:00Z,15,20,0.09429310198712304,0.0165016501650165,9,2,0,FALSE,FALSE,FALSE,under 10%
WR,00-0031381,Davante Adams,LA,DET,2025-12-14T21:25:00Z,15,20,0.28225180391690685,0.1251788268955651,28,13,11.100000000000001,FALSE,FALSE,FALSE,25-50%
WR,00-0031408,Mike Evans,TB,ATL,2025-12-12T01:15:00Z,15,20,0.27612339376804607,0.1251788268955651,28,13,19.200000000000003,FALSE,TRUE,FALSE,25-50%
WR,00-0031588,Stefon Diggs,NE,BUF,2025-12-14T18:00:00Z,15,20,0.20434110402695785,0.07338551859099804,20,7,5.6,FALSE,FALSE,FALSE,10-25%
TE,00-0031610,Darren Waller,MIA,PIT,2025-12-16T01:15:00Z,12,17,0.2116139242378582,0.07828657851373357,21,8,25.6,FALSE,TRUE,TRUE,10-25%
RB,00-0032104,Ameer Abdullah,IND,SEA,2025-12-14T21:25:00Z,15,20,0.08834179542073291,0.02793142591460713,9,3,9.7,FALSE,FALSE,FALSE,under 10%
WR,00-0032211,Tyler Lockett,LV,PHI,2025-12-14T18:00:00Z,15,20,0.12365634783062822,0.04932735426008968,12,5,3,FALSE,FALSE,FALSE,10-25%
QB,00-0032268,Marcus Mariota,WAS,NYG,2025-12-14T18:00:00Z,20,25,0.30008663931713186,0.09561239155966084,30,10,14.739999999999998,FALSE,FALSE,FALSE,25-50%
RB,00-0032764,Derrick Henry,BAL,CIN,2025-12-14T18:00:00Z,15,20,0.42548340858541994,0.2437202273960582,43,24,10,FALSE,FALSE,FALSE,25-50%
QB,00-0033077,Dak Prescott,DAL,MIN,2025-12-15T01:20:00Z,20,25,0.24371718444397236,0.11240634360740982,24,11,11.959999999999999,FALSE,FALSE,FALSE,10-25%
TE,00-0033090,Hunter Henry,NE,BUF,2025-12-14T18:00:00Z,12,17,0.49079395313808927,0.24365439967690233,49,24,2.8,FALSE,FALSE,FALSE,25-50%
QB,00-0033106,Jared Goff,DET,LA,2025-12-14T21:25:00Z,20,25,0.24431662632525297,0.12397010021562813,24,12,25.52,FALSE,TRUE,TRUE,10-25%
QB,00-0033119,Jacoby Brissett,ARI,HOU,2025-12-14T18:00:00Z,20,25,0.2179786240858844,0.07130784147978501,22,7,20.560000000000002,FALSE,TRUE,FALSE,10-25%
RB,00-0033280,Christian McCaffrey,SF,TEN,2025-12-14T21:25:00Z,15,20,0.4733189040347766,0.27535060413326945,47,28,15.700000000000001,FALSE,TRUE,FALSE,25-50%
TE,00-0033288,George Kittle,SF,TEN,2025-12-14T21:25:00Z,12,17,0.5957427553636169,0.39718002093045135,60,40,22.8,FALSE,TRUE,TRUE,50%+
RB,00-0033293,Aaron Jones,MIN,DAL,2025-12-15T01:20:00Z,15,20,0.3123408583248078,0.16290753797187812,31,16,9.5,FALSE,FALSE,FALSE,25-50%
WR,00-0033307,Kendrick Bourne,SF,TEN,2025-12-14T21:25:00Z,15,20,0.09154624141376631,0.0165016501650165,9,2,3.7,FALSE,FALSE,FALSE,under 10%
