position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
QB,1,00-0036355,Justin Herbert,Justin Herbert,LAC,ARI,58,35,38,NA,0.5827099552055699,0.34649388346550725,5.006300094062018
QB,2,00-0036389,Jalen Hurts,Jalen Hurts,PHI,WAS,47,27,37,NA,0.46791538853421166,0.26809239534714746,5.229607113264515
QB,3,00-0033106,Jared Goff,Jared Goff,DET,NO,45,23,38,NA,0.45131193800432035,0.2289792381823849,1.4149122786322446
QB,4,00-0037012,Trey Lance,Trey Lance,LAC,ARI,44,19,36,NA,0.4392606210854017,0.19355938773334191,2.809182565977481
QB,5,00-0036442,Joe Burrow,Joe Burrow,CIN,TB,44,21,37,NA,0.4350906471295317,0.21320875534859612,2.026574528866912
QB,6,00-0034796,Lamar Jackson,Lamar Jackson,BAL,IND,42,20,37,NA,0.42099499593005896,0.19846486829044263,3.1452620638007116
QB,7,00-0040691,Jaxson Dart,Jaxson Dart,NYG,DAL,42,20,35,NA,0.4185869101258484,0.19846486829044263,5.4155404359894606
QB,8,00-0033949,Joshua Dobbs,Joshua Dobbs,DET,NO,41,13,34,NA,0.4070147484094761,0.1254181587143076,2.701971340912308
QB,9,00-0026158,Joe Flacco,Joe Flacco,CIN,TB,40,19,37,NA,0.4020188211167038,0.1857204324367413,1.5648850622108936
QB,10,00-0039918,Caleb Williams,Caleb Williams,CHI,CAR,39,21,37,NA,0.3901699139926843,0.20534029248413188,3.0596697628553
QB,11,00-0034857,Josh Allen,Josh Allen,BUF,HOU,38,19,39,NA,0.3834666515031037,0.1940497255077722,5.401663075785668
QB,12,00-0034855,Baker Mayfield,Baker Mayfield,TB,CIN,37,17,38,NA,0.3707830971229183,0.17496214311912303,2.8993000196077596
QB,13,00-0033077,Dak Prescott,Dak Prescott,DAL,NYG,37,16,37,NA,0.3704078204005886,0.16422818535937808,2.6892642088230327
QB,14,00-0036945,Justin Fields,Justin Fields,KC,DEN,37,16,38,NA,0.3654216455075872,0.16422818535937808,6.3291583243455936
QB,15,00-0026498,Matthew Stafford,Matthew Stafford,LA,SF,36,18,37,NA,0.3617304581919823,0.1813164350347702,1.377789777238004
QB,16,00-0041568,Ty Simpson,Ty Simpson,LA,SF,35,12,34,NA,0.35447684081902897,0.1225226067216021,2.825218059592547
QB,17,00-0039910,Jayden Daniels,Jayden Daniels,WAS,PHI,34,17,38,NA,0.33894830831730155,0.17300867587814164,6.319128074116
QB,18,00-0039107,Stetson Bennett,Stetson Bennett,LA,SF,34,11,33,NA,0.3373746355997918,0.10952132725270648,2.6341571418170164
QB,19,00-0039851,Drake Maye,Drake Maye,NE,SEA,33,17,38,NA,0.3297144375570597,0.17154410670521983,5.287081378394888
QB,20,00-0037834,Brock Purdy,Brock Purdy,SF,LA,33,16,36,NA,0.32943734630553567,0.15838391743195365,2.9947684866765374
QB,21,00-0039923,J.J. McCarthy,J.J. McCarthy,MIN,GB,33,17,37,NA,0.32671769342701934,0.16569043763253724,3.004582404444533
QB,22,00-0035228,Kyler Murray,Kyler Murray,MIN,GB,33,16,37,NA,0.32580033292272087,0.162766404441821,2.8093410354072015
QB,23,00-0032950,Carson Wentz,Carson Wentz,MIN,GB,32,17,37,NA,0.32462625196620254,0.1686163454600118,2.8093410354072015
QB,24,00-0036972,Mac Jones,Mac Jones,SF,LA,32,17,37,NA,0.322497351717682,0.16812856487970754,2.846756963461007
QB,25,00-0036971,Trevor Lawrence,Trevor Lawrence,JAX,CLE,31,18,38,NA,0.3111225737306876,0.18180557285251672,3.215895801203193
QB,26,00-0035993,Tyler Huntley,Tyler Huntley,BAL,IND,31,8,33,NA,0.3086931227769864,0.07605640108344264,2.5072819408957474
QB,27,00-0035710,Daniel Jones,Daniel Jones,IND,BAL,30,12,36,NA,0.30482340270173813,0.11866541919806736,2.969377493224634
QB,28,00-0027973,Andy Dalton,Andy Dalton,PHI,WAS,30,11,35,NA,0.30091572237122916,0.10759934059745752,2.677446332196977
QB,29,00-0034869,Sam Darnold,Sam Darnold,SEA,NE,30,15,38,NA,0.2963611461644176,0.14574808019597077,1.989285342926684
QB,30,00-0040981,Joe Fagnano,Joe Fagnano,BAL,IND,30,8,33,NA,0.2963577276285489,0.07986149376528805,2.5072819408957474
QB,31,00-0040743,Tyler Shough,Tyler Shough,NO,DET,30,12,38,NA,0.2953422586192347,0.12011138481681335,2.9516108902448575
QB,32,00-0037077,Sam Howell,Sam Howell,DAL,NYG,29,8,34,NA,0.2945622362978566,0.07843394701185516,2.68396550593008
QB,33,00-0040891,Cole Payton,Cole Payton,PHI,WAS,29,11,35,NA,0.29271106249811907,0.10759934059745752,2.6506602479828905
QB,34,00-0038416,Tyson Bagent,Tyson Bagent,CHI,CAR,29,9,34,NA,0.29061218623411966,0.08701035173960686,2.523317434510813
QB,35,00-0028986,Case Keenum,Case Keenum,CHI,CAR,29,8,34,NA,0.2895065985983688,0.08128979368047357,2.523317434510813
QB,36,00-0038400,Tanner McKee,Tanner McKee,PHI,WAS,29,10,34,NA,0.2888082923709117,0.09896421186059404,2.6370143207497323
QB,37,00-0036264,Jordan Love,Jordan Love,GB,MIN,28,13,38,NA,0.28484309778414035,0.13266678172716587,2.7285731399776134
QB,38,00-0033873,Patrick Mahomes,Patrick Mahomes,KC,DEN,28,15,38,NA,0.2822675664862659,0.15157537733178733,3.1132249968432206
QB,39,00-0041251,Jalon Daniels,Jalon Daniels,TB,CIN,28,8,34,NA,0.28014852001059276,0.08367194329188447,2.539820540676687
QB,40,00-0039150,Bryce Young,Bryce Young,CAR,CHI,28,11,37,NA,0.2763235222449592,0.1109635319852674,2.6004939073924125
QB,41,00-0039376,Spencer Rattler,Spencer Rattler,NO,DET,27,9,38,NA,0.27146109075203173,0.08844228977652756,2.9462396864776994
QB,42,00-0031503,Jameis Winston,Jameis Winston,NYG,DAL,27,9,33,NA,0.2668405809868318,0.08844228977652756,2.8750264237056107
QB,43,00-0028118,Tyrod Taylor,Tyrod Taylor,GB,MIN,26,9,37,NA,0.26102861199669025,0.08891975922677113,3.052978968257746
QB,44,00-0039163,C.J. Stroud,C.J. Stroud,HOU,BUF,26,14,38,NA,0.2604320534823441,0.13605412991116292,2.8244417809871765
QB,45,00-0040673,Jalen Milroe,Jalen Milroe,SEA,NE,25,8,34,NA,0.2475751485796485,0.07890971168663563,2.680956231992489
QB,46,00-0039164,Anthony Richardson,Anthony Richardson,IND,BAL,24,5,33,NA,0.24424574708903837,0.05005797708831423,2.8738745491691553
QB,47,00-0035704,Drew Lock,Drew Lock,SEA,NE,24,7,34,NA,0.24208019694261623,0.06751547910925741,2.680956231992489
QB,48,00-0040234,Quinn Ewers,Quinn Ewers,JAX,CLE,24,7,34,NA,0.23717579423388335,0.07083347570747127,2.7435187260369243
QB,49,00-0037013,Zach Wilson,Zach Wilson,NO,DET,24,7,36,NA,0.23651562729614384,0.06562153369995459,2.809182565977481
QB,50,00-0039732,Bo Nix,Bo Nix,DEN,KC,23,14,37,NA,0.23434798251809677,0.1447776504358488,3.1070117051225883
