position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,p_start_recal,pred_vol
RB,1,00-0037746,Brian Robinson,Brian Robinson,SF,TEN,12,4,10,0.12025533141203082,9.658357343242598
RB,2,00-0035537,Ty Johnson,Ty Johnson,BUF,NE,10,4,9,0.1020009079335608,8.694891144157667
RB,3,00-0033955,Jeremy McNichols,Jeremy McNichols,WAS,NYG,10,4,9,0.0972013817504467,8.931968258699575
RB,4,00-0038555,Tank Bigsby,Tank Bigsby,PHI,LV,10,3,9,0.09528205263349789,8.5175800230225
RB,5,00-0040238,LeQuint Allen Jr.,LeQuint Allen Jr.,JAX,NYJ,9,3,8,0.09000528897266905,8.250283304668267
RB,6,00-0039373,Audric Estimé,Audric Estimé,NO,CAR,9,3,9,0.08808696388268394,8.652052307898177
RB,7,00-0037563,Malik Davis,Malik Davis,DAL,MIN,9,3,9,0.08712789946590313,9.048401588137398
RB,8,00-0038454,Keaton Mitchell,Keaton Mitchell,BAL,CIN,8,3,9,0.08473052168429884,8.736322581261792
RB,9,00-0032104,Ameer Abdullah,Ameer Abdullah,IND,SEA,8,3,9,0.08425109430874349,8.691453145992012
RB,10,00-0038738,Hunter Luepke,Hunter Luepke,DAL,MIN,8,3,9,0.08233354378628636,8.501906029954338
RB,11,00-0033854,Dare Ogunbowale,Dare Ogunbowale,HOU,ARI,8,2,8,0.07993695954602097,7.98055341396634
RB,12,00-0039798,Isaiah Davis,Isaiah Davis,NYJ,JAX,7,2,8,0.06891754709135137,8.3757219824017
TE,1,00-0037005,Tommy Tremble,Tommy Tremble,CAR,NO,12,2,4,0.123102401769934,3.852624967678427
TE,2,00-0037306,John FitzPatrick,John FitzPatrick,GB,DEN,11,2,4,0.11331581345044564,3.7494288184305464
WR,1,00-0037291,Jalen Nailor,Jalen Nailor,MIN,DAL,10,3,5,0.10291541791573904,4.9644770219626695
WR,2,00-0040727,Tre Harris,Tre Harris,LAC,KC,10,3,5,0.09958464030525396,4.964659290366247
WR,3,00-0040782,Isaiah Bond,Isaiah Bond,CLE,CHI,10,3,5,0.099420119249418,4.744366798843484
WR,4,00-0035406,Lil'Jordan Humphrey,Lil'Jordan Humphrey,DEN,GB,10,3,5,0.0986307256656482,4.872328444688082
WR,5,00-0038976,Marvin Mims Jr.,Marvin Mims Jr.,DEN,GB,10,3,4,0.0986307256656482,4.4928390543117835
WR,6,00-0040667,Matthew Golden,Matthew Golden,GB,DEN,10,3,5,0.0983396011364506,4.903090542432815
WR,7,00-0040729,Jack Bech,Jack Bech,LV,PHI,10,3,5,0.09810297253816638,4.80488092458794
WR,8,00-0035208,Olamide Zaccheaus,Olamide Zaccheaus,CHI,CLE,10,3,5,0.0976804969729154,4.880600258715619
WR,9,00-0039451,Isaiah Williams,Isaiah Williams,NYJ,JAX,10,3,5,0.096993517713448,4.861540943859035
WR,10,00-0031236,Brandin Cooks,Brandin Cooks,BUF,NE,10,2,5,0.09660594330729326,4.621983473092741
WR,11,00-0033307,Kendrick Bourne,Kendrick Bourne,SF,TEN,10,3,4,0.09647460320506196,4.456943399543967
WR,12,00-0038104,Tyquan Thornton,Tyquan Thornton,KC,LAC,9,3,5,0.09495090578032016,4.533974819357496
WR,13,00-0037231,Kevin Austin Jr.,Kevin Austin Jr.,NO,CAR,9,2,4,0.09435637815456836,4.4310272080530675
WR,14,00-0038640,Jalen Brooks,Jalen Brooks,ARI,HOU,9,2,5,0.09397225651229028,4.551635889076823
