nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,model_verdict,pred,p_boom,p_bust,games,cum_fp_ppr,fp_pg,cum_opps,opps_pg,snap_share_avg,fp_per_opp,last_week_active,latest_fp_ppr,latest_opportunities,latest_snap_share,model_p_start_latest,model_p_boom_latest,tracker_status,gsis_id,pfr_id,gsis_provisional
Fernando Mendoza,Fernando Mendoza,QB,Indiana,1,1,LVR,Baseline,0.0568089634180069,0.16067793724077054,0.1332553678687046,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041562,MendFe00,FALSE
Ty Simpson,Ty Simpson,QB,Alabama,1,13,LAR,Baseline,0.3002490699291229,0.23095013722046392,0.08579887480714048,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041568,SimpTy00,FALSE
Carson Beck,Carson Beck,QB,Miami,3,65,ARI,Baseline,-0.07119312137365341,0.13002828567663377,0.1643955279998606,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041561,BeckCa01,FALSE
Drew Allar,Drew Allar,QB,Penn State,3,76,PIT,Baseline,-0.02385461516678333,0.14085509034465157,0.15236949194252972,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041565,AllaDr00,FALSE
Cade Klubnik,Cade Klubnik,QB,Clemson,4,110,NYJ,Baseline,-0.01800626702606678,0.14223393010112373,0.15092534697485965,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041056,KlubCa00,FALSE
Cole Payton,Cole Payton,QB,North Dakota State,5,178,PHI,Baseline,0.03638151288032532,0.1554935529402649,0.1379322771146366,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040891,PaytCo00,FALSE
Taylen Green,Taylen Green,QB,Arkansas,6,182,CLE,Baseline,-0.21280013024806976,0.1011291926830256,0.2039299518839047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041092,GreeTa00,FALSE
Athan Kaliakmanis,Athan Kaliakmanis,QB,Rutgers,7,223,WAS,Baseline,-0.09553033113479614,0.12469224552432392,0.1708114230179886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041117,KaliAt00,FALSE
Behren Morton,Behren Morton,QB,Texas Tech,7,234,NWE,Baseline,-0.02854901738464832,0.13975489332919755,0.15353530510589802,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041123,MortBe00,FALSE
Garrett Nussmeier,Garrett Nussmeier,QB,LSU,7,249,KAN,Baseline,-0.14899052679538727,0.11351324924288655,0.18545895035033752,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040906,NussGa00,FALSE
Haynes King,Haynes King,QB,Georgia Tech,NA,NA,CAR,Baseline,-0.09560594707727432,0.12467590847308382,0.1708316037349267,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041149,KingHa00,FALSE
Jalon Daniels,Jalon Daniels,QB,Kansas,NA,NA,TB,Baseline,-0.07112161070108414,0.13004419411439275,0.1643769092019061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041251,DaniJa03,FALSE
Joe Fagnano,Joe Fagnano,QB,Connecticut,NA,NA,BAL,Baseline,-0.03215101733803749,0.13891468687700895,0.1544338247028949,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040981,FagnJo00,FALSE
Joey Aguilar,Jose Aguilar,QB,Tennessee,NA,NA,JAX,Baseline,-0.01801751740276813,0.1422312689104482,0.15092811627934438,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041203,AguiJo00,FALSE
Luke Altmyer,Luke Altmyer,QB,Illinois,NA,NA,DET,Baseline,-0.02144350484013557,0.1414224448444227,0.15177300390487078,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041453,AltmLu00,FALSE
Jeremiyah Love,Jeremiyah Love,RB,Notre Dame,1,3,ARI,Baseline,0.00491432193666696,0.15984752380021683,0.15746927972118868,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041027,LoveJe00,FALSE
