rank,nfl_name,pos,draft_round,draft_pick,draft_team,tracker_status,games,last_week_active,latest_opportunities,latest_snap_share,model_verdict
1,Fernando Mendoza,QB,1,1,LVR,no_nfl_data_yet,0,NA,NA,NA,Baseline
2,Jeremiyah Love,RB,1,3,ARI,no_nfl_data_yet,0,NA,NA,NA,Baseline
3,Carnell Tate,WR,1,4,TEN,no_nfl_data_yet,0,NA,NA,NA,Upside
4,Jordyn Tyson,WR,1,8,NOR,no_nfl_data_yet,0,NA,NA,NA,Baseline
5,Ty Simpson,QB,1,13,LAR,no_nfl_data_yet,0,NA,NA,NA,Baseline
6,Kenyon Sadiq,TE,1,16,NYJ,no_nfl_data_yet,0,NA,NA,NA,Baseline
7,Makai Lemon,WR,1,20,PHI,no_nfl_data_yet,0,NA,NA,NA,Baseline
8,KC Concepcion,WR,1,24,CLE,no_nfl_data_yet,0,NA,NA,NA,Baseline
9,Omar Cooper Jr.,WR,1,30,NYJ,no_nfl_data_yet,0,NA,NA,NA,Baseline
10,Jadarian Price,RB,1,32,SEA,no_nfl_data_yet,0,NA,NA,NA,Baseline
11,De'Zhaun Stribling,WR,2,33,SFO,no_nfl_data_yet,0,NA,NA,NA,Baseline
12,Denzel Boston,WR,2,39,CLE,no_nfl_data_yet,0,NA,NA,NA,Baseline
13,Germie Bernard,WR,2,47,PIT,no_nfl_data_yet,0,NA,NA,NA,Baseline
14,Eli Stowers,TE,2,54,PHI,no_nfl_data_yet,0,NA,NA,NA,Baseline
15,Nate Boerkircher,TE,2,56,JAX,no_nfl_data_yet,0,NA,NA,NA,Baseline
16,Marlin Klein,TE,2,59,HOU,no_nfl_data_yet,0,NA,NA,NA,Baseline
17,Max Klare,TE,2,61,LAR,no_nfl_data_yet,0,NA,NA,NA,Baseline
18,Carson Beck,QB,3,65,ARI,no_nfl_data_yet,0,NA,NA,NA,Baseline
19,Sam Roush,TE,3,69,CHI,no_nfl_data_yet,0,NA,NA,NA,Baseline
20,Antonio Williams,WR,3,71,WAS,no_nfl_data_yet,0,NA,NA,NA,Baseline
21,Oscar Delp,TE,3,73,NOR,no_nfl_data_yet,0,NA,NA,NA,Baseline
22,Malachi Fields,WR,3,74,NYG,no_nfl_data_yet,0,NA,NA,NA,Baseline
23,Caleb Douglas,WR,3,75,MIA,no_nfl_data_yet,0,NA,NA,NA,Baseline
24,Drew Allar,QB,3,76,PIT,no_nfl_data_yet,0,NA,NA,NA,Baseline
25,Zachariah Branch,WR,3,79,ATL,no_nfl_data_yet,0,NA,NA,NA,Baseline
26,Ja'Kobi Lane,WR,3,80,BAL,no_nfl_data_yet,0,NA,NA,NA,Baseline
27,Chris Brazzell II,WR,3,83,CAR,no_nfl_data_yet,0,NA,NA,NA,Baseline
28,Ted Hurst III,WR,3,84,TAM,no_nfl_data_yet,0,NA,NA,NA,Baseline
29,Will Kacmarek,TE,3,87,MIA,no_nfl_data_yet,0,NA,NA,NA,Baseline
30,Zavion Thomas,WR,3,89,CHI,no_nfl_data_yet,0,NA,NA,NA,Baseline
31,Kaelon Black,RB,3,90,SFO,no_nfl_data_yet,0,NA,NA,NA,Baseline
32,Chris Bell,WR,3,94,MIA,no_nfl_data_yet,0,NA,NA,NA,Baseline
33,Eli Raridon,TE,3,95,NWE,no_nfl_data_yet,0,NA,NA,NA,Baseline
