gsis_id,pfr_id,nfl_name,pos,draft_round,draft_pick,draft_team,model_verdict,week,fp_ppr,carries,targets,attempts,receptions,offense_pct,p_start,p_boom,opportunities,fp_per_opp
00-0041027,LoveJe00,Jeremiyah Love,RB,1,3,ARI,Baseline,1,13,11,4,0,2,0.43,0.3605,0.158,15,0.8666666666666667
00-0041027,LoveJe00,Jeremiyah Love,RB,1,3,ARI,Baseline,2,7.5,9,3,0,3,0.4,0.2585,0.104,12,0.625
00-0041512,PricJa02,Jadarian Price,RB,1,32,SEA,Baseline,1,7.800000000000001,10,2,0,2,0.48,0.422,0.2005,12,0.65
00-0041512,PricJa02,Jadarian Price,RB,1,32,SEA,Baseline,2,5,13,2,0,1,0.34,0.3025,0.132,15,0.3333333333333333
00-0041052,BlacKa00,Kaelon Black,RB,3,90,SF,Baseline,1,8,14,1,0,1,0.43,0.1635,0.0475,15,0.5333333333333333
00-0041052,BlacKa00,Kaelon Black,RB,3,90,SF,Baseline,2,2.5,7,0,0,0,0.33,0.332,0.132,7,0.35714285714285715
00-0041496,ColeJo00,Jonah Coleman,RB,4,108,DEN,Baseline,1,0,0,0,0,0,0.06,0.1625,0.05,0,NA
00-0041496,ColeJo00,Jonah Coleman,RB,4,108,DEN,Baseline,2,14.8,10,3,0,3,0.4,0.084,0.023,13,1.1384615384615384
00-0040878,WashMi00,Mike Washington Jr.,RB,4,122,LV,Baseline,1,4.1000000000000005,7,0,0,0,0.19,0.186,0.059,7,0.5857142857142857
00-0040878,WashMi00,Mike Washington Jr.,RB,4,122,LV,Baseline,2,0.7000000000000001,3,1,0,0,0.19,0.0975,0.0255,4,0.17500000000000002
00-0041013,JohnEm01,Emmett Johnson,RB,5,161,KC,Baseline,1,8.8,8,2,0,2,0.36,0.167,0.056,10,0.8800000000000001
00-0041013,JohnEm01,Emmett Johnson,RB,5,161,KC,Baseline,2,5.5,2,2,0,2,0.18,0.1865,0.054,4,1.375
00-0040886,SingNi01,Nicholas Singleton,RB,5,165,TEN,Baseline,2,1,4,0,0,0,0.11,0.082,0.0225,4,0.25
00-0041096,AlleKa01,Kaytron Allen,RB,6,187,WAS,Baseline,1,1.6,4,0,0,0,0.1,0.126,0.031,4,0.4
00-0041096,AlleKa01,Kaytron Allen,RB,6,187,WAS,Baseline,2,2.4000000000000004,5,0,0,0,0.08,0.096,0.0255,5,0.4800000000000001
00-0041104,ClaiDe00,Demond Claiborne,RB,6,198,MIN,Baseline,2,1.2,0,1,0,1,0.04,0.1175,0.034,1,1.2
00-0041125,McGoSe01,Seth McGowan,RB,7,237,IND,Baseline,1,1,0,1,0,1,0.11,0.1315,0.0395,1,1
00-0041125,McGoSe01,Seth McGowan,RB,7,237,IND,Baseline,2,0,2,0,0,0,0.06,0.065,0.012,2,0
00-0041326,DonaCJ00,CJ Donaldson,RB,NA,NA,NO,Baseline,1,1.2,2,2,0,1,0.17,0.1245,0.034,4,0.3
00-0041490,HeidEl00,Eli Heidenreich,RB,NA,NA,PIT,Baseline,1,0,0,0,0,0,0.04,0.133,0.0385,0,NA
00-0041326,DonaCJ00,CJ Donaldson,RB,NA,NA,NO,Baseline,2,0.2,1,0,0,0,0.29,0.071,0.0165,1,0.2
00-0041490,HeidEl00,Eli Heidenreich,RB,NA,NA,PIT,Baseline,2,0,0,0,0,0,0,0.0915,0.02,0,NA
00-0041032,SadiKe00,Kenyon Sadiq,TE,1,16,NYJ,Baseline,1,11.4,1,3,0,3,0.42,0.186,0.0525,4,2.85
00-0041032,SadiKe00,Kenyon Sadiq,TE,1,16,NYJ,Baseline,2,3.7,0,3,0,2,0.36,0.19,0.0495,3,1.2333333333333334
00-0041503,BoerNa00,Nate Boerkircher,TE,2,56,JAX,Baseline,1,1.9,0,1,0,1,0.67,0.2265,0.0705,1,1.9
00-0041472,KleiMa00,Marlin Klein,TE,2,59,HOU,Baseline,1,2.6,0,1,0,1,0.11,0.221,0.064,1,2.6
00-0041558,RousSa00,Sam Roush,TE,3,69,CHI,Baseline,2,1.9,0,3,0,1,0.27,0.201,0.0625,3,0.6333333333333333
00-0041041,DelpOs01,Oscar Delp,TE,3,73,NO,Baseline,2,1.8,0,1,0,1,0.13,0.1855,0.0505,1,1.8
00-0041524,KacmWi00,Will Kacmarek,TE,3,87,MIA,Baseline,1,0,0,1,0,0,0.25,0.1825,0.051,1,0
00-0041524,KacmWi00,Will Kacmarek,TE,3,87,MIA,Baseline,2,1.4,0,1,0,1,0.47,0.124,0.0305,1,1.4
00-0041395,RariEl00,Eli Raridon,TE,3,95,NE,Baseline,1,7.2,0,1,0,1,0.54,0.2165,0.0585,1,7.2
00-0041395,RariEl00,Eli Raridon,TE,3,95,NE,Baseline,2,4,0,1,0,1,0.2,0.164,0.0395,1,4
00-0040879,HibnMa00,Matthew Hibner,TE,4,133,BAL,Baseline,1,2.3,0,1,0,1,0.34,0.191,0.0435,1,2.3
00-0041398,NowaRi00,Riley Nowakowski,TE,5,169,PIT,Baseline,1,0,0,0,0,0,0.12,0.2385,0.0755,0,NA
00-0041094,SharBa00,Bauer Sharp,TE,6,185,TB,Baseline,1,0,0,0,0,0,0.02,0.1625,0.041,0,NA
00-0041131,RyanCa00,Carsen Ryan,TE,7,248,CLE,Baseline,1,0,0,0,0,0,0,0.1435,0.0325,0,NA
00-0041438,TateCa00,Carnell Tate,WR,1,4,TEN,Upside,1,7.800000000000001,0,6,0,4,0.88,0.2685,0.099,6,1.3
00-0041438,TateCa00,Carnell Tate,WR,1,4,TEN,Upside,2,5.7,0,5,0,3,0.75,0.189,0.064,5,1.1400000000000001
00-0040867,LemoMa00,Makai Lemon,WR,1,20,PHI,Baseline,1,2.5,0,4,0,3,0.64,0.2915,0.1195,4,0.625
00-0040867,LemoMa00,Makai Lemon,WR,1,20,PHI,Baseline,2,1.9,1,1,0,1,0.63,0.1895,0.0655,2,0.95
00-0041547,ConcKC00,KC Concepcion,WR,1,24,CLE,Baseline,1,7.800000000000001,3,5,0,4,0.69,0.1775,0.0565,8,0.9750000000000001
00-0041547,ConcKC00,KC Concepcion,WR,1,24,CLE,Baseline,2,8.2,1,6,0,6,0.66,0.1945,0.0585,7,1.1714285714285713
00-0041511,CoopOm00,Omar Cooper Jr.,WR,1,30,NYJ,Baseline,1,4,0,1,0,1,0.07,0.24,0.0785,1,4
00-0041037,BostDe00,Denzel Boston,WR,2,39,CLE,Baseline,1,13.9,0,4,0,2,0.92,0.1565,0.0435,4,3.475
00-0041037,BostDe00,Denzel Boston,WR,2,39,CLE,Baseline,2,20.5,0,7,0,5,0.93,0.1835,0.07,7,2.9285714285714284
00-0041489,BernGe00,Germie Bernard,WR,2,47,PIT,Baseline,2,7.5,0,8,0,4,0.79,0.1005,0.0205,8,0.9375
00-0041040,WillAn04,Antonio Williams,WR,3,71,WAS,Baseline,1,16.4,0,4,0,4,0.37,0.224,0.0755,4,4.1
00-0041040,WillAn04,Antonio Williams,WR,3,71,WAS,Baseline,2,5.4,0,3,1,3,0.49,0.144,0.044,3,1.8
00-0041042,FielMa00,Malachi Fields,WR,3,74,NYG,Baseline,1,4.5,0,4,0,2,0.72,0.237,0.0825,4,1.125
00-0041042,FielMa00,Malachi Fields,WR,3,74,NYG,Baseline,2,5,0,6,0,2,0.81,0.304,0.1245,6,0.8333333333333334
00-0041523,DougCa00,Caleb Douglas,WR,3,75,MIA,Baseline,1,14.4,0,7,0,5,0.91,0.2215,0.0815,7,2.0571428571428574
00-0041523,DougCa00,Caleb Douglas,WR,3,75,MIA,Baseline,2,3.9000000000000004,0,3,0,2,0.86,0.208,0.069,3,1.3
00-0041044,BranZa00,Zachariah Branch,WR,3,79,ATL,Baseline,1,0,0,0,0,0,0.3,0.1105,0.0335,0,NA
00-0041044,BranZa00,Zachariah Branch,WR,3,79,ATL,Baseline,2,3.4000000000000004,0,2,0,2,0.2,0.11,0.0285,2,1.7000000000000002
00-0040870,LaneJa01,Ja'Kobi Lane,WR,3,80,BAL,Baseline,1,2.1,0,3,0,1,0.4,0.2705,0.099,3,0.7000000000000001
