position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
TE,00-0039338,Brock Bowers,LV,PHI,15,NA,6.590195407371219,0.4090810130210288,0.20383758630304372,0.5766985702992258,0.3147361836118514,7.856191722310626,2,-0.2815291737002801,NA,NA,0.2454478719951026,NA,NA,-16.7617557278197,-11.089859730880768,-1.2659963149394073,FALSE
RB,00-0034844,Saquon Barkley,PHI,LV,15,NA,23.978839341880363,0.69,0.4534287108819196,0.5320370122692908,0.3206057718001737,21.133089668548568,2,-4.8340970255977497e-4,NA,NA,-0.11445319214132711,NA,NA,15.796298773070916,13.28229390817459,2.8457496733317953,FALSE
TE,00-0035689,Dawson Knox,BUF,NE,15,NA,6.530980517152432,0.3904580869964503,0.15948156755976728,0.23357256098143392,0.08301441609832613,5.173072608093127,2,-0.030370289386788693,NA,NA,0.2163706335558045,NA,NA,15.688552601501637,7.646715146144115,1.3579079090593051,FALSE
WR,00-0039067,Rashee Rice,KC,LAC,15,NA,7.221096458326815,0.26889604015622276,0.11167105896234006,0.40063505035060076,0.21870277632971907,8.016547985429124,2,-0.697067594104227,NA,NA,-0.05493820419146865,NA,NA,-13.1739010194378,-10.703171736737902,-0.7954515271023093,FALSE
TE,00-0036970,Kyle Pitts,ATL,TB,15,Questionable,7.713067258489922,0.5601551456947836,0.28577044177531313,0.4285834320163653,0.2216222433191788,6.763101935362048,2,-0.13060397754920552,NA,NA,0.33071195997351643,NA,NA,13.157171367841835,6.414819845613434,0.9499653231278735,TRUE
WR,00-0036322,Justin Jefferson,MIN,DAL,15,NA,6.962174265488053,0.30813395871594396,0.15333156534803125,0.4388809058949298,0.26374320410296004,8.579129668792962,2,0.20229168917935142,NA,NA,-0.008941771345413463,NA,NA,-13.074694717898582,-11.04116387549288,-1.6169554033049094,FALSE
WR,00-0036358,CeeDee Lamb,DAL,MIN,15,NA,8.255890246094708,0.3377780260797483,0.18485130443784584,0.46525524403130286,0.28269137458544014,9.048813304655106,2,-0.23510135161920845,NA,NA,-0.04168354469402813,NA,NA,-12.747721795155458,-9.78400701475943,-0.7929230585603975,FALSE
RB,00-0040730,RJ Harvey,DEN,GB,15,NA,14.93715714272337,0.304,0.15258408202757875,0.1878422840570446,0.07559034405820911,11.84584023657046,2,-0.11056689576725608,NA,NA,-0.019693973413992996,NA,NA,11.61577159429554,7.699373796936965,3.09131690615291,FALSE
WR,00-0039075,Puka Nacua,LA,DET,15,NA,9.10615996150741,0.4787517020427816,0.29512842172242526,0.3680782371896215,0.19336346136983812,8.07105715539263,2,0.08326257217483088,NA,NA,-0.2001034984624695,NA,NA,11.06734648531601,10.176496035258713,1.0351028061147804,FALSE
RB,00-0040202,Devin Neal,NO,CAR,15,NA,18.268102969826312,0.4385,0.2475850640422232,0.32916987104247164,0.16689117337033527,17.17640548492514,2,0.1285980532883172,NA,NA,-0.2283107603760811,NA,NA,10.933012895752835,8.069389067188792,1.0916974849011716,FALSE
TE,00-0040663,Harold Fannin Jr.,CLE,CHI,15,NA,7.517532320754602,0.5326201524661576,0.2847015348988599,0.4249118648329635,0.18860483036113004,6.792272186626571,2,0.05656237651607699,NA,NA,-0.07568264359822446,NA,NA,10.770828763319408,9.609670453772987,0.7252601341280309,FALSE
WR,00-0039868,Troy Franklin,DEN,GB,15,NA,6.056469424111636,0.1934871123222746,0.0802317404968583,0.29982986936684636,0.15302819242553453,7.581447742365442,2,0.1582307897508274,NA,NA,0.1250524352630169,NA,NA,-10.634275704457174,-7.279645192867623,-1.5249783182538055,FALSE
WR,00-0034960,Jakobi Meyers,JAX,NYJ,15,NA,7.789016479671913,0.3649190465333538,0.19159042680162103,0.2656414818204994,0.1304758028009585,6.616201056683803,2,-0.003970392899669356,NA,NA,0.11856036556127834,NA,NA,9.927756471285438,6.111462400066253,1.1728154229881103,FALSE
QB,00-0039918,Caleb Williams,CHI,CLE,15,NA,3.091460467241062,0.206,0.07958957751516833,0.3015,0.12724162123741106,3.1224467108011567,2,-0.2195615035348917,NA,NA,0.04907237611265206,NA,NA,-9.55,-4.7652043722242725,-0.030986243560094717,FALSE
QB,00-0036971,Trevor Lawrence,JAX,NYJ,15,NA,3.48049574546877,0.364,0.1621021828266071,0.27225,0.10368511512588494,3.6284130759112583,2,0.149153110116605,NA,NA,0.24857870985776176,NA,NA,9.175,5.841706770072216,-0.14791733044248812,FALSE
RB,00-0040583,Woody Marks,HOU,ARI,15,NA,19.443747094248987,0.4825,0.2755920332349199,0.3963713275898828,0.21744165684634487,17.804546498458258,2,-0.00862605571598059,NA,NA,-0.1978429700387465,NA,NA,8.612867241011719,5.8150376388575005,1.6392005957907294,FALSE
WR,00-0034827,DJ Moore,CHI,CLE,15,NA,5.921234205847054,0.13694343053505917,0.05158269297599532,0.22305941431142615,0.09589797583262452,6.545142796750238,2,-0.36227096146254706,NA,NA,-0.018200574713306425,NA,NA,-8.611598377636698,-4.43152828566292,-0.6239085909031834,FALSE
QB,00-0033873,Patrick Mahomes,KC,LAC,15,NA,2.6955190643510822,0.311,0.13281612703463158,0.391,0.20159796604877367,2.4761363099670843,2,-0.2855433332566027,NA,NA,0.0466311060551374,NA,NA,-8.000000000000002,-6.878183901414209,0.2193827543839979,FALSE
WR,00-0037240,Jameson Williams,DET,LA,15,NA,7.536376667458575,0.399284685400526,0.2182662276140056,0.31963586565403257,0.16032740004635732,6.9775046898257,2,0.06317781097774262,NA,NA,-0.009237550038706355,NA,NA,7.964881974649341,5.7938827567648286,0.558871977632875,FALSE
QB,00-0039732,Bo Nix,DEN,GB,15,NA,4.43322297927373,0.385,0.19911454337117507,0.4645,0.2525711691790077,4.283898505339524,2,0.21289067240336101,NA,NA,0.3034800111073806,NA,NA,-7.950000000000001,-5.345662580783261,0.14932447393420656,FALSE
QB,00-0040743,Tyler Shough,NO,CAR,15,NA,4.457330484157064,0.273,0.1005199327693838,0.19674999999999998,0.07229157714393399,3.4685780181718147,2,0.038841583286096874,NA,NA,0.14207432007554105,NA,NA,7.6250000000000036,2.8228355625449812,0.9887524659852489,FALSE
WR,00-0039894,Xavier Worthy,KC,LAC,15,NA,6.34501262535773,0.20709001089985507,0.09384751647213942,0.2829562157365913,0.13742830420095078,6.8212790586010845,2,-0.697067594104227,NA,NA,-0.05493820419146865,NA,NA,-7.586620483673623,-4.358078772881137,-0.4762664332433548,FALSE
RB,00-0037228,Jaylen Warren,PIT,MIA,15,NA,14.67789944991646,0.2335,0.10879748976497884,0.3088803616885597,0.14800220434200598,15.431822219827914,2,-0.1403854885725969,NA,NA,-0.12106929292741508,NA,NA,-7.538036168855969,-3.9204714577027135,-0.7539227699114548,FALSE
QB,00-0036442,Joe Burrow,CIN,BAL,15,NA,1.6410442429142071,0.2955,0.12796672447507687,0.22175,0.0919280032649416,1.7101605189824984,2,0.3500686901599769,NA,NA,-0.019865895800454128,NA,NA,7.374999999999998,3.6038721210135267,-0.0691162760682913,FALSE
TE,00-0030506,Travis Kelce,KC,LAC,15,NA,7.087260213941963,0.4725752957363763,0.2513735634767972,0.5435151134646257,0.29706053233989316,7.589556903031407,2,0.6784828951459367,NA,NA,0.26632661954032044,NA,NA,-7.093981772824937,-4.568696886309597,-0.5022966890894436,FALSE
RB,00-0036223,Jonathan Taylor,IND,SEA,15,NA,22.75506475543556,0.572,0.3373082630363269,0.6424118130820732,0.4293056623806024,23.741378453782225,2,-0.2277830318714829,NA,NA,-0.08665645885139735,NA,NA,-7.041181308207323,-9.199739934427553,-0.9863136983466667,FALSE
QB,00-0036355,Justin Herbert,LAC,KC,15,NA,4.158664629411894,0.4015,0.18623699937898827,0.33575,0.1559701794522212,3.9700083706285634,2,0.16782756137593102,NA,NA,-0.002718049636109582,NA,NA,6.575000000000003,3.026681992676708,0.1886562587833307,FALSE
RB,00-0035261,Tony Pollard,TEN,SF,15,NA,17.402205471367775,0.388,0.20527076440651656,0.32257317128133295,0.16137080361123618,16.80206811504034,2,0.01650486360086345,NA,NA,-0.11361226792903004,NA,NA,6.542682871866706,4.389996079528038,0.600137356327437,FALSE
