fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse,vol_num_leaves,vol_lr,vol_min_node,vol_rounds,vol_inner_rmse
1,7,0.02,50,95,0.3139,15,0.02,20,89,6.3546
2,7,0.05,10,8,0.369,7,0.05,20,94,5.8084
3,15,0.05,10,6,0.2893,15,0.02,10,125,5.4419
4,7,0.05,20,85,0.291,7,0.05,20,59,4.9476
5,7,0.05,100,10,0.3292,7,0.02,10,141,4.7066
6,7,0.02,100,40,0.3363,7,0.02,10,140,4.9058
7,7,0.02,20,10,0.3396,7,0.02,10,176,6.6051
8,15,0.05,20,3,0.308,7,0.05,100,121,6.4632
9,7,0.02,100,115,0.2871,7,0.05,100,110,5.5913
10,7,0.05,100,5,0.2796,7,0.05,100,100,6.3338
11,7,0.02,10,19,0.2781,15,0.02,50,150,5.9694
12,7,0.02,100,65,0.2817,15,0.05,50,86,5.4375
13,15,0.05,50,5,0.287,7,0.02,100,165,5.0567
14,31,0.05,20,9,0.2822,7,0.05,100,56,5.5791
15,31,0.02,10,45,0.2685,7,0.02,100,88,5.8155
16,7,0.02,10,36,0.2764,7,0.02,100,65,6.0109
17,7,0.05,20,3,0.2939,7,0.05,10,33,6.1175
18,15,0.02,20,24,0.3225,7,0.02,10,99,5.8931
19,7,0.02,20,50,0.331,15,0.05,10,44,5.6394
20,7,0.05,10,16,0.3368,7,0.02,20,182,5.3271
21,7,0.05,10,16,0.3196,7,0.05,10,132,5.411
22,7,0.05,10,56,0.3175,7,0.02,10,187,5.7054
23,15,0.02,10,75,0.3006,7,0.02,10,209,5.6975
24,15,0.02,10,42,0.3196,7,0.05,50,90,6.0202
25,15,0.05,10,22,0.3196,7,0.05,100,83,6.0396
26,31,0.05,10,19,0.3131,15,0.05,100,69,5.9931
27,31,0.05,10,20,0.3235,31,0.05,50,35,6.0038
28,31,0.02,10,42,0.3381,63,0.05,20,38,5.7645
29,7,0.02,10,44,0.3351,15,0.02,100,79,5.5796
30,7,0.05,100,6,0.3341,15,0.02,100,85,5.5099
31,7,0.05,100,29,0.3335,15,0.02,100,76,5.7748
32,7,0.05,50,7,0.3291,15,0.05,10,49,5.8023
33,31,0.05,50,2,0.3355,7,0.05,10,75,5.7418
34,31,0.05,10,5,0.3337,7,0.05,20,120,5.6342
35,15,0.02,100,25,0.3171,7,0.05,20,108,5.7562
36,15,0.02,100,25,0.3148,7,0.05,20,107,5.7144
37,7,0.05,50,30,0.3271,7,0.02,20,308,6.0497
38,15,0.05,20,10,0.3123,7,0.02,20,265,6.2168
39,31,0.02,10,31,0.3064,7,0.05,20,94,5.9523
40,63,0.05,10,11,0.2996,15,0.05,10,55,5.902
41,31,0.05,20,15,0.3008,15,0.05,10,64,5.9231
42,63,0.05,20,11,0.2945,7,0.02,10,270,5.7455
43,31,0.05,10,25,0.3018,7,0.02,50,319,5.7182
44,63,0.02,10,65,0.2983,15,0.02,50,205,5.786
45,31,0.05,10,49,0.2997,7,0.02,50,260,5.7259
46,15,0.05,10,49,0.2994,7,0.02,50,270,5.703
47,15,0.05,20,40,0.3063,7,0.05,10,117,5.6263
48,31,0.02,10,71,0.3027,7,0.05,50,87,5.6334
49,15,0.05,20,6,0.3162,7,0.02,20,182,5.6291
50,63,0.02,10,49,0.3279,7,0.05,50,112,5.5994
51,15,0.02,10,78,0.3299,7,0.05,50,92,5.6183
52,31,0.05,20,29,0.3271,7,0.05,20,121,5.5503
53,63,0.05,10,22,0.3304,7,0.02,10,275,5.7625
54,63,0.02,10,38,0.3243,7,0.02,10,306,5.7815
55,7,0.05,50,42,0.3255,7,0.02,10,243,5.6168
56,7,0.05,50,42,0.3252,7,0.02,10,265,5.6768
57,31,0.05,10,19,0.3294,7,0.05,10,118,5.6088
58,63,0.05,20,15,0.3295,7,0.02,10,215,5.6068
59,7,0.02,100,80,0.3266,7,0.02,20,226,5.5021
60,7,0.02,20,106,0.3375,7,0.02,20,215,5.3538
61,7,0.02,10,125,0.3367,7,0.02,20,227,5.3811
62,7,0.05,10,40,0.3293,7,0.05,20,98,5.3872
63,63,0.05,10,22,0.3279,7,0.02,50,262,5.4942
64,7,0.02,50,105,0.32,7,0.05,20,87,5.4784
65,7,0.02,10,174,0.3244,7,0.05,50,113,5.5533
66,7,0.05,20,55,0.3238,7,0.05,50,113,5.463
67,7,0.05,100,46,0.3232,31,0.05,10,82,5.4516
68,7,0.02,100,136,0.327,15,0.02,20,204,5.4893
69,7,0.02,100,135,0.3333,31,0.02,50,144,5.5206
70,7,0.05,50,77,0.334,31,0.02,50,210,5.3842
71,7,0.05,50,77,0.3308,15,0.02,20,190,5.4119
72,7,0.05,10,39,0.3249,7,0.02,20,355,5.4843
73,7,0.05,20,52,0.3273,7,0.02,10,351,5.4519
74,7,0.05,20,53,0.3267,7,0.05,20,118,5.4213
75,7,0.05,20,44,0.3194,7,0.05,20,165,5.4519
76,7,0.05,20,44,0.319,7,0.05,20,165,5.4207
77,7,0.05,20,51,0.321,7,0.05,50,118,5.3769
78,7,0.02,10,107,0.3212,7,0.02,20,259,5.3573
79,7,0.02,20,125,0.319,7,0.02,10,270,5.3435
80,7,0.05,10,35,0.3241,7,0.02,10,232,5.3004
81,7,0.05,10,35,0.3238,15,0.05,10,54,5.3131
82,7,0.02,10,83,0.3268,7,0.02,10,220,5.2501
83,7,0.05,20,81,0.3277,15,0.05,10,60,5.3092
84,7,0.02,10,143,0.3305,7,0.05,10,103,5.2177
85,7,0.02,10,136,0.3263,7,0.02,10,264,5.1708
86,7,0.02,20,95,0.3249,7,0.02,10,264,5.1411
87,7,0.02,10,130,0.3237,7,0.02,20,230,5.131
88,7,0.05,20,28,0.3221,7,0.05,20,160,5.1928
89,7,0.05,10,52,0.3276,7,0.05,20,114,5.1861
90,7,0.02,10,90,0.3306,7,0.05,10,118,5.1677
91,7,0.02,10,100,0.3299,7,0.05,10,140,5.2109
92,7,0.05,10,34,0.3278,15,0.05,20,63,5.2124
93,7,0.05,10,47,0.3226,7,0.05,10,141,5.2124
94,7,0.05,10,30,0.3241,7,0.02,20,228,5.2064
95,31,0.02,10,40,0.3269,7,0.02,50,340,5.1713
96,31,0.02,10,40,0.3289,7,0.02,20,233,5.136
97,7,0.05,10,32,0.3293,7,0.02,20,273,5.1489
98,7,0.05,10,33,0.3284,15,0.02,20,175,5.1584
99,7,0.02,10,85,0.3267,15,0.05,20,88,5.2088
100,7,0.02,10,102,0.3245,15,0.05,20,119,5.3028
101,7,0.02,10,97,0.3213,15,0.05,20,119,5.2954
102,7,0.02,50,75,0.3208,15,0.02,20,233,5.243
103,15,0.05,100,16,0.3171,7,0.05,20,136,5.2112
104,15,0.05,50,19,0.3166,7,0.02,50,291,5.2044
105,15,0.02,20,42,0.3156,7,0.05,50,123,5.2344
106,15,0.02,20,42,0.3141,7,0.05,50,104,5.2684
107,63,0.05,20,9,0.3199,7,0.05,20,106,5.3189
108,7,0.02,10,65,0.3223,7,0.02,50,234,5.4077
109,7,0.02,20,127,0.3186,15,0.05,20,54,5.4232
110,7,0.05,10,52,0.3279,7,0.05,50,75,5.4401
111,7,0.05,10,52,0.3286,7,0.05,50,75,5.4528
112,7,0.02,10,66,0.3278,7,0.05,50,75,5.4373
113,15,0.05,50,13,0.3259,7,0.02,50,180,5.4909
114,7,0.02,10,145,0.3252,15,0.02,50,144,5.4507
115,63,0.05,100,29,0.3258,15,0.05,20,53,5.5166
116,7,0.05,100,38,0.322,15,0.05,20,53,5.5553
117,15,0.05,10,50,0.323,15,0.05,50,51,5.545
118,7,0.02,10,145,0.3231,15,0.02,10,120,5.6166
119,7,0.05,20,79,0.3219,15,0.02,100,156,5.6245
120,7,0.05,20,63,0.3191,15,0.05,50,42,5.6738
121,7,0.05,100,53,0.3193,15,0.05,50,48,5.6549
122,7,0.05,100,24,0.3197,15,0.05,50,49,5.6754
123,7,0.05,100,47,0.3206,31,0.02,100,128,5.6483
124,31,0.05,100,12,0.3216,15,0.02,100,125,5.57
125,7,0.05,100,34,0.3226,15,0.02,50,138,5.5822
126,7,0.05,100,33,0.3205,15,0.02,50,138,5.5927
127,15,0.05,20,27,0.3205,15,0.02,10,110,5.634
128,15,0.02,10,104,0.3235,15,0.05,10,54,5.6702
129,63,0.05,50,19,0.3232,31,0.02,10,125,5.686
130,7,0.02,50,90,0.3233,15,0.02,20,125,5.7126
131,7,0.05,20,41,0.3258,15,0.02,10,127,5.7107
132,7,0.05,50,61,0.3232,15,0.02,10,115,5.7053
133,15,0.05,10,25,0.325,15,0.02,10,140,5.6969
134,7,0.05,20,20,0.3215,15,0.02,10,140,5.745
135,7,0.05,20,35,0.3201,31,0.02,10,136,5.7174
136,7,0.05,20,33,0.3194,15,0.02,10,156,5.6932
137,7,0.05,100,24,0.3184,15,0.05,10,54,5.6892
138,7,0.05,100,29,0.3108,7,0.02,10,270,5.6701
139,7,0.02,50,110,0.3097,15,0.02,10,144,5.6477
140,7,0.02,50,81,0.3073,15,0.05,10,75,5.643
141,15,0.05,100,23,0.3092,15,0.02,20,180,5.6369
142,15,0.02,100,58,0.3094,15,0.02,10,180,5.6209
143,31,0.05,50,11,0.3078,15,0.05,20,77,5.655
144,7,0.05,50,32,0.3072,7,0.05,10,130,5.5911
145,31,0.05,10,18,0.31,15,0.02,10,200,5.5585
146,31,0.05,10,18,0.3102,15,0.02,20,185,5.5378
