threshold,te_hit,wr_hit
6,0.6576617139426685,0.7136250650326609
7,0.579468707789284,0.6494595063298456
8,0.5092300765420982,0.5901497196369733
9,0.4467957376557106,0.5350020232383375
10,0.3885637100405223,0.47933406555292213
11,0.33318325078793337,0.43164344759812706
12,0.28890889989494223,0.3878258858893578
13,0.2470358697283506,0.3460893693277068
14,0.20936515083295812,0.3070697728192381
15,0.17439591775476512,0.26891727845540203
16,0.1464805643103707,0.23833747615469103
17,0.12306768722797538,0.20787328747326436
18,0.10190604832657962,0.18064628013179954
19,0.08674771124118265,0.15596277241459044
20,0.07459102506378508,0.13399618475056363
21,0.0630346690679874,0.11491993756864559
22,0.053579468707789284,0.09780912191456154
23,0.04397418580219121,0.0839932944100815
24,0.03662014107759268,0.07266315972021505
