fold,eff_num_leaves,eff_lr,eff_min_node,eff_rounds,eff_inner_rmse,vol_num_leaves,vol_lr,vol_min_node,vol_rounds,vol_inner_rmse
1,7,0.02,50,42,0.6086,7,0.05,20,41,2.0249
2,15,0.05,10,34,0.632,15,0.05,10,70,2.2136
3,15,0.02,10,61,0.8979,7,0.05,10,20,1.9502
4,7,0.05,10,76,0.8196,7,0.02,50,140,2.0237
5,7,0.05,100,70,0.6584,15,0.05,10,14,2.3806
6,7,0.05,50,5,0.7439,7,0.05,50,10,2.3756
7,15,0.05,20,29,0.7773,7,0.05,100,35,2.2478
8,15,0.05,10,23,0.8026,7,0.05,10,20,2.0392
9,31,0.02,10,19,0.7105,7,0.05,50,75,2.4732
10,7,0.05,100,45,0.6835,7,0.05,100,86,3.1232
11,7,0.05,100,45,0.6406,7,0.05,100,120,2.8916
12,15,0.05,20,5,0.7657,31,0.05,10,37,2.81
13,7,0.05,10,15,0.6908,7,0.02,10,65,2.4111
14,15,0.02,10,10,0.7526,31,0.05,20,55,2.5306
15,15,0.05,10,15,0.7136,15,0.05,20,29,2.3049
16,15,0.05,20,3,0.7088,15,0.05,20,28,2.3379
17,7,0.05,10,1,0.7577,31,0.05,10,30,2.5157
18,7,0.05,10,4,0.7852,15,0.05,10,35,2.4598
19,15,0.05,20,1,0.7323,7,0.05,10,45,2.724
20,63,0.05,10,2,0.731,31,0.02,10,126,2.7066
21,7,0.02,20,30,0.7062,7,0.02,10,145,2.7798
22,7,0.02,10,20,0.6867,7,0.05,20,116,2.7121
23,15,0.05,10,25,0.6507,7,0.05,10,72,2.5744
24,63,0.05,10,17,0.695,7,0.02,100,170,2.3431
25,7,0.02,10,50,0.6743,7,0.02,100,113,2.2639
26,7,0.02,10,50,0.6572,7,0.02,100,123,2.2524
27,31,0.05,10,27,0.686,7,0.02,100,97,2.1107
28,31,0.05,20,11,0.7793,7,0.02,100,95,2.1614
29,31,0.05,20,5,0.7623,7,0.05,100,60,2.3516
30,63,0.05,10,25,0.7225,7,0.05,50,75,2.3435
31,63,0.05,10,25,0.7055,7,0.05,50,81,2.4293
32,15,0.05,20,13,0.7124,7,0.05,100,80,2.3592
33,15,0.05,20,14,0.7089,63,0.05,20,44,2.3611
34,15,0.05,50,17,0.6819,7,0.02,10,206,2.3582
35,15,0.02,50,49,0.5855,7,0.02,10,180,2.4048
36,15,0.02,50,49,0.5908,7,0.02,10,180,2.3568
37,7,0.05,50,6,0.6049,15,0.05,100,45,2.2894
38,63,0.05,10,5,0.5927,7,0.05,20,50,2.3853
39,7,0.05,100,6,0.6014,7,0.02,100,95,2.303
40,15,0.05,10,4,0.614,7,0.05,20,36,2.3422
41,15,0.05,10,4,0.619,7,0.02,10,86,2.3198
42,31,0.02,10,27,0.6372,7,0.02,100,150,2.3396
43,31,0.05,20,5,0.6645,15,0.05,100,45,2.4179
44,15,0.02,10,22,0.6729,15,0.02,100,103,2.381
45,31,0.02,10,9,0.6765,15,0.02,100,128,2.3719
46,15,0.05,20,1,0.6625,15,0.05,100,60,2.4251
47,31,0.05,50,4,0.6642,7,0.02,50,130,2.4849
48,31,0.05,20,4,0.6864,7,0.05,100,68,2.3969
49,31,0.02,10,11,0.686,31,0.05,20,35,2.3901
50,7,0.05,20,3,0.6941,7,0.05,100,63,2.4397
51,7,0.05,20,3,0.7021,7,0.05,100,50,2.3878
52,15,0.05,50,1,0.718,7,0.05,50,80,2.3878
53,31,0.02,50,1,0.7196,7,0.05,100,68,2.3578
54,31,0.05,50,3,0.703,7,0.02,100,180,2.294
55,7,0.05,100,3,0.6912,7,0.02,100,170,2.2774
56,7,0.05,100,1,0.689,7,0.02,100,170,2.2528
57,7,0.02,50,1,0.7167,7,0.02,50,111,2.2664
58,7,0.02,20,25,0.7326,7,0.05,20,79,2.2059
59,63,0.05,20,16,0.7289,7,0.05,20,50,2.121
60,15,0.05,100,1,0.7199,7,0.02,10,145,2.1316
61,15,0.05,50,9,0.726,7,0.02,10,145,2.1373
62,63,0.05,20,3,0.7316,7,0.05,10,73,2.1619
63,15,0.02,20,20,0.7212,7,0.05,20,72,2.1891
64,63,0.05,10,11,0.7123,7,0.05,10,124,2.1782
65,7,0.05,20,17,0.713,7,0.05,20,75,2.193
66,7,0.05,20,17,0.71,7,0.05,20,74,2.1782
67,7,0.05,10,17,0.7213,7,0.02,20,147,2.1445
68,7,0.02,10,69,0.7227,7,0.05,20,55,2.1575
69,31,0.02,20,26,0.7294,7,0.02,10,195,2.2095
70,31,0.05,20,17,0.74,15,0.05,10,63,2.2078
71,31,0.05,20,17,0.7546,15,0.05,10,63,2.2113
72,7,0.02,20,62,0.7497,7,0.02,10,158,2.2231
73,7,0.05,20,33,0.7524,7,0.02,10,140,2.2185
74,7,0.02,10,58,0.7588,7,0.02,10,182,2.2542
75,7,0.05,100,16,0.7652,7,0.05,10,56,2.2644
76,63,0.02,10,19,0.7654,7,0.05,10,56,2.2584
77,7,0.02,50,32,0.7556,7,0.05,100,56,2.3009
78,7,0.05,50,36,0.7547,31,0.05,10,53,2.2328
79,63,0.05,20,5,0.7498,7,0.02,100,151,2.2255
80,7,0.05,20,6,0.7621,7,0.02,100,173,2.2523
81,7,0.05,20,6,0.7634,15,0.02,100,113,2.2457
82,7,0.02,10,10,0.7538,7,0.02,10,225,2.2499
83,15,0.02,50,20,0.7463,15,0.02,100,132,2.2918
84,7,0.05,10,9,0.7459,7,0.05,100,73,2.287
85,15,0.05,20,9,0.7631,7,0.02,100,183,2.2804
86,15,0.05,20,9,0.7603,7,0.02,100,183,2.2738
87,31,0.05,100,6,0.7641,7,0.05,100,70,2.2048
