bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",3,0.09328335319271744,0,-0.09328335319271744,norm,12+,TE
"[0.1,0.2)",1287,0.16303136739848217,0.14296814296814297,-0.0200632244303392,norm,12+,TE
"[0.2,0.3)",1789,0.25174278921063675,0.20458356623812185,-0.0471592229725149,norm,12+,TE
"[0.3,0.4)",1736,0.3455994770526301,0.29723502304147464,-0.04836445401115547,norm,12+,TE
"[0.4,0.5)",1026,0.4440972811479328,0.42300194931773877,-0.02109533183019402,norm,12+,TE
"[0.5,0.6)",553,0.5430764306958584,0.49909584086799275,-0.04398058982786568,norm,12+,TE
"[0.6,0.7)",182,0.6406882315906987,0.5714285714285714,-0.06925966016212726,norm,12+,TE
"[0.7,0.8)",21,0.73332421594087,0.6190476190476191,-0.11427659689325098,norm,12+,TE
"[0,0.1)",27,0.09161111111111112,0.14814814814814814,0.056537037037037025,sim,12+,TE
"[0.1,0.2)",1500,0.158972,0.14533333333333334,-0.01363866666666666,sim,12+,TE
"[0.2,0.3)",2066,0.25153678606001934,0.21829622458857695,-0.03324056147144239,sim,12+,TE
"[0.3,0.4)",1671,0.3452767803710353,0.3518850987432675,0.006608318372232191,sim,12+,TE
"[0.4,0.5)",906,0.4446832229580574,0.434878587196468,-0.009804635761589409,sim,12+,TE
"[0.5,0.6)",352,0.5414801136363636,0.5397727272727273,-0.0017073863636363207,sim,12+,TE
"[0.6,0.7)",70,0.6359071428571429,0.6428571428571429,0.006950000000000012,sim,12+,TE
"[0.7,0.8)",5,0.7268,0.6,-0.12680000000000002,sim,12+,TE
"[0,0.1)",4202,0.05197955171331757,0.06996668253212755,0.017987130818809982,norm,17+,TE
"[0.1,0.2)",1727,0.13983054003331674,0.1795020266357846,0.03967148660246786,norm,17+,TE
"[0.2,0.3)",545,0.2374035289289224,0.27889908256880735,0.04149555363988494,norm,17+,TE
"[0.3,0.4)",107,0.3322432985835735,0.40186915887850466,0.06962586029493117,norm,17+,TE
"[0.4,0.5)",15,0.42576018388577613,0.26666666666666666,-0.15909351721910947,norm,17+,TE
"[0.5,0.6)",1,0.5090685622378123,1,0.49093143776218773,norm,17+,TE
"[0,0.1)",3548,0.05959836527621195,0.06144306651634724,0.0018447012401352908,sim,17+,TE
"[0.1,0.2)",2201,0.1409922762380736,0.15856428895956384,0.017572012721490254,sim,17+,TE
"[0.2,0.3)",698,0.2386948424068768,0.25787965616045844,0.019184813753581637,sim,17+,TE
"[0.3,0.4)",138,0.3339963768115942,0.37681159420289856,0.04281521739130434,sim,17+,TE
"[0.4,0.5)",11,0.4255,0.36363636363636365,-0.06186363636363634,sim,17+,TE
"[0.5,0.6)",1,0.503,1,0.497,sim,17+,TE
