bin,n,pred,emp,delta,method,threshold,position
"[0.1,0.2)",360,0.16488778060898335,0.09722222222222222,-0.06766555838676112,norm,12+,TE
"[0.2,0.3)",306,0.24694340496004355,0.26143790849673204,0.014494503536688491,norm,12+,TE
"[0.3,0.4)",322,0.35144854766815764,0.30124223602484473,-0.050206311643312906,norm,12+,TE
"[0.4,0.5)",221,0.44613997522103266,0.4434389140271493,-0.0027010611938833584,norm,12+,TE
"[0.5,0.6)",87,0.5375978004695756,0.5057471264367817,-0.03185067403279396,norm,12+,TE
"[0.6,0.7)",38,0.6405282866903567,0.631578947368421,-0.008949339321935645,norm,12+,TE
"[0.7,0.8)",10,0.7136813107359803,0.6,-0.11368131073598031,norm,12+,TE
"[0.1,0.2)",350,0.16571714285714287,0.10571428571428572,-0.06000285714285715,sim,12+,TE
"[0.2,0.3)",338,0.24583136094674557,0.257396449704142,0.011565088757396425,sim,12+,TE
"[0.3,0.4)",348,0.3479396551724138,0.2959770114942529,-0.05196264367816095,sim,12+,TE
"[0.4,0.5)",213,0.44309389671361504,0.4647887323943662,0.021694835680751146,sim,12+,TE
"[0.5,0.6)",69,0.5398695652173913,0.5797101449275363,0.039840579710144985,sim,12+,TE
"[0.6,0.7)",26,0.6373269230769231,0.6923076923076923,0.05498076923076922,sim,12+,TE
"[0,0.1)",892,0.04750911410463903,0.07062780269058296,0.023118688585943924,norm,17+,TE
"[0.1,0.2)",353,0.13852267598428306,0.20113314447592068,0.06261046849163762,norm,17+,TE
"[0.2,0.3)",70,0.23781549825049178,0.2571428571428571,0.019327358892365337,norm,17+,TE
"[0.3,0.4)",28,0.34389491461441013,0.39285714285714285,0.04896222824273272,norm,17+,TE
"[0.4,0.5)",1,0.4064042763815783,0,-0.4064042763815783,norm,17+,TE
"[0,0.1)",683,0.057019033674963394,0.05710102489019034,8.199121522694391e-5,sim,17+,TE
"[0.1,0.2)",487,0.1427053388090349,0.162217659137577,0.019512320328542082,sim,17+,TE
"[0.2,0.3)",134,0.23519029850746268,0.23880597014925373,0.0036156716417910517,sim,17+,TE
"[0.3,0.4)",38,0.34278947368421053,0.34210526315789475,-6.842105263157872e-4,sim,17+,TE
"[0.4,0.5)",2,0.42325,0,-0.42325,sim,17+,TE
