bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",2,0.09428195835950591,0,-0.09428195835950591,norm,12+,TE
"[0.1,0.2)",1404,0.16287659258606116,0.13319088319088318,-0.029685709395177978,norm,12+,TE
"[0.2,0.3)",1745,0.24888878979971515,0.2160458452722063,-0.032842944527508855,norm,12+,TE
"[0.3,0.4)",1588,0.34938647078262847,0.3060453400503778,-0.043341130732250654,norm,12+,TE
"[0.4,0.5)",1100,0.4447230821379399,0.4027272727272727,-0.04199580941066716,norm,12+,TE
"[0.5,0.6)",488,0.5435207463059738,0.4713114754098361,-0.07220927089613771,norm,12+,TE
"[0.6,0.7)",214,0.6436299798888847,0.6308411214953271,-0.01278885839355759,norm,12+,TE
"[0.7,0.8)",52,0.725643385658394,0.6538461538461539,-0.07179723181224018,norm,12+,TE
"[0.8,0.9)",4,0.8196427422363761,0.25,-0.5696427422363761,norm,12+,TE
"[0,0.1)",30,0.09053333333333334,0.1,0.009466666666666665,sim,12+,TE
"[0.1,0.2)",1621,0.15830444170265268,0.14682294879703886,-0.011481492905613816,sim,12+,TE
"[0.2,0.3)",1917,0.24769300991131976,0.22743870631194574,-0.020254303599374024,sim,12+,TE
"[0.3,0.4)",1663,0.34734275405892967,0.3427540589296452,-0.004588695129284448,sim,12+,TE
"[0.4,0.5)",897,0.4435953177257525,0.4180602006688963,-0.025535117056856182,sim,12+,TE
"[0.5,0.6)",331,0.5426767371601209,0.5438066465256798,0.001129909365558901,sim,12+,TE
"[0.6,0.7)",121,0.6370330578512396,0.6776859504132231,0.040652892561983456,sim,12+,TE
"[0.7,0.8)",17,0.7234705882352941,0.5294117647058824,-0.19405882352941173,sim,12+,TE
"[0,0.1)",4094,0.049221385338280285,0.06863702979970689,0.0194156444614266,norm,17+,TE
"[0.1,0.2)",1846,0.13940512161668267,0.17497291440953414,0.035567792792851466,norm,17+,TE
"[0.2,0.3)",470,0.24069091845798535,0.2680851063829787,0.027394187924993374,norm,17+,TE
"[0.3,0.4)",155,0.33927066278089735,0.3741935483870968,0.03492288560619944,norm,17+,TE
"[0.4,0.5)",29,0.4342940764964684,0.5172413793103449,0.08294730281387647,norm,17+,TE
"[0.5,0.6)",3,0.5391611753014097,0.3333333333333333,-0.2058278419680764,norm,17+,TE
"[0,0.1)",3525,0.05664468085106383,0.0626950354609929,0.006050354609929073,sim,17+,TE
"[0.1,0.2)",2218,0.14156379621280432,0.15419296663660956,0.012629170423805236,sim,17+,TE
"[0.2,0.3)",639,0.2370211267605634,0.24726134585289514,0.010240219092331748,sim,17+,TE
"[0.3,0.4)",182,0.33941483516483517,0.38461538461538464,0.045200549450549465,sim,17+,TE
"[0.4,0.5)",30,0.43271666666666664,0.43333333333333335,6.166666666667098e-4,sim,17+,TE
"[0.5,0.6)",3,0.5298333333333334,0,-0.5298333333333334,sim,17+,TE
