bin,n,pred,emp,delta,method,threshold,position
"[0,0.1)",4,0.09325,0,-0.09325,raw,12+,TE
"[0.1,0.2)",1367,0.15917373811265545,0.1506949524506218,-0.008478785662033639,raw,12+,TE
"[0.2,0.3)",1786,0.25087877939529674,0.2200447928331467,-0.03083398656215003,raw,12+,TE
"[0.3,0.4)",1376,0.34560864825581394,0.33066860465116277,-0.014940043604651176,raw,12+,TE
"[0.4,0.5)",747,0.4462583668005355,0.46184738955823296,0.015589022757697468,raw,12+,TE
"[0.5,0.6)",306,0.5414542483660131,0.545751633986928,0.004297385620914973,raw,12+,TE
"[0.6,0.7)",45,0.6295888888888889,0.5555555555555556,-0.07403333333333328,raw,12+,TE
"[0.7,0.8)",3,0.7313333333333334,0.6666666666666666,-0.06466666666666676,raw,12+,TE
"[0,0.1)",33,0.09437974329144685,0.24242424242424243,0.14804449913279558,platt,12+,TE
"[0.1,0.2)",1504,0.1575663512802371,0.14960106382978725,-0.00796528745044986,platt,12+,TE
"[0.2,0.3)",1879,0.25027512588610745,0.23203831825439064,-0.01823680763171681,platt,12+,TE
"[0.3,0.4)",1317,0.344487687676052,0.36370539104024296,0.019217703364190986,platt,12+,TE
"[0.4,0.5)",658,0.44401036352937573,0.47720364741641336,0.03319328388703763,platt,12+,TE
"[0.5,0.6)",217,0.541162027795864,0.5207373271889401,-0.020424700606923918,platt,12+,TE
"[0.6,0.7)",26,0.6437725667614522,0.6923076923076923,0.048535125546240065,platt,12+,TE
"[0,0.1)",63,0.058512322402279236,0.15873015873015872,0.10021783632787948,iso,12+,TE
"[0.1,0.2)",1970,0.16419531839366747,0.16751269035532995,0.0033173719616624853,iso,12+,TE
"[0.2,0.3)",1326,0.2475806081471509,0.24509803921568626,-0.002482568931464646,iso,12+,TE
"[0.3,0.4)",1249,0.36183953544070296,0.3410728582866293,-0.020766677154073654,iso,12+,TE
"[0.4,0.5)",823,0.44254842295826285,0.47144592952612396,0.02889750656786111,iso,12+,TE
"[0.5,0.6)",179,0.5253372196576496,0.547486033519553,0.022148813861903482,iso,12+,TE
"[0.6,0.7)",6,0.6744565217391285,0.8333333333333334,0.15887681159420486,iso,12+,TE
"[0.7,0.8)",17,0.741636372086199,0.6470588235294118,-0.09457754855678724,iso,12+,TE
"[0.9,1]",1,1,0,-1,iso,12+,TE
"[0,0.1)",33,0.09451981202121883,0.24242424242424243,0.1479044304030236,strat_platt,12+,TE
"[0.1,0.2)",1531,0.15780358356648114,0.14892227302416722,-0.00888131054231392,strat_platt,12+,TE
"[0.2,0.3)",1925,0.24983012071497845,0.2368831168831169,-0.012947003831861564,strat_platt,12+,TE
"[0.3,0.4)",1253,0.34310818359755696,0.3671189146049481,0.02401073100739115,strat_platt,12+,TE
"[0.4,0.5)",494,0.44622709767864793,0.46963562753036436,0.02340852985171643,strat_platt,12+,TE
"[0.5,0.6)",391,0.5248303634004104,0.5294117647058824,0.0045814013054719105,strat_platt,12+,TE
"[0.6,0.7)",7,0.6338379986961202,0.2857142857142857,-0.34812371298183453,strat_platt,12+,TE
"[0,0.1)",66,0.050752509838517666,0.18181818181818182,0.13106567197966415,strat_iso,12+,TE
"[0.1,0.2)",1968,0.16295960153896902,0.16717479674796748,0.004215195208998462,strat_iso,12+,TE
"[0.2,0.3)",1326,0.2475806081471509,0.24509803921568626,-0.002482568931464646,strat_iso,12+,TE
"[0.3,0.4)",1341,0.3629369942543546,0.348993288590604,-0.013943705663750583,strat_iso,12+,TE
"[0.4,0.5)",596,0.43678101119815305,0.4664429530201342,0.029661941821981175,strat_iso,12+,TE
"[0.5,0.6)",313,0.5259951488655428,0.5271565495207667,0.0011614006552239653,strat_iso,12+,TE
"[0.6,0.7)",6,0.675770142180093,0.8333333333333334,0.15756319115324036,strat_iso,12+,TE
"[0.7,0.8)",17,0.741636372086199,0.6470588235294118,-0.09457754855678724,strat_iso,12+,TE
"[0.9,1]",1,1,0,-1,strat_iso,12+,TE
"[0.1,0.2)",1596,0.1606346490632727,0.14849624060150377,-0.012138408461768946,platt_vol,12+,TE
"[0.2,0.3)",1831,0.2509573700597835,0.2375750955761879,-0.013382274483595635,platt_vol,12+,TE
"[0.3,0.4)",1158,0.34335020219186146,0.3488773747841105,0.005527172592249052,platt_vol,12+,TE
"[0.4,0.5)",643,0.44860075387346826,0.45412130637636083,0.005520552502892573,platt_vol,12+,TE
"[0.5,0.6)",316,0.5392201201061307,0.560126582278481,0.02090646217235026,platt_vol,12+,TE
"[0.6,0.7)",83,0.634108737610006,0.5060240963855421,-0.12808464122446384,platt_vol,12+,TE
"[0.7,0.8)",7,0.7361296417045455,0.8571428571428571,0.12101321543831156,platt_vol,12+,TE
"[0,0.1)",3150,0.058811587301587295,0.061587301587301586,0.002775714285714291,raw,17+,TE
"[0.1,0.2)",1764,0.13986621315192743,0.1536281179138322,0.01376190476190478,raw,17+,TE
"[0.2,0.3)",601,0.2388369384359401,0.2545757071547421,0.015738768718802004,raw,17+,TE
"[0.3,0.4)",114,0.332030701754386,0.3684210526315789,0.036390350877192945,raw,17+,TE
"[0.4,0.5)",5,0.45,0.6,0.14999999999999997,raw,17+,TE
"[0,0.1)",2815,0.06190503026668768,0.054706927175843696,-0.0071981030908439825,platt,17+,TE
"[0.1,0.2)",2022,0.14008399888688006,0.14391691394658754,0.0038329150597074813,platt,17+,TE
"[0.2,0.3)",656,0.23644376671517758,0.2530487804878049,0.016605013772627297,platt,17+,TE
"[0.3,0.4)",129,0.3293551490919278,0.3488372093023256,0.019482060210397778,platt,17+,TE
"[0.4,0.5)",12,0.43271369714138636,0.5833333333333334,0.15061963619194702,platt,17+,TE
"[0,0.1)",2606,0.04771377340639187,0.05257099002302379,0.004857216616631917,iso,17+,TE
"[0.1,0.2)",2394,0.15003318675232594,0.14452798663324978,-0.0055052001190761535,iso,17+,TE
"[0.2,0.3)",511,0.23638356927059123,0.2700587084148728,0.03367513914428155,iso,17+,TE
"[0.3,0.4)",102,0.31435154746540006,0.29411764705882354,-0.02023390040657652,iso,17+,TE
"[0.4,0.5)",1,0.4094457455113193,1,0.5905542544886807,iso,17+,TE
"[0.5,0.6)",8,0.5389183888251047,0.625,0.08608161117489532,iso,17+,TE
"[0.6,0.7)",7,0.6581941867656153,0.42857142857142855,-0.2296227581941867,iso,17+,TE
"[0.7,0.8)",4,0.7466692789968652,0.75,0.0033307210031348067,iso,17+,TE
"[0.9,1]",1,1,0,-1,iso,17+,TE
"[0,0.1)",2836,0.0627787493244513,0.05535966149506347,-0.007419087829387827,strat_platt,17+,TE
"[0.1,0.2)",2005,0.1389082847880964,0.143142144638404,0.004233859850307609,strat_platt,17+,TE
"[0.2,0.3)",657,0.2456975096761378,0.2602739726027397,0.014576462926601919,strat_platt,17+,TE
"[0.3,0.4)",134,0.32567742002799777,0.35074626865671643,0.025068848628718665,strat_platt,17+,TE
"[0.4,0.5)",2,0.4656567834763755,0.5,0.03434321652362449,strat_platt,17+,TE
"[0,0.1)",2615,0.045569478900458475,0.05277246653919694,0.007202987638738466,strat_iso,17+,TE
"[0.1,0.2)",2419,0.14968110188559902,0.1455146754857379,-0.004166426399861117,strat_iso,17+,TE
"[0.2,0.3)",489,0.2539852256751483,0.2719836400817996,0.017998414406651286,strat_iso,17+,TE
"[0.3,0.4)",89,0.32956433470981944,0.3146067415730337,-0.01495759313678574,strat_iso,17+,TE
"[0.4,0.5)",2,0.41684408487687175,0.5,0.08315591512312825,strat_iso,17+,TE
"[0.5,0.6)",8,0.5389183888251047,0.625,0.08608161117489532,strat_iso,17+,TE
"[0.6,0.7)",7,0.6581941867656153,0.42857142857142855,-0.2296227581941867,strat_iso,17+,TE
"[0.7,0.8)",4,0.7466692789968652,0.75,0.0033307210031348067,strat_iso,17+,TE
"[0.9,1]",1,1,0,-1,strat_iso,17+,TE
"[0,0.1)",2749,0.06420370507082386,0.05274645325572935,-0.011457251815094507,platt_vol,17+,TE
"[0.1,0.2)",1938,0.13870060784061466,0.14035087719298245,0.0016502693523677836,platt_vol,17+,TE
"[0.2,0.3)",693,0.24382839961609876,0.23376623376623376,-0.010062165849864996,platt_vol,17+,TE
"[0.3,0.4)",206,0.3425341758479408,0.30097087378640774,-0.04156330206153308,platt_vol,17+,TE
"[0.4,0.5)",42,0.434062062581561,0.42857142857142855,-0.005490634010132445,platt_vol,17+,TE
"[0.5,0.6)",4,0.5073143588468928,0.5,-0.007314358846892799,platt_vol,17+,TE
"[0.6,0.7)",2,0.6338097000060667,1,0.36619029999393327,platt_vol,17+,TE
