cell,bin,n,pred,emp,delta,method,threshold,position
exante_low,"[0,0.1)",25,0.09158,0.16,0.06842000000000001,raw,12+,TE
exante_low,"[0.1,0.2)",267,0.13374157303370787,0.10112359550561797,-0.0326179775280899,raw,12+,TE
exante_low,"[0.2,0.3)",3,0.218,0,-0.218,raw,12+,TE
exante_mid,"[0,0.1)",2,0.092,0,-0.092,raw,12+,TE
exante_mid,"[0.1,0.2)",1112,0.16371223021582734,0.15737410071942445,-0.006338129496402889,raw,12+,TE
exante_mid,"[0.2,0.3)",1764,0.2511125283446712,0.2165532879818594,-0.03455924036281177,raw,12+,TE
exante_mid,"[0.3,0.4)",1309,0.3443582887700535,0.3430099312452254,-0.0013483575248280921,raw,12+,TE
exante_mid,"[0.4,0.5)",440,0.4345318181818182,0.41363636363636364,-0.02089545454545455,raw,12+,TE
exante_mid,"[0.5,0.6)",22,0.5264090909090909,0.45454545454545453,-0.07186363636363641,raw,12+,TE
exante_mid,"[0.6,0.7)",1,0.627,1,0.373,raw,12+,TE
exante_high,"[0.3,0.4)",39,0.3797051282051282,0.41025641025641024,0.030551282051282047,raw,12+,TE
exante_high,"[0.4,0.5)",289,0.4641159169550173,0.4740484429065744,0.00993252595155708,raw,12+,TE
exante_high,"[0.5,0.6)",287,0.5436637630662021,0.5679442508710801,0.024280487804878015,raw,12+,TE
exante_high,"[0.6,0.7)",67,0.6364328358208955,0.6567164179104478,0.020283582089552277,raw,12+,TE
exante_high,"[0.7,0.8)",5,0.7268,0.6,-0.12680000000000002,raw,12+,TE
exante_low,"[0,0.1)",54,0.09023192162577914,0.2037037037037037,0.11347178207792455,platt,12+,TE
exante_low,"[0.1,0.2)",239,0.1295720965822782,0.08368200836820083,-0.04589008821407736,platt,12+,TE
exante_low,"[0.2,0.3)",2,0.21256947795417547,0,-0.21256947795417547,platt,12+,TE
exante_mid,"[0,0.1)",15,0.09412135019765633,0.06666666666666667,-0.027454683530989663,platt,12+,TE
exante_mid,"[0.1,0.2)",1279,0.16088657681129886,0.16810007818608289,0.00721350137478402,platt,12+,TE
exante_mid,"[0.2,0.3)",1837,0.25033288455221525,0.2286336418072945,-0.021699242744920744,platt,12+,TE
exante_mid,"[0.3,0.4)",1199,0.34314705930298794,0.3486238532110092,0.005476793908021249,platt,12+,TE
exante_mid,"[0.4,0.5)",310,0.43138737793162596,0.45161290322580644,0.02022552529418048,platt,12+,TE
exante_mid,"[0.5,0.6)",10,0.5310062046481266,0.5,-0.031006204648126645,platt,12+,TE
exante_high,"[0.2,0.3)",2,0.29207643547115486,0.5,0.20792356452884514,platt,12+,TE
exante_high,"[0.3,0.4)",59,0.3749636023927638,0.4745762711864407,0.09961266879367692,platt,12+,TE
