position,threshold,method,stratum,pred_vol_ref,p_raw,p_recal
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0,0.2583735548837729
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.01,0.17257899819507347
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.02,0.16169939835568828
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.03,0.15553276210238282
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.04,0.1512307721182685
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.05,0.1479275257408465
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.06,0.14524506287198724
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.07,0.14298486820945183
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.08,0.1410299305781227
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.09,0.13930557367943056
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.1,0.1377612747643084
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.11,0.13636128660846458
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.12,0.1350794020672134
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.13,0.1338958451069853
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.14,0.13279533060835916
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.15,0.13176580306098282
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.16,0.13079758803689465
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.17,0.1298828044803842
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.18,0.1290149472981126
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.19,0.1281885843484749
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.2,0.12739913220758425
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.21,0.12664268737974618
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.22,0.12591589729516162
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.23,0.12521586035859553
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.24,0.12454004754327722
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.25,0.12388624019043848
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.26,0.12325248015535901
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.27,0.12263702947032085
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.28,0.1220383374222353
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.29,0.12145501346406859
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.3,0.12088580475791398
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.31,0.12032957742604063
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.32,0.11978530079337536
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.33,0.11925203406053893
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.34,0.11872891496470554
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.35000000000000003,0.11821515007603729
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.36,0.11771000644733258
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.37,0.11721280438892916
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.38,0.11672291118356494
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.39,0.11623973558957944
TE,12+,platt_vol_vegas,exante_low,3.922480492463257,0.4,0.1157627230075902
