position,threshold,method,ext_w_mean_abs_delta_pp,w_mean_abs_delta_pp,brier
TE,12+,iso,2.5592,1.1009,0.18781
TE,12+,platt,2.7348,1.5203,0.18691
TE,12+,platt_vegas,2.3116,1.2921,0.18685
TE,12+,platt_vol,2.6039,1.1737,0.18664
TE,12+,platt_vol_vegas,2.0670,1.1713,0.18552
TE,12+,raw,2.5668,1.6611,0.18697
TE,12+,strat_iso,2.6733,1.3633,0.18799
TE,12+,strat_platt,2.6057,1.4913,0.18713
TE,17+,iso,1.6721,1.0596,0.09735
TE,17+,platt,1.2064,0.5868,0.09669
TE,17+,platt_vegas,1.1631,0.5340,0.09655
TE,17+,platt_vol,1.5482,0.7479,0.09674
TE,17+,platt_vol_vegas,1.5633,0.9504,0.09624
TE,17+,raw,1.4595,0.9110,0.09677
TE,17+,strat_iso,1.4464,0.7490,0.09735
TE,17+,strat_platt,1.1908,0.5203,0.09677
